date|parish|commodity|variety source|low|high|most frequent|supply|grade
January 16, 2021|Hanover|broccoli|local|-|-|-|-|-
January 16, 2021|Hanover|cabbage (green)|local|-|-|-|-|-
January 16, 2021|Hanover|cabbage (red)|local|-|-|-|-|-
January 16, 2021|Hanover|callaloo|shredded|-|-|-|-|-
January 16, 2021|Hanover|callaloo|whole|-|-|-|-|-
January 16, 2021|Hanover|cantaloupe|local|-|-|-|-|-
January 16, 2021|Hanover|carrot|local|-|-|-|-|-
January 16, 2021|Hanover|cauliflower|local|-|-|-|-|-
January 16, 2021|Hanover|coco|local|-|-|-|-|-
January 16, 2021|Hanover|cucumber|local|-|-|-|-|-
January 16, 2021|Hanover|dasheen|local|-|-|-|-|-
January 16, 2021|Hanover|escallion|local|-|-|-|-|-
January 16, 2021|Hanover|ginger|local|-|-|-|-|-
January 16, 2021|Hanover|green banana|local|-|-|-|-|-
January 16, 2021|Hanover|gungo peas|dry|-|-|-|-|-
January 16, 2021|Hanover|gungo peas|green|-|-|-|-|-
January 16, 2021|Hanover|honeydew melon|local|-|-|-|-|-
January 16, 2021|Hanover|irish potato|local|-|-|-|-|-
January 16, 2021|Hanover|lettuce|iceberg (local)|-|-|-|-|-
January 16, 2021|Hanover|lettuce|other|-|-|-|-|-
January 16, 2021|Hanover|lettuce|romaine (local)|-|-|-|-|-
January 16, 2021|Hanover|okra|local|-|-|-|-|-
January 16, 2021|Hanover|onion|local|-|-|-|-|-
January 16, 2021|Hanover|pak choi|local|-|-|-|-|-
January 16, 2021|Hanover|papaya|local|-|-|-|-|-
January 16, 2021|Hanover|pepper|scotch bonnet|-|-|-|-|-
January 16, 2021|Hanover|pepper|west indian red|-|-|-|-|-
January 16, 2021|Hanover|pineapple|cow boy|-|-|-|-|-
January 16, 2021|Hanover|pineapple|md 2|-|-|-|-|-
January 16, 2021|Hanover|pineapple|sugar loaf|-|-|-|-|-
January 16, 2021|Hanover|plantain|green|-|-|-|-|-
January 16, 2021|Hanover|plantain|ripe|-|-|-|-|-
January 16, 2021|Hanover|pumpkin|local|-|-|-|-|-
January 16, 2021|Hanover|sorrel|local|-|-|-|-|-
January 16, 2021|Hanover|string bean|local|-|-|-|-|-
January 16, 2021|Hanover|sweet pepper (green)|green house (local)|-|-|-|-|-
January 16, 2021|Hanover|sweet pepper (green)|local|-|-|-|-|-
January 16, 2021|Hanover|sweet pepper (red)|green house (local)|-|-|-|-|-
January 16, 2021|Hanover|sweet pepper (red)|local|-|-|-|-|-
January 16, 2021|Hanover|sweet pepper (yellow)|green house (local)|-|-|-|-|-
January 16, 2021|Hanover|sweet pepper (yellow)|local|-|-|-|-|-
January 16, 2021|Hanover|sweet potato|local|-|-|-|-|-
January 16, 2021|Hanover|thyme|local|-|-|-|-|-
January 16, 2021|Hanover|tomatoes(plummy)|local|-|-|-|-|-
January 16, 2021|Hanover|tomatoes(salad)|local|-|-|-|-|-
January 16, 2021|Hanover|watermelon|local|-|-|-|-|-
January 16, 2021|Hanover|yam|negro|-|-|-|-|-
January 16, 2021|Hanover|yam|sweet|-|-|-|-|-
January 16, 2021|Hanover|yam|white (lucea)|-|-|-|-|-
January 16, 2021|Hanover|yam|yellow|-|-|-|-|-
