date|parish|commodity|variety source|low|high|most frequent|supply|grade
January 16, 2021|Manchester|broccoli|local|-|-|-|-|-
January 16, 2021|Manchester|cabbage (green)|local|132|176|132|moderate|excellent
January 16, 2021|Manchester|cabbage (red)|local|-|-|-|-|-
January 16, 2021|Manchester|callaloo|shredded|-|-|-|-|-
January 16, 2021|Manchester|callaloo|whole|110|154|143|moderate|excellent
January 16, 2021|Manchester|cantaloupe|local|220|440|330|scarce|excellent
January 16, 2021|Manchester|carrot|local|242|330|264|moderate|excellent
January 16, 2021|Manchester|cauliflower|local|550|660|605|scarce|excellent
January 16, 2021|Manchester|coco|local|220|330|264|scarce|excellent
January 16, 2021|Manchester|cucumber|local|110|154|132|moderate|excellent
January 16, 2021|Manchester|dasheen|local|-|-|-|-|-
January 16, 2021|Manchester|escallion|local|132|154|143|fair|excellent
January 16, 2021|Manchester|ginger|local|220|330|275|fair|excellent
January 16, 2021|Manchester|green banana|local|33|44|38.5|moderate|excellent
January 16, 2021|Manchester|gungo peas|dry|-|-|-|-|-
January 16, 2021|Manchester|gungo peas|green|330|440|440|scarce|excellent
January 16, 2021|Manchester|honeydew melon|local|-|-|-|-|-
January 16, 2021|Manchester|irish potato|local|-|-|-|-|-
January 16, 2021|Manchester|lettuce|iceberg (local)|110|132|121|fair|excellent
January 16, 2021|Manchester|lettuce|other|-|-|-|-|-
January 16, 2021|Manchester|lettuce|romaine (local)|330|330|330|good|excellent
January 16, 2021|Manchester|okra|local|-|-|-|-|-
January 16, 2021|Manchester|onion|local|-|-|-|-|-
January 16, 2021|Manchester|pak choi|local|154|176|165|moderate|excellent
January 16, 2021|Manchester|papaya|local|-|-|-|-|-
January 16, 2021|Manchester|pepper|scotch bonnet|-|-|-|-|-
January 16, 2021|Manchester|pepper|west indian red|220|330|275|moderate|excellent
January 16, 2021|Manchester|pineapple|cow boy|-|-|-|-|-
January 16, 2021|Manchester|pineapple|md 2|-|-|-|-|-
January 16, 2021|Manchester|pineapple|sugar loaf|-|-|-|-|-
January 16, 2021|Manchester|plantain|green|55|66|60.5|moderate|excellent
January 16, 2021|Manchester|plantain|ripe|88|132|110|moderate|excellent
January 16, 2021|Manchester|pumpkin|local|110|154|154|moderate|excellent
January 16, 2021|Manchester|sorrel|local|330|440|385|moderate|excellent
January 16, 2021|Manchester|string bean|local|-|-|-|-|-
January 16, 2021|Manchester|sweet pepper (green)|green house (local)|-|-|-|-|-
January 16, 2021|Manchester|sweet pepper (green)|local|308|440|396|scarce|excellent
January 16, 2021|Manchester|sweet pepper (red)|green house (local)|880|990|935|scarce|excellent
January 16, 2021|Manchester|sweet pepper (red)|local|-|-|-|-|-
January 16, 2021|Manchester|sweet pepper (yellow)|green house (local)|880|990|935|scarce|excellent
January 16, 2021|Manchester|sweet pepper (yellow)|local|-|-|-|-|-
January 16, 2021|Manchester|sweet potato|local|110|176|176|fair|excellent
January 16, 2021|Manchester|thyme|local|880|990|935|scarce|excellent
January 16, 2021|Manchester|tomatoes(plummy)|local|132|220|220|moderate|excellent
January 16, 2021|Manchester|tomatoes(salad)|local|440|660|550|scarce|excellent
January 16, 2021|Manchester|watermelon|local|-|-|-|-|-
January 16, 2021|Manchester|yam|negro|176|198|187|scarce|excellent
January 16, 2021|Manchester|yam|sweet|440|440|440|scarce|excellent
January 16, 2021|Manchester|yam|white (lucea)|176|198|187|scarce|excellent
January 16, 2021|Manchester|yam|yellow|154|176|165|fair|excellent
