date|parish|commodity|variety source|low|high|most frequent|supply|grade
January 16, 2021|St. Catherine|broccoli|local|-|-|-|-|-
January 16, 2021|St. Catherine|cabbage (green)|local|330|330|330|scarce|excellent
January 16, 2021|St. Catherine|cabbage (red)|local|-|-|-|-|-
January 16, 2021|St. Catherine|callaloo|shredded|-|-|-|-|-
January 16, 2021|St. Catherine|callaloo|whole|44|44|44|scarce|excellent
January 16, 2021|St. Catherine|cantaloupe|local|-|-|-|-|-
January 16, 2021|St. Catherine|carrot|local|-|-|-|-|-
January 16, 2021|St. Catherine|cauliflower|local|-|-|-|-|-
January 16, 2021|St. Catherine|coco|local|-|-|-|-|-
January 16, 2021|St. Catherine|cucumber|local|66|176|115.5|scarce|excellent
January 16, 2021|St. Catherine|dasheen|local|176|220|198|scarce|excellent
January 16, 2021|St. Catherine|escallion|local|-|-|-|-|-
January 16, 2021|St. Catherine|ginger|local|-|-|-|-|-
January 16, 2021|St. Catherine|green banana|local|-|-|-|-|-
January 16, 2021|St. Catherine|gungo peas|dry|-|-|-|-|-
January 16, 2021|St. Catherine|gungo peas|green|-|-|-|-|-
January 16, 2021|St. Catherine|honeydew melon|local|-|-|-|-|-
January 16, 2021|St. Catherine|irish potato|local|-|-|-|-|-
January 16, 2021|St. Catherine|lettuce|iceberg (local)|220|286|253|scarce|excellent
January 16, 2021|St. Catherine|lettuce|other|-|-|-|-|-
January 16, 2021|St. Catherine|lettuce|romaine (local)|-|-|-|-|-
January 16, 2021|St. Catherine|okra|local|176|264|176|scarce|excellent
January 16, 2021|St. Catherine|onion|local|-|-|-|-|-
January 16, 2021|St. Catherine|pak choi|local|154|154|154|scarce|excellent
January 16, 2021|St. Catherine|papaya|local|-|-|-|-|-
January 16, 2021|St. Catherine|pepper|scotch bonnet|660|880|770|scarce|excellent
January 16, 2021|St. Catherine|pepper|west indian red|-|-|-|-|-
January 16, 2021|St. Catherine|pineapple|cow boy|-|-|-|-|-
January 16, 2021|St. Catherine|pineapple|md 2|-|-|-|-|-
January 16, 2021|St. Catherine|pineapple|sugar loaf|176|220|198|moderate|excellent
January 16, 2021|St. Catherine|plantain|green|-|-|-|-|-
January 16, 2021|St. Catherine|plantain|ripe|-|-|-|-|-
January 16, 2021|St. Catherine|pumpkin|local|176|176|176|scarce|excellent
January 16, 2021|St. Catherine|sorrel|local|-|-|-|-|-
January 16, 2021|St. Catherine|string bean|local|-|-|-|-|-
January 16, 2021|St. Catherine|sweet pepper (green)|green house (local)|-|-|-|-|-
January 16, 2021|St. Catherine|sweet pepper (green)|local|220|286|253|scarce|excellent
January 16, 2021|St. Catherine|sweet pepper (red)|green house (local)|-|-|-|-|-
January 16, 2021|St. Catherine|sweet pepper (red)|local|-|-|-|-|-
January 16, 2021|St. Catherine|sweet pepper (yellow)|green house (local)|-|-|-|-|-
January 16, 2021|St. Catherine|sweet pepper (yellow)|local|-|-|-|-|-
January 16, 2021|St. Catherine|sweet potato|local|110|220|159.5|scarce|excellent
January 16, 2021|St. Catherine|thyme|local|-|-|-|-|-
January 16, 2021|St. Catherine|tomatoes(plummy)|local|110|110|110|scarce|excellent
January 16, 2021|St. Catherine|tomatoes(salad)|local|-|-|-|-|-
January 16, 2021|St. Catherine|watermelon|local|-|-|-|-|-
January 16, 2021|St. Catherine|yam|negro|-|-|-|-|-
January 16, 2021|St. Catherine|yam|sweet|-|-|-|-|-
January 16, 2021|St. Catherine|yam|white (lucea)|-|-|-|-|-
January 16, 2021|St. Catherine|yam|yellow|-|-|-|-|-
