date|parish|commodity|variety source|low|high|most frequent|supply|grade
January 16, 2021|St. Elizabeth|broccoli|local|880|1100|990|scarce|excellent
January 16, 2021|St. Elizabeth|cabbage (green)|local|110|176|132|moderate|excellent
January 16, 2021|St. Elizabeth|cabbage (red)|local|-|-|-|-|-
January 16, 2021|St. Elizabeth|callaloo|shredded|-|-|-|-|-
January 16, 2021|St. Elizabeth|callaloo|whole|-|-|-|-|-
January 16, 2021|St. Elizabeth|cantaloupe|local|264|286|275|scarce|excellent
January 16, 2021|St. Elizabeth|carrot|local|286|396|330|moderate|excellent
January 16, 2021|St. Elizabeth|cauliflower|local|440|550|495|moderate|excellent
January 16, 2021|St. Elizabeth|coco|local|220|330|271.33|moderate|excellent
January 16, 2021|St. Elizabeth|cucumber|local|77|132|110|moderate|excellent
January 16, 2021|St. Elizabeth|dasheen|local|176|220|198|moderate|excellent
January 16, 2021|St. Elizabeth|escallion|local|132|220|154|moderate|excellent
January 16, 2021|St. Elizabeth|ginger|local|220|330|271.33|moderate|excellent
January 16, 2021|St. Elizabeth|green banana|local|66|77|71.5|moderate|excellent
January 16, 2021|St. Elizabeth|gungo peas|dry|-|-|-|-|-
January 16, 2021|St. Elizabeth|gungo peas|green|264|330|297|moderate|excellent
January 16, 2021|St. Elizabeth|honeydew melon|local|264|286|275|scarce|excellent
January 16, 2021|St. Elizabeth|irish potato|local|-|-|-|-|-
January 16, 2021|St. Elizabeth|lettuce|iceberg (local)|110|176|143|moderate|excellent
January 16, 2021|St. Elizabeth|lettuce|other|-|-|-|-|-
January 16, 2021|St. Elizabeth|lettuce|romaine (local)|-|-|-|-|-
January 16, 2021|St. Elizabeth|okra|local|-|-|-|-|-
January 16, 2021|St. Elizabeth|onion|local|-|-|-|-|-
January 16, 2021|St. Elizabeth|pak choi|local|-|-|-|-|-
January 16, 2021|St. Elizabeth|papaya|local|132|176|143|moderate|excellent
January 16, 2021|St. Elizabeth|pepper|scotch bonnet|550|770|660|scarce|excellent
January 16, 2021|St. Elizabeth|pepper|west indian red|220|330|271.33|moderate|excellent
January 16, 2021|St. Elizabeth|pineapple|cow boy|154|176|165|moderate|excellent
January 16, 2021|St. Elizabeth|pineapple|md 2|198|220|209|moderate|excellent
January 16, 2021|St. Elizabeth|pineapple|sugar loaf|-|-|-|-|-
January 16, 2021|St. Elizabeth|plantain|green|132|154|143|moderate|excellent
January 16, 2021|St. Elizabeth|plantain|ripe|-|-|-|-|-
January 16, 2021|St. Elizabeth|pumpkin|local|110|132|110|moderate|excellent
January 16, 2021|St. Elizabeth|sorrel|local|330|440|330|moderate|excellent
January 16, 2021|St. Elizabeth|string bean|local|-|-|-|-|-
January 16, 2021|St. Elizabeth|sweet pepper (green)|green house (local)|-|-|-|-|-
January 16, 2021|St. Elizabeth|sweet pepper (green)|local|286|440|330|moderate|excellent
January 16, 2021|St. Elizabeth|sweet pepper (red)|green house (local)|-|-|-|-|-
January 16, 2021|St. Elizabeth|sweet pepper (red)|local|-|-|-|-|-
January 16, 2021|St. Elizabeth|sweet pepper (yellow)|green house (local)|-|-|-|-|-
January 16, 2021|St. Elizabeth|sweet pepper (yellow)|local|-|-|-|-|-
January 16, 2021|St. Elizabeth|sweet potato|local|110|154|132|average|excellent
January 16, 2021|St. Elizabeth|thyme|local|660|880|770|moderate|excellent
January 16, 2021|St. Elizabeth|tomatoes(plummy)|local|110|154|132|moderate|excellent
January 16, 2021|St. Elizabeth|tomatoes(salad)|local|286|440|330|moderate|excellent
January 16, 2021|St. Elizabeth|watermelon|local|264|352|293.33|scarce|excellent
January 16, 2021|St. Elizabeth|yam|negro|-|-|-|-|-
January 16, 2021|St. Elizabeth|yam|sweet|-|-|-|-|-
January 16, 2021|St. Elizabeth|yam|white (lucea)|-|-|-|-|-
January 16, 2021|St. Elizabeth|yam|yellow|-|-|-|-|-
