date|parish|commodity|variety source|low|high|most frequent|supply|grade
January 16, 2021|Trelawny|broccoli|local|-|-|-|-|-
January 16, 2021|Trelawny|cabbage (green)|local|88|220|99|moderate|excellent
January 16, 2021|Trelawny|cabbage (red)|local|-|-|-|-|-
January 16, 2021|Trelawny|callaloo|shredded|-|-|-|-|-
January 16, 2021|Trelawny|callaloo|whole|-|-|-|-|-
January 16, 2021|Trelawny|cantaloupe|local|-|-|-|-|-
January 16, 2021|Trelawny|carrot|local|220|264|242|moderate|excellent
January 16, 2021|Trelawny|cauliflower|local|-|-|-|-|-
January 16, 2021|Trelawny|coco|local|-|-|-|-|-
January 16, 2021|Trelawny|cucumber|local|-|-|-|-|-
January 16, 2021|Trelawny|dasheen|local|-|-|-|-|-
January 16, 2021|Trelawny|escallion|local|-|-|-|-|-
January 16, 2021|Trelawny|ginger|local|330|374|352|moderate|excellent
January 16, 2021|Trelawny|green banana|local|-|-|-|-|-
January 16, 2021|Trelawny|gungo peas|dry|-|-|-|-|-
January 16, 2021|Trelawny|gungo peas|green|-|-|-|-|-
January 16, 2021|Trelawny|honeydew melon|local|-|-|-|-|-
January 16, 2021|Trelawny|irish potato|local|-|-|-|-|-
January 16, 2021|Trelawny|lettuce|iceberg (local)|110|132|121|moderate|excellent
January 16, 2021|Trelawny|lettuce|other|-|-|-|-|-
January 16, 2021|Trelawny|lettuce|romaine (local)|-|-|-|-|-
January 16, 2021|Trelawny|okra|local|-|-|-|-|-
January 16, 2021|Trelawny|onion|local|-|-|-|-|-
January 16, 2021|Trelawny|pak choi|local|-|-|-|-|-
January 16, 2021|Trelawny|papaya|local|-|-|-|-|-
January 16, 2021|Trelawny|pepper|scotch bonnet|-|-|-|-|-
January 16, 2021|Trelawny|pepper|west indian red|-|-|-|-|-
January 16, 2021|Trelawny|pineapple|cow boy|-|-|-|-|-
January 16, 2021|Trelawny|pineapple|md 2|-|-|-|-|-
January 16, 2021|Trelawny|pineapple|sugar loaf|-|-|-|-|-
January 16, 2021|Trelawny|plantain|green|-|-|-|-|-
January 16, 2021|Trelawny|plantain|ripe|-|-|-|-|-
January 16, 2021|Trelawny|pumpkin|local|88|110|99|fair|excellent
January 16, 2021|Trelawny|sorrel|local|-|-|-|-|-
January 16, 2021|Trelawny|string bean|local|-|-|-|-|-
January 16, 2021|Trelawny|sweet pepper (green)|green house (local)|-|-|-|-|-
January 16, 2021|Trelawny|sweet pepper (green)|local|880|924|902|scarce|excellent
January 16, 2021|Trelawny|sweet pepper (red)|green house (local)|-|-|-|-|-
January 16, 2021|Trelawny|sweet pepper (red)|local|-|-|-|-|-
January 16, 2021|Trelawny|sweet pepper (yellow)|green house (local)|-|-|-|-|-
January 16, 2021|Trelawny|sweet pepper (yellow)|local|-|-|-|-|-
January 16, 2021|Trelawny|sweet potato|local|176|220|198|moderate|excellent
January 16, 2021|Trelawny|thyme|local|-|-|-|-|-
January 16, 2021|Trelawny|tomatoes(plummy)|local|-|-|-|-|-
January 16, 2021|Trelawny|tomatoes(salad)|local|-|-|-|-|-
January 16, 2021|Trelawny|watermelon|local|-|-|-|-|-
January 16, 2021|Trelawny|yam|negro|176|220|198|moderate|excellent
January 16, 2021|Trelawny|yam|sweet|550|594|572|moderate|excellent
January 16, 2021|Trelawny|yam|white (lucea)|-|-|-|-|-
January 16, 2021|Trelawny|yam|yellow|176|220|198|fair|excellent
