date|parish|commodity|variety source|low|high|most frequent|supply|grade
January 16, 2021|Westmoreland|broccoli|local|-|-|-|-|-
January 16, 2021|Westmoreland|cabbage (green)|local|176|220|220|moderate|excellent
January 16, 2021|Westmoreland|cabbage (red)|local|-|-|-|-|-
January 16, 2021|Westmoreland|callaloo|shredded|-|-|-|-|-
January 16, 2021|Westmoreland|callaloo|whole|110|132|110|moderate|excellent
January 16, 2021|Westmoreland|cantaloupe|local|-|-|-|-|-
January 16, 2021|Westmoreland|carrot|local|220|220|220|moderate|excellent
January 16, 2021|Westmoreland|cauliflower|local|-|-|-|-|-
January 16, 2021|Westmoreland|coco|local|220|330|330|scarce|excellent
January 16, 2021|Westmoreland|cucumber|local|154|220|176|moderate|excellent
January 16, 2021|Westmoreland|dasheen|local|176|220|176|moderate|excellent
January 16, 2021|Westmoreland|escallion|local|-|-|-|-|-
January 16, 2021|Westmoreland|ginger|local|-|-|-|-|-
January 16, 2021|Westmoreland|green banana|local|110|132|110|moderate|excellent
January 16, 2021|Westmoreland|gungo peas|dry|-|-|-|-|-
January 16, 2021|Westmoreland|gungo peas|green|-|-|-|-|-
January 16, 2021|Westmoreland|honeydew melon|local|-|-|-|-|-
January 16, 2021|Westmoreland|irish potato|local|264|330|264|scarce|excellent
January 16, 2021|Westmoreland|lettuce|iceberg (local)|-|-|-|-|-
January 16, 2021|Westmoreland|lettuce|other|-|-|-|-|-
January 16, 2021|Westmoreland|lettuce|romaine (local)|-|-|-|-|-
January 16, 2021|Westmoreland|okra|local|264|286|275|scarce|excellent
January 16, 2021|Westmoreland|onion|local|-|-|-|-|-
January 16, 2021|Westmoreland|pak choi|local|110|132|110|moderate|excellent
January 16, 2021|Westmoreland|papaya|local|154|198|176|moderate|excellent
January 16, 2021|Westmoreland|pepper|scotch bonnet|-|-|-|-|-
January 16, 2021|Westmoreland|pepper|west indian red|-|-|-|-|-
January 16, 2021|Westmoreland|pineapple|cow boy|176|198|176|fair|excellent
January 16, 2021|Westmoreland|pineapple|md 2|-|-|-|-|-
January 16, 2021|Westmoreland|pineapple|sugar loaf|-|-|-|-|-
January 16, 2021|Westmoreland|plantain|green|176|198|176|moderate|excellent
January 16, 2021|Westmoreland|plantain|ripe|-|-|-|-|-
January 16, 2021|Westmoreland|pumpkin|local|154|198|176|scarce|excellent
January 16, 2021|Westmoreland|sorrel|local|-|-|-|-|-
January 16, 2021|Westmoreland|string bean|local|-|-|-|-|-
January 16, 2021|Westmoreland|sweet pepper (green)|green house (local)|330|330|330|scarce|excellent
January 16, 2021|Westmoreland|sweet pepper (green)|local|330|330|330|scarce|excellent
January 16, 2021|Westmoreland|sweet pepper (red)|green house (local)|880|880|880|scarce|excellent
January 16, 2021|Westmoreland|sweet pepper (red)|local|-|-|-|-|-
January 16, 2021|Westmoreland|sweet pepper (yellow)|green house (local)|880|880|880|scarce|excellent
January 16, 2021|Westmoreland|sweet pepper (yellow)|local|-|-|-|-|-
January 16, 2021|Westmoreland|sweet potato|local|154|198|176|moderate|excellent
January 16, 2021|Westmoreland|thyme|local|-|-|-|-|-
January 16, 2021|Westmoreland|tomatoes(plummy)|local|110|176|132|moderate|excellent
January 16, 2021|Westmoreland|tomatoes(salad)|local|-|-|-|-|-
January 16, 2021|Westmoreland|watermelon|local|-|-|-|-|-
January 16, 2021|Westmoreland|yam|negro|-|-|-|-|-
January 16, 2021|Westmoreland|yam|sweet|-|-|-|-|-
January 16, 2021|Westmoreland|yam|white (lucea)|176|220|198|moderate|excellent
January 16, 2021|Westmoreland|yam|yellow|176|220|176|moderate|excellent
