date|parish|commodity|variety source|low|high|most frequent|supply|grade
September 04, 2021|Clarendon|broccoli|local|-|-|-|-|-
September 04, 2021|Clarendon|cabbage (green)|local|220|330|220|moderate|excellent
September 04, 2021|Clarendon|cabbage (red)|local|-|-|-|-|-
September 04, 2021|Clarendon|callaloo|shredded|-|-|-|-|-
September 04, 2021|Clarendon|callaloo|whole|66|88|88|moderate|excellent
September 04, 2021|Clarendon|cantaloupe|local|-|-|-|-|-
September 04, 2021|Clarendon|carrot|local|154|264|176|moderate|excellent
September 04, 2021|Clarendon|cauliflower|local|-|-|-|-|-
September 04, 2021|Clarendon|coco|local|220|220|220|moderate|excellent
September 04, 2021|Clarendon|cucumber|local|66|132|132|moderate|excellent
September 04, 2021|Clarendon|dasheen|local|220|264|220|moderate|excellent
September 04, 2021|Clarendon|escallion|local|-|-|-|-|-
September 04, 2021|Clarendon|ginger|local|660|660|660|moderate|excellent
September 04, 2021|Clarendon|green banana|local|88|154|110|moderate|excellent
September 04, 2021|Clarendon|gungo peas|dry|-|-|-|-|-
September 04, 2021|Clarendon|gungo peas|green|-|-|-|-|-
September 04, 2021|Clarendon|honeydew melon|local|-|-|-|-|-
September 04, 2021|Clarendon|irish potato|local|352|440|396|scarce|excellent
September 04, 2021|Clarendon|lettuce|iceberg (local)|440|660|660|moderate|excellent
September 04, 2021|Clarendon|lettuce|other|-|-|-|-|-
September 04, 2021|Clarendon|lettuce|romaine (local)|-|-|-|-|-
September 04, 2021|Clarendon|okra|local|176|264|176|moderate|excellent
September 04, 2021|Clarendon|onion|local|-|-|-|-|-
September 04, 2021|Clarendon|pak choi|local|154|220|220|moderate|excellent
September 04, 2021|Clarendon|papaya|local|-|-|-|-|-
September 04, 2021|Clarendon|pepper|scotch bonnet|276|440|330|moderate|excellent
September 04, 2021|Clarendon|pepper|west indian red|110|176|139.33|moderate|excellent
September 04, 2021|Clarendon|pineapple|cow boy|132|132|132|moderate|excellent
September 04, 2021|Clarendon|pineapple|md 2|-|-|-|-|-
September 04, 2021|Clarendon|pineapple|sugar loaf|110|110|110|moderate|excellent
September 04, 2021|Clarendon|plantain|green|88|176|88|scarce|excellent
September 04, 2021|Clarendon|plantain|ripe|154|154|154|moderate|excellent
September 04, 2021|Clarendon|pumpkin|local|88|176|88|moderate|excellent
September 04, 2021|Clarendon|sorrel|local|440|550|550|moderate|excellent
September 04, 2021|Clarendon|string bean|local|352|352|352|moderate|excellent
September 04, 2021|Clarendon|sweet pepper (green)|green house (local)|-|-|-|-|-
September 04, 2021|Clarendon|sweet pepper (green)|local|220|330|330|moderate|excellent
September 04, 2021|Clarendon|sweet pepper (red)|green house (local)|-|-|-|-|-
September 04, 2021|Clarendon|sweet pepper (red)|local|-|-|-|-|-
September 04, 2021|Clarendon|sweet pepper (yellow)|green house (local)|-|-|-|-|-
September 04, 2021|Clarendon|sweet pepper (yellow)|local|-|-|-|-|-
September 04, 2021|Clarendon|sweet potato|local|176|286|198|moderate|excellent
September 04, 2021|Clarendon|thyme|local|-|-|-|-|-
September 04, 2021|Clarendon|tomatoes(plummy)|local|220|330|275|moderate|excellent
September 04, 2021|Clarendon|tomatoes(salad)|local|220|330|275|moderate|excellent
September 04, 2021|Clarendon|watermelon|local|110|176|143|moderate|excellent
September 04, 2021|Clarendon|yam|negro|220|264|264|moderate|excellent
September 04, 2021|Clarendon|yam|sweet|-|-|-|-|-
September 04, 2021|Clarendon|yam|white (lucea)|220|264|264|moderate|excellent
September 04, 2021|Clarendon|yam|yellow|330|440|385|moderate|excellent
