date|parish|commodity|variety source|low|high|most frequent|supply|grade
September 04, 2021|Manchester|broccoli|local|-|-|-|-|-
September 04, 2021|Manchester|cabbage (green)|local|242|308|242|moderate|excellent
September 04, 2021|Manchester|cabbage (red)|local|-|-|-|-|-
September 04, 2021|Manchester|callaloo|shredded|-|-|-|-|-
September 04, 2021|Manchester|callaloo|whole|77|110|88|moderate|excellent
September 04, 2021|Manchester|cantaloupe|local|132|176|154|moderate|excellent
September 04, 2021|Manchester|carrot|local|154|176|165|moderate|excellent
September 04, 2021|Manchester|cauliflower|local|484|550|517|scarce|excellent
September 04, 2021|Manchester|coco|local|-|-|-|-|-
September 04, 2021|Manchester|cucumber|local|110|132|121|moderate|excellent
September 04, 2021|Manchester|dasheen|local|-|-|-|-|-
September 04, 2021|Manchester|escallion|local|264|330|264|moderate|excellent
September 04, 2021|Manchester|ginger|local|-|-|-|-|-
September 04, 2021|Manchester|green banana|local|44|55|49.5|moderate|excellent
September 04, 2021|Manchester|gungo peas|dry|-|-|-|-|-
September 04, 2021|Manchester|gungo peas|green|-|-|-|-|-
September 04, 2021|Manchester|honeydew melon|local|-|-|-|-|-
September 04, 2021|Manchester|irish potato|local|-|-|-|-|-
September 04, 2021|Manchester|lettuce|iceberg (local)|440|484|462|scarce|excellent
September 04, 2021|Manchester|lettuce|other|-|-|-|-|-
September 04, 2021|Manchester|lettuce|romaine (local)|770|880|825|scarce|excellent
September 04, 2021|Manchester|okra|local|-|-|-|-|-
September 04, 2021|Manchester|onion|local|-|-|-|-|-
September 04, 2021|Manchester|pak choi|local|-|-|-|-|-
September 04, 2021|Manchester|papaya|local|-|-|-|-|-
September 04, 2021|Manchester|pepper|scotch bonnet|220|396|330|moderate|excellent
September 04, 2021|Manchester|pepper|west indian red|132|176|132|moderate|excellent
September 04, 2021|Manchester|pineapple|cow boy|-|-|-|-|-
September 04, 2021|Manchester|pineapple|md 2|-|-|-|-|-
September 04, 2021|Manchester|pineapple|sugar loaf|-|-|-|-|-
September 04, 2021|Manchester|plantain|green|88|110|99|moderate|excellent
September 04, 2021|Manchester|plantain|ripe|132|154|143|moderate|excellent
September 04, 2021|Manchester|pumpkin|local|132|154|143|moderate|excellent
September 04, 2021|Manchester|sorrel|local|-|-|-|-|-
September 04, 2021|Manchester|string bean|local|-|-|-|-|-
September 04, 2021|Manchester|sweet pepper (green)|green house (local)|330|374|352|moderate|excellent
September 04, 2021|Manchester|sweet pepper (green)|local|242|374|264|moderate|excellent
September 04, 2021|Manchester|sweet pepper (red)|green house (local)|484|550|517|moderate|excellent
September 04, 2021|Manchester|sweet pepper (red)|local|-|-|-|-|-
September 04, 2021|Manchester|sweet pepper (yellow)|green house (local)|484|550|517|moderate|excellent
September 04, 2021|Manchester|sweet pepper (yellow)|local|-|-|-|-|-
September 04, 2021|Manchester|sweet potato|local|154|264|154|moderate|excellent
September 04, 2021|Manchester|thyme|local|660|660|660|moderate|excellent
September 04, 2021|Manchester|tomatoes(plummy)|local|286|374|308|scarce|excellent
September 04, 2021|Manchester|tomatoes(salad)|local|330|440|385|scarce|excellent
September 04, 2021|Manchester|watermelon|local|176|198|187|moderate|excellent
September 04, 2021|Manchester|yam|negro|242|330|297|moderate|excellent
September 04, 2021|Manchester|yam|sweet|-|-|-|-|-
September 04, 2021|Manchester|yam|white (lucea)|264|330|293.33|moderate|excellent
September 04, 2021|Manchester|yam|yellow|440|484|462|moderate|excellent
