date|parish|commodity|variety source|low|high|most frequent|supply|grade
September 04, 2021|St. Catherine|broccoli|local|-|-|-|-|-
September 04, 2021|St. Catherine|cabbage (green)|local|-|-|-|-|-
September 04, 2021|St. Catherine|cabbage (red)|local|-|-|-|-|-
September 04, 2021|St. Catherine|callaloo|shredded|-|-|-|-|-
September 04, 2021|St. Catherine|callaloo|whole|55|55|55|moderate|excellent
September 04, 2021|St. Catherine|cantaloupe|local|-|-|-|-|-
September 04, 2021|St. Catherine|carrot|local|-|-|-|-|-
September 04, 2021|St. Catherine|cauliflower|local|-|-|-|-|-
September 04, 2021|St. Catherine|coco|local|220|330|271.33|scarce|excellent
September 04, 2021|St. Catherine|cucumber|local|88|176|124.67|scarce|excellent
September 04, 2021|St. Catherine|dasheen|local|-|-|-|-|-
September 04, 2021|St. Catherine|escallion|local|-|-|-|-|-
September 04, 2021|St. Catherine|ginger|local|-|-|-|-|-
September 04, 2021|St. Catherine|green banana|local|165|165|165|moderate|excellent
September 04, 2021|St. Catherine|gungo peas|dry|-|-|-|-|-
September 04, 2021|St. Catherine|gungo peas|green|-|-|-|-|-
September 04, 2021|St. Catherine|honeydew melon|local|-|-|-|-|-
September 04, 2021|St. Catherine|irish potato|local|-|-|-|-|-
September 04, 2021|St. Catherine|lettuce|iceberg (local)|-|-|-|-|-
September 04, 2021|St. Catherine|lettuce|other|-|-|-|-|-
September 04, 2021|St. Catherine|lettuce|romaine (local)|-|-|-|-|-
September 04, 2021|St. Catherine|okra|local|220|220|220|moderate|excellent
September 04, 2021|St. Catherine|onion|local|-|-|-|-|-
September 04, 2021|St. Catherine|pak choi|local|-|-|-|-|-
September 04, 2021|St. Catherine|papaya|local|-|-|-|-|-
September 04, 2021|St. Catherine|pepper|scotch bonnet|286|350|308|scarce|excellent
September 04, 2021|St. Catherine|pepper|west indian red|-|-|-|-|-
September 04, 2021|St. Catherine|pineapple|cow boy|-|-|-|-|-
September 04, 2021|St. Catherine|pineapple|md 2|-|-|-|-|-
September 04, 2021|St. Catherine|pineapple|sugar loaf|-|-|-|-|-
September 04, 2021|St. Catherine|plantain|green|365.2|365.2|365.2|moderate|excellent
September 04, 2021|St. Catherine|plantain|ripe|-|-|-|-|-
September 04, 2021|St. Catherine|pumpkin|local|176|220|198|scarce|excellent
September 04, 2021|St. Catherine|sorrel|local|-|-|-|-|-
September 04, 2021|St. Catherine|string bean|local|-|-|-|-|-
September 04, 2021|St. Catherine|sweet pepper (green)|green house (local)|-|-|-|-|-
September 04, 2021|St. Catherine|sweet pepper (green)|local|264|330|297|scarce|excellent
September 04, 2021|St. Catherine|sweet pepper (red)|green house (local)|-|-|-|-|-
September 04, 2021|St. Catherine|sweet pepper (red)|local|-|-|-|-|-
September 04, 2021|St. Catherine|sweet pepper (yellow)|green house (local)|-|-|-|-|-
September 04, 2021|St. Catherine|sweet pepper (yellow)|local|-|-|-|-|-
September 04, 2021|St. Catherine|sweet potato|local|176|220|198|scarce|excellent
September 04, 2021|St. Catherine|thyme|local|-|-|-|-|-
September 04, 2021|St. Catherine|tomatoes(plummy)|local|220|330|330|scarce|excellent
September 04, 2021|St. Catherine|tomatoes(salad)|local|-|-|-|-|-
September 04, 2021|St. Catherine|watermelon|local|-|-|-|-|-
September 04, 2021|St. Catherine|yam|negro|-|-|-|-|-
September 04, 2021|St. Catherine|yam|sweet|-|-|-|-|-
September 04, 2021|St. Catherine|yam|white (lucea)|-|-|-|-|-
September 04, 2021|St. Catherine|yam|yellow|440|660|550|scarce|excellent
