date|parish|commodity|variety source|low|high|most frequent|supply|grade
September 04, 2021|St. Mary|broccoli|local|-|-|-|-|-
September 04, 2021|St. Mary|cabbage (green)|local|220|264|220|moderate|excellent
September 04, 2021|St. Mary|cabbage (red)|local|-|-|-|-|-
September 04, 2021|St. Mary|callaloo|shredded|-|-|-|-|-
September 04, 2021|St. Mary|callaloo|whole|88|154|88|moderate|excellent
September 04, 2021|St. Mary|cantaloupe|local|-|-|-|-|-
September 04, 2021|St. Mary|carrot|local|198|264|209|scarce|excellent
September 04, 2021|St. Mary|cauliflower|local|-|-|-|-|-
September 04, 2021|St. Mary|coco|local|220|330|264|moderate|excellent
September 04, 2021|St. Mary|cucumber|local|88|176|110|fair|excellent
September 04, 2021|St. Mary|dasheen|local|242|330|330|moderate|excellent
September 04, 2021|St. Mary|escallion|local|-|-|-|-|-
September 04, 2021|St. Mary|ginger|local|-|-|-|-|-
September 04, 2021|St. Mary|green banana|local|66|132|66|good|excellent
September 04, 2021|St. Mary|gungo peas|dry|-|-|-|-|-
September 04, 2021|St. Mary|gungo peas|green|-|-|-|-|-
September 04, 2021|St. Mary|honeydew melon|local|-|-|-|-|-
September 04, 2021|St. Mary|irish potato|local|-|-|-|-|-
September 04, 2021|St. Mary|lettuce|iceberg (local)|-|-|-|-|-
September 04, 2021|St. Mary|lettuce|other|-|-|-|-|-
September 04, 2021|St. Mary|lettuce|romaine (local)|-|-|-|-|-
September 04, 2021|St. Mary|okra|local|220|286|220|scarce|excellent
September 04, 2021|St. Mary|onion|local|-|-|-|-|-
September 04, 2021|St. Mary|pak choi|local|110|220|161.33|moderate|excellent
September 04, 2021|St. Mary|papaya|local|154|176|154|average|excellent
September 04, 2021|St. Mary|pepper|scotch bonnet|198|330|264|moderate|excellent
September 04, 2021|St. Mary|pepper|west indian red|110|154|154|fair|excellent
September 04, 2021|St. Mary|pineapple|cow boy|-|-|-|-|-
September 04, 2021|St. Mary|pineapple|md 2|215|253|253|good|excellent
September 04, 2021|St. Mary|pineapple|sugar loaf|132|264|220|moderate|excellent
September 04, 2021|St. Mary|plantain|green|88|132|88|average|excellent
September 04, 2021|St. Mary|plantain|ripe|110|176|132|fair|excellent
September 04, 2021|St. Mary|pumpkin|local|88|176|176|moderate|excellent
September 04, 2021|St. Mary|sorrel|local|-|-|-|-|-
September 04, 2021|St. Mary|string bean|local|330|440|396|scarce|excellent
September 04, 2021|St. Mary|sweet pepper (green)|green house (local)|-|-|-|-|-
September 04, 2021|St. Mary|sweet pepper (green)|local|220|440|330|scarce|excellent
September 04, 2021|St. Mary|sweet pepper (red)|green house (local)|-|-|-|-|-
September 04, 2021|St. Mary|sweet pepper (red)|local|-|-|-|-|-
September 04, 2021|St. Mary|sweet pepper (yellow)|green house (local)|-|-|-|-|-
September 04, 2021|St. Mary|sweet pepper (yellow)|local|-|-|-|-|-
September 04, 2021|St. Mary|sweet potato|local|154|330|220|fair|excellent
September 04, 2021|St. Mary|thyme|local|-|-|-|-|-
September 04, 2021|St. Mary|tomatoes(plummy)|local|198|330|330|scarce|excellent
September 04, 2021|St. Mary|tomatoes(salad)|local|330|550|330|scarce|excellent
September 04, 2021|St. Mary|watermelon|local|154|154|154|fair|excellent
September 04, 2021|St. Mary|yam|negro|-|-|-|-|-
September 04, 2021|St. Mary|yam|sweet|-|-|-|-|-
September 04, 2021|St. Mary|yam|white (lucea)|-|-|-|-|-
September 04, 2021|St. Mary|yam|yellow|440|550|498.67|scarce|excellent
