date|parish|commodity|variety source|low|high|most frequent|supply|grade
September 04, 2021|Trelawny|broccoli|local|-|-|-|-|-
September 04, 2021|Trelawny|cabbage (green)|local|220|264|242|moderate|excellent
September 04, 2021|Trelawny|cabbage (red)|local|-|-|-|-|-
September 04, 2021|Trelawny|callaloo|shredded|-|-|-|-|-
September 04, 2021|Trelawny|callaloo|whole|-|-|-|-|-
September 04, 2021|Trelawny|cantaloupe|local|-|-|-|-|-
September 04, 2021|Trelawny|carrot|local|154|198|176|moderate|excellent
September 04, 2021|Trelawny|cauliflower|local|-|-|-|-|-
September 04, 2021|Trelawny|coco|local|-|-|-|-|-
September 04, 2021|Trelawny|cucumber|local|-|-|-|-|-
September 04, 2021|Trelawny|dasheen|local|-|-|-|-|-
September 04, 2021|Trelawny|escallion|local|-|-|-|-|-
September 04, 2021|Trelawny|ginger|local|-|-|-|-|-
September 04, 2021|Trelawny|green banana|local|-|-|-|-|-
September 04, 2021|Trelawny|gungo peas|dry|-|-|-|-|-
September 04, 2021|Trelawny|gungo peas|green|-|-|-|-|-
September 04, 2021|Trelawny|honeydew melon|local|-|-|-|-|-
September 04, 2021|Trelawny|irish potato|local|-|-|-|-|-
September 04, 2021|Trelawny|lettuce|iceberg (local)|-|-|-|-|-
September 04, 2021|Trelawny|lettuce|other|-|-|-|-|-
September 04, 2021|Trelawny|lettuce|romaine (local)|-|-|-|-|-
September 04, 2021|Trelawny|okra|local|-|-|-|-|-
September 04, 2021|Trelawny|onion|local|-|-|-|-|-
September 04, 2021|Trelawny|pak choi|local|-|-|-|-|-
September 04, 2021|Trelawny|papaya|local|-|-|-|-|-
September 04, 2021|Trelawny|pepper|scotch bonnet|286|330|308|moderate|excellent
September 04, 2021|Trelawny|pepper|west indian red|-|-|-|-|-
September 04, 2021|Trelawny|pineapple|cow boy|-|-|-|-|-
September 04, 2021|Trelawny|pineapple|md 2|-|-|-|-|-
September 04, 2021|Trelawny|pineapple|sugar loaf|-|-|-|-|-
September 04, 2021|Trelawny|plantain|green|-|-|-|-|-
September 04, 2021|Trelawny|plantain|ripe|-|-|-|-|-
September 04, 2021|Trelawny|pumpkin|local|88|110|99|moderate|excellent
September 04, 2021|Trelawny|sorrel|local|-|-|-|-|-
September 04, 2021|Trelawny|string bean|local|-|-|-|-|-
September 04, 2021|Trelawny|sweet pepper (green)|green house (local)|374|418|396|moderate|excellent
September 04, 2021|Trelawny|sweet pepper (green)|local|286|330|308|moderate|excellent
September 04, 2021|Trelawny|sweet pepper (red)|green house (local)|440|484|462|scarce|excellent
September 04, 2021|Trelawny|sweet pepper (red)|local|-|-|-|-|-
September 04, 2021|Trelawny|sweet pepper (yellow)|green house (local)|-|-|-|-|-
September 04, 2021|Trelawny|sweet pepper (yellow)|local|-|-|-|-|-
September 04, 2021|Trelawny|sweet potato|local|176|220|198|moderate|excellent
September 04, 2021|Trelawny|thyme|local|-|-|-|-|-
September 04, 2021|Trelawny|tomatoes(plummy)|local|-|-|-|-|-
September 04, 2021|Trelawny|tomatoes(salad)|local|-|-|-|-|-
September 04, 2021|Trelawny|watermelon|local|-|-|-|-|-
September 04, 2021|Trelawny|yam|negro|286|330|308|moderate|excellent
September 04, 2021|Trelawny|yam|sweet|-|-|-|-|-
September 04, 2021|Trelawny|yam|white (lucea)|286|330|308|moderate|excellent
September 04, 2021|Trelawny|yam|yellow|396|440|418|moderate|excellent
