date|parish|commodity|variety source|low|high|most frequent|supply|grade
September 04, 2021|Westmoreland|broccoli|local|-|-|-|-|-
September 04, 2021|Westmoreland|cabbage (green)|local|220|220|220|scarce|excellent
September 04, 2021|Westmoreland|cabbage (red)|local|-|-|-|-|-
September 04, 2021|Westmoreland|callaloo|shredded|-|-|-|-|-
September 04, 2021|Westmoreland|callaloo|whole|110|154|132|fair|excellent
September 04, 2021|Westmoreland|cantaloupe|local|-|-|-|-|-
September 04, 2021|Westmoreland|carrot|local|220|264|220|scarce|excellent
September 04, 2021|Westmoreland|cauliflower|local|-|-|-|-|-
September 04, 2021|Westmoreland|coco|local|176|220|220|scarce|excellent
September 04, 2021|Westmoreland|cucumber|local|176|220|220|scarce|excellent
September 04, 2021|Westmoreland|dasheen|local|176|220|220|moderate|excellent
September 04, 2021|Westmoreland|escallion|local|-|-|-|-|-
September 04, 2021|Westmoreland|ginger|local|-|-|-|-|-
September 04, 2021|Westmoreland|green banana|local|110|155|132|moderate|excellent
September 04, 2021|Westmoreland|gungo peas|dry|-|-|-|-|-
September 04, 2021|Westmoreland|gungo peas|green|-|-|-|-|-
September 04, 2021|Westmoreland|honeydew melon|local|-|-|-|-|-
September 04, 2021|Westmoreland|irish potato|local|-|-|-|-|-
September 04, 2021|Westmoreland|lettuce|iceberg (local)|-|-|-|-|-
September 04, 2021|Westmoreland|lettuce|other|-|-|-|-|-
September 04, 2021|Westmoreland|lettuce|romaine (local)|-|-|-|-|-
September 04, 2021|Westmoreland|okra|local|220|264|264|scarce|excellent
September 04, 2021|Westmoreland|onion|local|-|-|-|-|-
September 04, 2021|Westmoreland|pak choi|local|110|132|110|moderate|excellent
September 04, 2021|Westmoreland|papaya|local|176|198|176|moderate|excellent
September 04, 2021|Westmoreland|pepper|scotch bonnet|330|440|386|scarce|excellent
September 04, 2021|Westmoreland|pepper|west indian red|176|220|176|fair|excellent
September 04, 2021|Westmoreland|pineapple|cow boy|176|220|187|scarce|excellent
September 04, 2021|Westmoreland|pineapple|md 2|-|-|-|-|-
September 04, 2021|Westmoreland|pineapple|sugar loaf|-|-|-|-|-
September 04, 2021|Westmoreland|plantain|green|154|198|176|moderate|excellent
September 04, 2021|Westmoreland|plantain|ripe|-|-|-|-|-
September 04, 2021|Westmoreland|pumpkin|local|132|220|176|moderate|excellent
September 04, 2021|Westmoreland|sorrel|local|-|-|-|-|-
September 04, 2021|Westmoreland|string bean|local|-|-|-|-|-
September 04, 2021|Westmoreland|sweet pepper (green)|green house (local)|-|-|-|-|-
September 04, 2021|Westmoreland|sweet pepper (green)|local|330|386|330|scarce|excellent
September 04, 2021|Westmoreland|sweet pepper (red)|green house (local)|-|-|-|-|-
September 04, 2021|Westmoreland|sweet pepper (red)|local|-|-|-|-|-
September 04, 2021|Westmoreland|sweet pepper (yellow)|green house (local)|-|-|-|-|-
September 04, 2021|Westmoreland|sweet pepper (yellow)|local|-|-|-|-|-
September 04, 2021|Westmoreland|sweet potato|local|154|220|176|moderate|excellent
September 04, 2021|Westmoreland|thyme|local|-|-|-|-|-
September 04, 2021|Westmoreland|tomatoes(plummy)|local|286|330|330|scarce|excellent
September 04, 2021|Westmoreland|tomatoes(salad)|local|-|-|-|-|-
September 04, 2021|Westmoreland|watermelon|local|-|-|-|-|-
September 04, 2021|Westmoreland|yam|negro|-|-|-|-|-
September 04, 2021|Westmoreland|yam|sweet|-|-|-|-|-
September 04, 2021|Westmoreland|yam|white (lucea)|286|330|330|scarce|excellent
September 04, 2021|Westmoreland|yam|yellow|-|-|-|-|-
