"Ministry of Industry,
Commerce, Agriculture
& Fisheries"||||"Farmgate Prices (J$/Kg)
Week Ending August 14, 2021"||||||||||||||||
||||||||||||||||||||
||||||||||||||||||||
||||||||||||||||||||
||||||Manchester|||||||||St. Andrew|||||
||||||||||||||||||||
||||||Low||High||"Most
Frequent"|Supply|||Grade|Low|High|"Most
Frequent"|Supply||Grade
Commodity||Variety / Source||||||||||||||||||
||||||||||||||||||||
Broccoli||Local||||-||-||-|-|||-|880|1100|880|Fair||Excellent
||||||||||||||||||||
Cabbage (Green)||Local||||132||176||143|Moderate|||Excellent|110|132|110|Fair||Excellent
Cabbage (Red)||Local||||-||-||-|-|||-|-|-|-|-||-
Callaloo||Shredded||||-||-||-|-|||-|-|-|-|-||-
Callaloo||Whole||||77||110||88|Moderate|||Excellent|132|132|132|Fair||Excellent
Cantaloupe||Local||||176||220||198|Moderate|||Excellent|-|-|-|-||-
Carrot||Local||||110||132||121|Fair|||Excellent|66|88|66|Fair||Excellent
Cauliflower||Local||||440||550||495|Scarce|||Excellent|440|660|440|Fair||Excellent
Coco||Local||||-||-||-|-|||-|-|-|-|-||-
Cucumber||Local||||66||88||66|Moderate|||Excellent|66|88|88|Fair||Excellent
Dasheen||Local||||-||-||-|-|||-|-|-|-|-||-
Escallion||Local||||110||132||121|Fair|||Excellent|176|220|220|Fair||Excellent
Ginger||Local||||-||-||-|-|||-|-|-|-|-||-
Green Banana||Local||||44||55||49.5|Moderate|||Excellent|110|132|132|Fair||Excellent
Gungo Peas||Dry||||-||-||-|-|||-|-|-|-|-||-
Gungo Peas||Green||||-||-||-|-|||-|-|-|-|-||-
Honeydew Melon||Local||||-||-||-|-|||-|-|-|-|-||-
Irish Potato||Local||||440||440||440|Scarce|||Excellent|264|330|264|Fair||Excellent
Lettuce||Iceberg (Local)||||440||660||550|Scarce|||Excellent|330|330|330|Fair||Excellent
Lettuce||Other||||-||-||-|-|||-|-|-|-|-||-
Lettuce||Romaine (Local)||||770||880||770|Scarce|||Excellent|-|-|-|-||-
Okra||Local||||-||-||-|-|||-|-|-|-|-||-
Onion||Local||||-||-||-|-|||-|-|-|-|-||-
Pak Choi||Local||||-||-||-|-|||-|-|-|-|-||-
Papaya||Local||||-||-||-|-|||-|-|-|-|-||-
Pepper||Scotch Bonnet||||198||330||275|Moderate|||Excellent|330|330|330|Fair||Excellent
Pepper||West Indian Red||||110||154||110|Moderate|||Excellent|-|-|-|-||-
Pineapple||Cow Boy||||-||-||-|-|||-|-|-|-|-||-
Pineapple||MD 2||||-||-||-|-|||-|-|-|-|-||-
Pineapple||Sugar Loaf||||-||-||-|-|||-|-|-|-|-||-
Plantain||Green||||88||110||99|Moderate|||Excellent|132|154|154|Fair||Excellent
Plantain||Ripe||||110||154||110|Moderate|||Excellent|-|-|-|-||-
Pumpkin||Local||||66||88||77|Moderate|||Excellent|110|132|110|Fair||Excellent
Sorrel||Local||||-||-||-|-|||-|-|-|-|-||-
String Bean||Local||||396||440||440|Scarce|||Excellent|264|330|330|Fair||Excellent
Sweet Pepper (Green)||Green House (Local)||||-||-||-|-|||-|-|-|-|-||-
