date|parish|commodity|variety source|low|high|most frequent|supply|grade
april_17_2021|Manchester|broccoli|local|660|880|770|moderate|excellent
april_17_2021|Manchester|cabbage (green)|local|44|66|66|moderate|excellent
april_17_2021|Manchester|cabbage (red)|local|-|-|-|-|-
april_17_2021|Manchester|callaloo|shredded|-|-|-|-|-
april_17_2021|Manchester|callaloo|whole|77|132|88|moderate|excellent
april_17_2021|Manchester|cantaloupe|local|176|220|198|scarce|excellent
april_17_2021|Manchester|carrot|local|110|154|154|moderate|excellent
april_17_2021|Manchester|cauliflower|local|550|660|660|scarce|excellent
april_17_2021|Manchester|coco|local|-|-|-|-|-
april_17_2021|Manchester|cucumber|local|77|110|88|moderate|excellent
april_17_2021|Manchester|dasheen|local|-|-|-|-|-
april_17_2021|Manchester|escallion|local|132|176|154|moderate|excellent
april_17_2021|Manchester|ginger|local|286|330|308|moderate|excellent
april_17_2021|Manchester|green banana|local|33|55|44|moderate|excellent
april_17_2021|Manchester|gungo peas|dry|-|-|-|-|-
april_17_2021|Manchester|gungo peas|green|-|-|-|-|-
april_17_2021|Manchester|honeydew melon|local|-|-|-|-|-
april_17_2021|Manchester|irish potato|local|132|154|143|moderate|excellent
april_17_2021|Manchester|lettuce|iceberg (local)|132|176|132|moderate|excellent
april_17_2021|Manchester|lettuce|other|-|-|-|-|-
april_17_2021|Manchester|lettuce|romaine (local)|264|440|396|fair|excellent
april_17_2021|Manchester|okra|local|-|-|-|-|-
april_17_2021|Manchester|onion|local|-|-|-|-|-
april_17_2021|Manchester|pak choi|local|-|-|-|-|-
april_17_2021|Manchester|papaya|local|-|-|-|-|-
april_17_2021|Manchester|pepper|scotch bonnet|286|440|385|moderate|excellent
april_17_2021|Manchester|pepper|west indian red|132|176|154|moderate|excellent
april_17_2021|Manchester|pineapple|cow boy|-|-|-|-|-
april_17_2021|Manchester|pineapple|md 2|-|-|-|-|-
april_17_2021|Manchester|pineapple|sugar loaf|-|-|-|-|-
april_17_2021|Manchester|plantain|green|55|88|88|moderate|excellent
april_17_2021|Manchester|plantain|ripe|88|154|132|moderate|excellent
april_17_2021|Manchester|pumpkin|local|176|220|176|scarce|excellent
april_17_2021|Manchester|sorrel|local|-|-|-|-|-
april_17_2021|Manchester|string bean|local|-|-|-|-|-
april_17_2021|Manchester|sweet pepper (green)|green house (local)|-|-|-|-|-
april_17_2021|Manchester|sweet pepper (green)|local|110|154|132|fair|excellent
april_17_2021|Manchester|sweet pepper (red)|green house (local)|440|550|440|moderate|excellent
april_17_2021|Manchester|sweet pepper (red)|local|-|-|-|-|-
april_17_2021|Manchester|sweet pepper (yellow)|green house (local)|440|550|440|moderate|excellent
april_17_2021|Manchester|sweet pepper (yellow)|local|-|-|-|-|-
april_17_2021|Manchester|sweet potato|local|242|330|330|scarce|excellent
april_17_2021|Manchester|thyme|local|330|440|385|average|excellent
april_17_2021|Manchester|tomatoes(plummy)|local|66|88|77|fair|excellent
april_17_2021|Manchester|tomatoes(salad)|local|110|154|132|moderate|excellent
april_17_2021|Manchester|watermelon|local|132|154|143|moderate|excellent
april_17_2021|Manchester|yam|negro|220|286|286|scarce|excellent
april_17_2021|Manchester|yam|sweet|-|-|-|-|-
april_17_2021|Manchester|yam|white (lucea)|-|-|-|-|-
april_17_2021|Manchester|yam|yellow|198|242|220|moderate|excellent
april_17_2021|St. Andrew|broccoli|local|440|660|440|fair|excellent
april_17_2021|St. Andrew|cabbage (green)|local|44|66|44|fair|excellent
april_17_2021|St. Andrew|cabbage (red)|local|-|-|-|-|-
april_17_2021|St. Andrew|callaloo|shredded|-|-|-|-|-
april_17_2021|St. Andrew|callaloo|whole|110|132|132|fair|excellent
april_17_2021|St. Andrew|cantaloupe|local|-|-|-|-|-
april_17_2021|St. Andrew|carrot|local|176|220|176|fair|excellent
april_17_2021|St. Andrew|cauliflower|local|660|660|660|fair|excellent
april_17_2021|St. Andrew|coco|local|-|-|-|-|-
april_17_2021|St. Andrew|cucumber|local|88|110|88|fair|excellent
april_17_2021|St. Andrew|dasheen|local|-|-|-|-|-
april_17_2021|St. Andrew|escallion|local|220|264|220|fair|excellent
april_17_2021|St. Andrew|ginger|local|330|440|330|fair|excellent
april_17_2021|St. Andrew|green banana|local|88|110|110|fair|excellent
april_17_2021|St. Andrew|gungo peas|dry|-|-|-|-|-
april_17_2021|St. Andrew|gungo peas|green|-|-|-|-|-
april_17_2021|St. Andrew|honeydew melon|local|-|-|-|-|-
april_17_2021|St. Andrew|irish potato|local|132|220|176|fair|excellent
april_17_2021|St. Andrew|lettuce|iceberg (local)|132|176|132|fair|excellent
april_17_2021|St. Andrew|lettuce|other|-|-|-|-|-
april_17_2021|St. Andrew|lettuce|romaine (local)|-|-|-|-|-
april_17_2021|St. Andrew|okra|local|-|-|-|-|-
april_17_2021|St. Andrew|onion|local|-|-|-|-|-
april_17_2021|St. Andrew|pak choi|local|-|-|-|-|-
april_17_2021|St. Andrew|papaya|local|-|-|-|-|-
april_17_2021|St. Andrew|pepper|scotch bonnet|550|660|660|fair|excellent
april_17_2021|St. Andrew|pepper|west indian red|-|-|-|-|-
april_17_2021|St. Andrew|pineapple|cow boy|-|-|-|-|-
april_17_2021|St. Andrew|pineapple|md 2|-|-|-|-|-
april_17_2021|St. Andrew|pineapple|sugar loaf|-|-|-|-|-
april_17_2021|St. Andrew|plantain|green|132|154|132|fair|excellent
april_17_2021|St. Andrew|plantain|ripe|-|-|-|-|-
april_17_2021|St. Andrew|pumpkin|local|220|264|220|fair|excellent
april_17_2021|St. Andrew|sorrel|local|-|-|-|-|-
april_17_2021|St. Andrew|string bean|local|176|220|176|fair|excellent
april_17_2021|St. Andrew|sweet pepper (green)|green house (local)|-|-|-|-|-
april_17_2021|St. Andrew|sweet pepper (green)|local|132|176|176|fair|excellent
april_17_2021|St. Andrew|sweet pepper (red)|green house (local)|-|-|-|-|-
april_17_2021|St. Andrew|sweet pepper (red)|local|-|-|-|-|-
april_17_2021|St. Andrew|sweet pepper (yellow)|green house (local)|-|-|-|-|-
april_17_2021|St. Andrew|sweet pepper (yellow)|local|-|-|-|-|-
april_17_2021|St. Andrew|sweet potato|local|-|-|-|-|-
april_17_2021|St. Andrew|thyme|local|880|880|880|fair|excellent
april_17_2021|St. Andrew|tomatoes(plummy)|local|44|66|66|fair|excellent
april_17_2021|St. Andrew|tomatoes(salad)|local|132|220|176|fair|excellent
april_17_2021|St. Andrew|watermelon|local|-|-|-|-|-
april_17_2021|St. Andrew|yam|negro|-|-|-|-|-
april_17_2021|St. Andrew|yam|sweet|-|-|-|-|-
april_17_2021|St. Andrew|yam|white (lucea)|-|-|-|-|-
april_17_2021|St. Andrew|yam|yellow|110|110|110|fair|excellent
april_17_2021|St. Catherine|broccoli|local|-|-|-|-|-
april_17_2021|St. Catherine|cabbage (green)|local|44|88|66|moderate|excellent
april_17_2021|St. Catherine|cabbage (red)|local|-|-|-|-|-
april_17_2021|St. Catherine|callaloo|shredded|-|-|-|-|-
april_17_2021|St. Catherine|callaloo|whole|33|44|44|moderate|excellent
april_17_2021|St. Catherine|cantaloupe|local|-|-|-|-|-
april_17_2021|St. Catherine|carrot|local|176|220|198|moderate|excellent
april_17_2021|St. Catherine|cauliflower|local|-|-|-|-|-
april_17_2021|St. Catherine|coco|local|176|264|220|scarce|excellent
april_17_2021|St. Catherine|cucumber|local|33|88|66|scarce|excellent
april_17_2021|St. Catherine|dasheen|local|176|220|198|scarce|excellent
april_17_2021|St. Catherine|escallion|local|-|-|-|-|-
april_17_2021|St. Catherine|ginger|local|440|440|440|scarce|excellent
april_17_2021|St. Catherine|green banana|local|66|66|66|moderate|excellent
april_17_2021|St. Catherine|gungo peas|dry|-|-|-|-|-
april_17_2021|St. Catherine|gungo peas|green|264|264|264|scarce|excellent
april_17_2021|St. Catherine|honeydew melon|local|-|-|-|-|-
april_17_2021|St. Catherine|irish potato|local|132|132|132|moderate|excellent
april_17_2021|St. Catherine|lettuce|iceberg (local)|-|-|-|-|-
april_17_2021|St. Catherine|lettuce|other|-|-|-|-|-
april_17_2021|St. Catherine|lettuce|romaine (local)|-|-|-|-|-
april_17_2021|St. Catherine|okra|local|176|220|198|moderate|excellent
april_17_2021|St. Catherine|onion|local|220|330|271.33|moderate|excellent
april_17_2021|St. Catherine|pak choi|local|110|110|110|scarce|excellent
april_17_2021|St. Catherine|papaya|local|-|-|-|-|-
april_17_2021|St. Catherine|pepper|scotch bonnet|220|330|271.33|moderate|excellent
april_17_2021|St. Catherine|pepper|west indian red|132|176|154|moderate|excellent
april_17_2021|St. Catherine|pineapple|cow boy|-|-|-|-|-
april_17_2021|St. Catherine|pineapple|md 2|-|-|-|-|-
april_17_2021|St. Catherine|pineapple|sugar loaf|-|-|-|-|-
april_17_2021|St. Catherine|plantain|green|396|396|396|moderate|excellent
april_17_2021|St. Catherine|plantain|ripe|-|-|-|-|-
april_17_2021|St. Catherine|pumpkin|local|88|88|88|scarce|excellent
april_17_2021|St. Catherine|sorrel|local|-|-|-|-|-
april_17_2021|St. Catherine|string bean|local|-|-|-|-|-
april_17_2021|St. Catherine|sweet pepper (green)|green house (local)|-|-|-|-|-
april_17_2021|St. Catherine|sweet pepper (green)|local|110|176|139.33|moderate|excellent
april_17_2021|St. Catherine|sweet pepper (red)|green house (local)|-|-|-|-|-
april_17_2021|St. Catherine|sweet pepper (red)|local|-|-|-|-|-
april_17_2021|St. Catherine|sweet pepper (yellow)|green house (local)|-|-|-|-|-
april_17_2021|St. Catherine|sweet pepper (yellow)|local|-|-|-|-|-
april_17_2021|St. Catherine|sweet potato|local|132|176|154|scarce|excellent
april_17_2021|St. Catherine|thyme|local|-|-|-|-|-
april_17_2021|St. Catherine|tomatoes(plummy)|local|66|88|77|scarce|excellent
april_17_2021|St. Catherine|tomatoes(salad)|local|-|-|-|-|-
april_17_2021|St. Catherine|watermelon|local|110|110|110|fair|excellent
april_17_2021|St. Catherine|yam|negro|-|-|-|-|-
april_17_2021|St. Catherine|yam|sweet|-|-|-|-|-
april_17_2021|St. Catherine|yam|white (lucea)|-|-|-|-|-
april_17_2021|St. Catherine|yam|yellow|132|176|176|moderate|excellent
april_17_2021|Clarendon|broccoli|local|660|660|660|moderate|excellent
april_17_2021|Clarendon|cabbage (green)|local|33|66|44|abundant|excellent
april_17_2021|Clarendon|cabbage (red)|local|-|-|-|-|-
april_17_2021|Clarendon|callaloo|shredded|-|-|-|-|-
april_17_2021|Clarendon|callaloo|whole|55|88|66|moderate|excellent
april_17_2021|Clarendon|cantaloupe|local|-|-|-|-|-
april_17_2021|Clarendon|carrot|local|154|264|220|moderate|excellent
april_17_2021|Clarendon|cauliflower|local|330|330|330|moderate|excellent
april_17_2021|Clarendon|coco|local|110|286|220|moderate|excellent
april_17_2021|Clarendon|cucumber|local|88|110|110|moderate|excellent
april_17_2021|Clarendon|dasheen|local|176|308|176|moderate|excellent
april_17_2021|Clarendon|escallion|local|-|-|-|-|-
april_17_2021|Clarendon|ginger|local|220|330|275|moderate|excellent
april_17_2021|Clarendon|green banana|local|66|99|88|moderate|excellent
april_17_2021|Clarendon|gungo peas|dry|-|-|-|-|-
april_17_2021|Clarendon|gungo peas|green|-|-|-|-|-
april_17_2021|Clarendon|honeydew melon|local|-|-|-|-|-
april_17_2021|Clarendon|irish potato|local|132|176|143|moderate|excellent
april_17_2021|Clarendon|lettuce|iceberg (local)|132|176|143|moderate|excellent
april_17_2021|Clarendon|lettuce|other|-|-|-|-|-
april_17_2021|Clarendon|lettuce|romaine (local)|220|220|220|moderate|excellent
april_17_2021|Clarendon|okra|local|220|330|220|moderate|excellent
april_17_2021|Clarendon|onion|local|264|330|300.67|moderate|excellent
april_17_2021|Clarendon|pak choi|local|88|110|88|moderate|excellent
april_17_2021|Clarendon|papaya|local|-|-|-|-|-
april_17_2021|Clarendon|pepper|scotch bonnet|330|550|440|moderate|excellent
april_17_2021|Clarendon|pepper|west indian red|-|-|-|-|-
april_17_2021|Clarendon|pineapple|cow boy|-|-|-|-|-
april_17_2021|Clarendon|pineapple|md 2|-|-|-|-|-
april_17_2021|Clarendon|pineapple|sugar loaf|-|-|-|-|-
april_17_2021|Clarendon|plantain|green|110|143|132|moderate|excellent
april_17_2021|Clarendon|plantain|ripe|-|-|-|-|-
april_17_2021|Clarendon|pumpkin|local|176|220|176|scarce|excellent
april_17_2021|Clarendon|sorrel|local|-|-|-|-|-
april_17_2021|Clarendon|string bean|local|220|220|220|moderate|excellent
april_17_2021|Clarendon|sweet pepper (green)|green house (local)|110|154|132|moderate|excellent
april_17_2021|Clarendon|sweet pepper (green)|local|154|176|165|moderate|excellent
april_17_2021|Clarendon|sweet pepper (red)|green house (local)|-|-|-|-|-
april_17_2021|Clarendon|sweet pepper (red)|local|-|-|-|-|-
april_17_2021|Clarendon|sweet pepper (yellow)|green house (local)|-|-|-|-|-
april_17_2021|Clarendon|sweet pepper (yellow)|local|-|-|-|-|-
april_17_2021|Clarendon|sweet potato|local|198|264|220|moderate|excellent
april_17_2021|Clarendon|thyme|local|-|-|-|-|-
april_17_2021|Clarendon|tomatoes(plummy)|local|44|66|55|average|excellent
april_17_2021|Clarendon|tomatoes(salad)|local|88|110|110|average|excellent
april_17_2021|Clarendon|watermelon|local|-|-|-|-|-
april_17_2021|Clarendon|yam|negro|-|-|-|-|-
april_17_2021|Clarendon|yam|sweet|-|-|-|-|-
april_17_2021|Clarendon|yam|white (lucea)|-|-|-|-|-
april_17_2021|Clarendon|yam|yellow|154|220|176|moderate|excellent
april_17_2021|St. Elizabeth|broccoli|local|660|770|715|moderate|excellent
april_17_2021|St. Elizabeth|cabbage (green)|local|66|88|77|moderate|excellent
april_17_2021|St. Elizabeth|cabbage (red)|local|-|-|-|-|-
april_17_2021|St. Elizabeth|callaloo|shredded|-|-|-|-|-
april_17_2021|St. Elizabeth|callaloo|whole|-|-|-|-|-
april_17_2021|St. Elizabeth|cantaloupe|local|176|220|198|moderate|excellent
april_17_2021|St. Elizabeth|carrot|local|176|220|187|moderate|excellent
april_17_2021|St. Elizabeth|cauliflower|local|440|550|495|moderate|excellent
april_17_2021|St. Elizabeth|coco|local|220|264|242|moderate|excellent
april_17_2021|St. Elizabeth|cucumber|local|66|88|77|moderate|excellent
april_17_2021|St. Elizabeth|dasheen|local|132|154|143|moderate|excellent
april_17_2021|St. Elizabeth|escallion|local|154|176|165|moderate|excellent
april_17_2021|St. Elizabeth|ginger|local|330|396|363|moderate|excellent
april_17_2021|St. Elizabeth|green banana|local|66|77|71.5|moderate|excellent
april_17_2021|St. Elizabeth|gungo peas|dry|-|-|-|-|-
april_17_2021|St. Elizabeth|gungo peas|green|-|-|-|-|-
april_17_2021|St. Elizabeth|honeydew melon|local|198|220|209|scarce|excellent
april_17_2021|St. Elizabeth|irish potato|local|154|176|165|moderate|excellent
april_17_2021|St. Elizabeth|lettuce|iceberg (local)|154|220|176|moderate|excellent
april_17_2021|St. Elizabeth|lettuce|other|-|-|-|-|-
april_17_2021|St. Elizabeth|lettuce|romaine (local)|-|-|-|-|-
april_17_2021|St. Elizabeth|okra|local|-|-|-|-|-
april_17_2021|St. Elizabeth|onion|local|-|-|-|-|-
april_17_2021|St. Elizabeth|pak choi|local|-|-|-|-|-
april_17_2021|St. Elizabeth|papaya|local|132|154|143|scarce|excellent
april_17_2021|St. Elizabeth|pepper|scotch bonnet|330|440|385|moderate|excellent
april_17_2021|St. Elizabeth|pepper|west indian red|132|176|154|moderate|excellent
april_17_2021|St. Elizabeth|pineapple|cow boy|132|154|143|moderate|excellent
april_17_2021|St. Elizabeth|pineapple|md 2|176|198|187|moderate|excellent
april_17_2021|St. Elizabeth|pineapple|sugar loaf|-|-|-|-|-
april_17_2021|St. Elizabeth|plantain|green|132|154|143|moderate|excellent
april_17_2021|St. Elizabeth|plantain|ripe|-|-|-|-|-
april_17_2021|St. Elizabeth|pumpkin|local|132|176|143|scarce|excellent
april_17_2021|St. Elizabeth|sorrel|local|-|-|-|-|-
april_17_2021|St. Elizabeth|string bean|local|-|-|-|-|-
april_17_2021|St. Elizabeth|sweet pepper (green)|green house (local)|-|-|-|-|-
april_17_2021|St. Elizabeth|sweet pepper (green)|local|110|176|132|fair|excellent
april_17_2021|St. Elizabeth|sweet pepper (red)|green house (local)|-|-|-|-|-
april_17_2021|St. Elizabeth|sweet pepper (red)|local|-|-|-|-|-
april_17_2021|St. Elizabeth|sweet pepper (yellow)|green house (local)|-|-|-|-|-
april_17_2021|St. Elizabeth|sweet pepper (yellow)|local|-|-|-|-|-
april_17_2021|St. Elizabeth|sweet potato|local|198|264|242|scarce|excellent
april_17_2021|St. Elizabeth|thyme|local|330|550|440|fair|excellent
april_17_2021|St. Elizabeth|tomatoes(plummy)|local|66|88|66|moderate|excellent
april_17_2021|St. Elizabeth|tomatoes(salad)|local|110|132|121|moderate|excellent
april_17_2021|St. Elizabeth|watermelon|local|132|176|154|moderate|excellent
april_17_2021|St. Elizabeth|yam|negro|-|-|-|-|-
april_17_2021|St. Elizabeth|yam|sweet|-|-|-|-|-
april_17_2021|St. Elizabeth|yam|white (lucea)|-|-|-|-|-
april_17_2021|St. Elizabeth|yam|yellow|-|-|-|-|-
april_17_2021|Westmoreland|broccoli|local|-|-|-|-|-
april_17_2021|Westmoreland|cabbage (green)|local|66|110|88|moderate|excellent
