date|parish|commodity|variety source|low|high|most frequent|supply|grade
february_13_2021|Manchester|broccoli|local|-|-|-|-|-
february_13_2021|Manchester|cabbage (green)|local|132|176|132|moderate|excellent
february_13_2021|Manchester|cabbage (red)|local|-|-|-|-|-
february_13_2021|Manchester|callaloo|shredded|-|-|-|-|-
february_13_2021|Manchester|callaloo|whole|88|132|110|moderate|excellent
february_13_2021|Manchester|cantaloupe|local|198|286|198|scarce|excellent
february_13_2021|Manchester|carrot|local|198|286|198|moderate|excellent
february_13_2021|Manchester|cauliflower|local|616|660|638|scarce|excellent
february_13_2021|Manchester|coco|local|176|220|198|scarce|excellent
february_13_2021|Manchester|cucumber|local|88|132|110|moderate|excellent
february_13_2021|Manchester|dasheen|local|-|-|-|-|-
february_13_2021|Manchester|escallion|local|132|176|176|fair|excellent
february_13_2021|Manchester|ginger|local|220|330|275|fair|excellent
february_13_2021|Manchester|green banana|local|33|44|38.5|moderate|excellent
february_13_2021|Manchester|gungo peas|dry|-|-|-|-|-
february_13_2021|Manchester|gungo peas|green|-|-|-|-|-
february_13_2021|Manchester|honeydew melon|local|-|-|-|-|-
february_13_2021|Manchester|irish potato|local|176|220|198|scarce|excellent
february_13_2021|Manchester|lettuce|iceberg (local)|110|132|121|moderate|excellent
february_13_2021|Manchester|lettuce|other|-|-|-|-|-
february_13_2021|Manchester|lettuce|romaine (local)|220|264|242|good|excellent
february_13_2021|Manchester|okra|local|-|-|-|-|-
february_13_2021|Manchester|onion|local|-|-|-|-|-
february_13_2021|Manchester|pak choi|local|66|99|82.5|fair|excellent
february_13_2021|Manchester|papaya|local|-|-|-|-|-
february_13_2021|Manchester|pepper|scotch bonnet|440|660|550|scarce|excellent
february_13_2021|Manchester|pepper|west indian red|132|330|132|moderate|excellent
february_13_2021|Manchester|pineapple|cow boy|-|-|-|-|-
february_13_2021|Manchester|pineapple|md 2|-|-|-|-|-
february_13_2021|Manchester|pineapple|sugar loaf|-|-|-|-|-
february_13_2021|Manchester|plantain|green|55|66|60.5|moderate|excellent
february_13_2021|Manchester|plantain|ripe|88|132|110|moderate|excellent
february_13_2021|Manchester|pumpkin|local|154|220|176|scarce|excellent
february_13_2021|Manchester|sorrel|local|-|-|-|-|-
february_13_2021|Manchester|string bean|local|198|220|209|scarce|excellent
february_13_2021|Manchester|sweet pepper (green)|green house (local)|440|462|451|moderate|excellent
february_13_2021|Manchester|sweet pepper (green)|local|396|484|440|moderate|excellent
february_13_2021|Manchester|sweet pepper (red)|green house (local)|462|660|550|scarce|excellent
february_13_2021|Manchester|sweet pepper (red)|local|-|-|-|-|-
february_13_2021|Manchester|sweet pepper (yellow)|green house (local)|462|660|550|scarce|excellent
february_13_2021|Manchester|sweet pepper (yellow)|local|-|-|-|-|-
february_13_2021|Manchester|sweet potato|local|176|264|176|moderate|excellent
february_13_2021|Manchester|thyme|local|660|770|715|moderate|excellent
february_13_2021|Manchester|tomatoes(plummy)|local|44|77|55|fair|excellent
february_13_2021|Manchester|tomatoes(salad)|local|110|154|154|moderate|excellent
february_13_2021|Manchester|watermelon|local|176|220|198|moderate|excellent
february_13_2021|Manchester|yam|negro|154|176|165|scarce|excellent
february_13_2021|Manchester|yam|sweet|550|550|550|scarce|excellent
february_13_2021|Manchester|yam|white (lucea)|-|-|-|-|-
february_13_2021|Manchester|yam|yellow|132|154|143|moderate|excellent
february_13_2021|St. Andrew|broccoli|local|880|880|880|fair|excellent
february_13_2021|St. Andrew|cabbage (green)|local|88|110|88|fair|excellent
february_13_2021|St. Andrew|cabbage (red)|local|-|-|-|-|-
february_13_2021|St. Andrew|callaloo|shredded|-|-|-|-|-
february_13_2021|St. Andrew|callaloo|whole|110|132|132|fair|excellent
february_13_2021|St. Andrew|cantaloupe|local|-|-|-|-|-
february_13_2021|St. Andrew|carrot|local|132|176|176|fair|excellent
february_13_2021|St. Andrew|cauliflower|local|880|880|880|fair|excellent
february_13_2021|St. Andrew|coco|local|-|-|-|-|-
february_13_2021|St. Andrew|cucumber|local|110|132|110|fair|excellent
february_13_2021|St. Andrew|dasheen|local|-|-|-|-|-
february_13_2021|St. Andrew|escallion|local|264|330|330|fair|excellent
february_13_2021|St. Andrew|ginger|local|330|330|330|fair|excellent
february_13_2021|St. Andrew|green banana|local|110|132|110|fair|excellent
february_13_2021|St. Andrew|gungo peas|dry|-|-|-|-|-
february_13_2021|St. Andrew|gungo peas|green|-|-|-|-|-
february_13_2021|St. Andrew|honeydew melon|local|-|-|-|-|-
