date|parish|commodity|variety source|low|high|most frequent|supply|grade
january_16_2021|Manchester|broccoli|local|-|-|-|-|-
january_16_2021|Manchester|cabbage (green)|local|132|176|132|moderate|excellent
january_16_2021|Manchester|cabbage (red)|local|-|-|-|-|-
january_16_2021|Manchester|callaloo|shredded|-|-|-|-|-
january_16_2021|Manchester|callaloo|whole|110|154|143|moderate|excellent
january_16_2021|Manchester|cantaloupe|local|220|440|330|scarce|excellent
january_16_2021|Manchester|carrot|local|242|330|264|moderate|excellent
january_16_2021|Manchester|cauliflower|local|550|660|605|scarce|excellent
january_16_2021|Manchester|coco|local|220|330|264|scarce|excellent
january_16_2021|Manchester|cucumber|local|110|154|132|moderate|excellent
january_16_2021|Manchester|dasheen|local|-|-|-|-|-
january_16_2021|Manchester|escallion|local|132|154|143|fair|excellent
january_16_2021|Manchester|ginger|local|220|330|275|fair|excellent
january_16_2021|Manchester|green banana|local|33|44|38.5|moderate|excellent
january_16_2021|Manchester|gungo peas|dry|-|-|-|-|-
january_16_2021|Manchester|gungo peas|green|330|440|440|scarce|excellent
january_16_2021|Manchester|honeydew melon|local|-|-|-|-|-
january_16_2021|Manchester|irish potato|local|-|-|-|-|-
january_16_2021|Manchester|lettuce|iceberg (local)|110|132|121|fair|excellent
january_16_2021|Manchester|lettuce|other|-|-|-|-|-
january_16_2021|Manchester|lettuce|romaine (local)|330|330|330|good|excellent
january_16_2021|Manchester|okra|local|-|-|-|-|-
january_16_2021|Manchester|onion|local|-|-|-|-|-
january_16_2021|Manchester|pak choi|local|154|176|165|moderate|excellent
january_16_2021|Manchester|papaya|local|-|-|-|-|-
january_16_2021|Manchester|pepper|scotch bonnet|-|-|-|-|-
january_16_2021|Manchester|pepper|west indian red|220|330|275|moderate|excellent
january_16_2021|Manchester|pineapple|cow boy|-|-|-|-|-
january_16_2021|Manchester|pineapple|md 2|-|-|-|-|-
january_16_2021|Manchester|pineapple|sugar loaf|-|-|-|-|-
january_16_2021|Manchester|plantain|green|55|66|60.5|moderate|excellent
january_16_2021|Manchester|plantain|ripe|88|132|110|moderate|excellent
january_16_2021|Manchester|pumpkin|local|110|154|154|moderate|excellent
january_16_2021|Manchester|sorrel|local|330|440|385|moderate|excellent
january_16_2021|Manchester|string bean|local|-|-|-|-|-
january_16_2021|Manchester|sweet pepper (green)|green house (local)|-|-|-|-|-
january_16_2021|Manchester|sweet pepper (green)|local|308|440|396|scarce|excellent
january_16_2021|Manchester|sweet pepper (red)|green house (local)|880|990|935|scarce|excellent
january_16_2021|Manchester|sweet pepper (red)|local|-|-|-|-|-
january_16_2021|Manchester|sweet pepper (yellow)|green house (local)|880|990|935|scarce|excellent
january_16_2021|Manchester|sweet pepper (yellow)|local|-|-|-|-|-
january_16_2021|Manchester|sweet potato|local|110|176|176|fair|excellent
january_16_2021|Manchester|thyme|local|880|990|935|scarce|excellent
january_16_2021|Manchester|tomatoes(plummy)|local|132|220|220|moderate|excellent
january_16_2021|Manchester|tomatoes(salad)|local|440|660|550|scarce|excellent
january_16_2021|Manchester|watermelon|local|-|-|-|-|-
january_16_2021|Manchester|yam|negro|176|198|187|scarce|excellent
january_16_2021|Manchester|yam|sweet|440|440|440|scarce|excellent
january_16_2021|Manchester|yam|white (lucea)|176|198|187|scarce|excellent
january_16_2021|Manchester|yam|yellow|154|176|165|fair|excellent
january_16_2021|St. Andrew|broccoli|local|880|880|880|fair|excellent
january_16_2021|St. Andrew|cabbage (green)|local|66|110|110|fair|excellent
january_16_2021|St. Andrew|cabbage (red)|local|-|-|-|-|-
january_16_2021|St. Andrew|callaloo|shredded|-|-|-|-|-
january_16_2021|St. Andrew|callaloo|whole|110|132|132|fair|excellent
