date|parish|commodity|variety source|low|high|most frequent|supply|grade
july_31_2021|Manchester|broccoli|local|-|-|-|-|-
july_31_2021|Manchester|cabbage (green)|local|110|154|154|moderate|excellent
july_31_2021|Manchester|cabbage (red)|local|-|-|-|-|-
july_31_2021|Manchester|callaloo|shredded|-|-|-|-|-
july_31_2021|Manchester|callaloo|whole|77|99|88|moderate|excellent
july_31_2021|Manchester|cantaloupe|local|176|220|176|moderate|excellent
july_31_2021|Manchester|carrot|local|88|110|99|fair|excellent
july_31_2021|Manchester|cauliflower|local|440|550|484|moderate|excellent
july_31_2021|Manchester|coco|local|242|308|275|moderate|excellent
july_31_2021|Manchester|cucumber|local|66|110|77|moderate|excellent
july_31_2021|Manchester|dasheen|local|-|-|-|-|-
july_31_2021|Manchester|escallion|local|132|154|143|fair|excellent
july_31_2021|Manchester|ginger|local|-|-|-|-|-
july_31_2021|Manchester|green banana|local|44|55|49.5|moderate|excellent
july_31_2021|Manchester|gungo peas|dry|-|-|-|-|-
july_31_2021|Manchester|gungo peas|green|-|-|-|-|-
july_31_2021|Manchester|honeydew melon|local|-|-|-|-|-
july_31_2021|Manchester|irish potato|local|308|330|319|moderate|excellent
july_31_2021|Manchester|lettuce|iceberg (local)|484|550|517|scarce|excellent
july_31_2021|Manchester|lettuce|other|-|-|-|-|-
july_31_2021|Manchester|lettuce|romaine (local)|-|-|-|-|-
july_31_2021|Manchester|okra|local|-|-|-|-|-
july_31_2021|Manchester|onion|local|-|-|-|-|-
july_31_2021|Manchester|pak choi|local|-|-|-|-|-
july_31_2021|Manchester|papaya|local|-|-|-|-|-
july_31_2021|Manchester|pepper|scotch bonnet|176|264|220|moderate|excellent
july_31_2021|Manchester|pepper|west indian red|110|154|110|moderate|excellent
july_31_2021|Manchester|pineapple|cow boy|-|-|-|-|-
july_31_2021|Manchester|pineapple|md 2|-|-|-|-|-
july_31_2021|Manchester|pineapple|sugar loaf|-|-|-|-|-
july_31_2021|Manchester|plantain|green|88|154|110|moderate|excellent
july_31_2021|Manchester|plantain|ripe|110|154|110|moderate|excellent
july_31_2021|Manchester|pumpkin|local|66|110|66|moderate|excellent
july_31_2021|Manchester|sorrel|local|-|-|-|-|-
july_31_2021|Manchester|string bean|local|330|440|396|scarce|excellent
july_31_2021|Manchester|sweet pepper (green)|green house (local)|264|308|308|moderate|excellent
july_31_2021|Manchester|sweet pepper (green)|local|154|220|220|moderate|excellent
july_31_2021|Manchester|sweet pepper (red)|green house (local)|484|550|517|moderate|excellent
july_31_2021|Manchester|sweet pepper (red)|local|-|-|-|-|-
july_31_2021|Manchester|sweet pepper (yellow)|green house (local)|484|550|517|moderate|excellent
july_31_2021|Manchester|sweet pepper (yellow)|local|-|-|-|-|-
july_31_2021|Manchester|sweet potato|local|110|220|110|fair|excellent
july_31_2021|Manchester|thyme|local|550|660|605|moderate|excellent
july_31_2021|Manchester|tomatoes(plummy)|local|176|220|187|scarce|excellent
july_31_2021|Manchester|tomatoes(salad)|local|330|396|363|scarce|excellent
july_31_2021|Manchester|watermelon|local|110|132|121|moderate|excellent
july_31_2021|Manchester|yam|negro|440|660|550|scarce|excellent
july_31_2021|Manchester|yam|sweet|-|-|-|-|-
july_31_2021|Manchester|yam|white (lucea)|-|-|-|-|-
july_31_2021|Manchester|yam|yellow|440|660|550|scarce|excellent
july_31_2021|St. Andrew|broccoli|local|880|1100|1100|fair|excellent
july_31_2021|St. Andrew|cabbage (green)|local|154|176|154|fair|excellent
july_31_2021|St. Andrew|cabbage (red)|local|-|-|-|-|-
july_31_2021|St. Andrew|callaloo|shredded|-|-|-|-|-
july_31_2021|St. Andrew|callaloo|whole|132|132|132|fair|excellent
july_31_2021|St. Andrew|cantaloupe|local|-|-|-|-|-
july_31_2021|St. Andrew|carrot|local|110|132|110|fair|excellent
july_31_2021|St. Andrew|cauliflower|local|440|550|440|fair|excellent
july_31_2021|St. Andrew|coco|local|-|-|-|-|-
july_31_2021|St. Andrew|cucumber|local|66|66|66|fair|excellent
july_31_2021|St. Andrew|dasheen|local|-|-|-|-|-
july_31_2021|St. Andrew|escallion|local|176|220|176|fair|excellent
july_31_2021|St. Andrew|ginger|local|-|-|-|-|-
july_31_2021|St. Andrew|green banana|local|132|154|132|fair|excellent
july_31_2021|St. Andrew|gungo peas|dry|-|-|-|-|-
july_31_2021|St. Andrew|gungo peas|green|-|-|-|-|-
july_31_2021|St. Andrew|honeydew melon|local|-|-|-|-|-
july_31_2021|St. Andrew|irish potato|local|-|-|-|-|-
july_31_2021|St. Andrew|lettuce|iceberg (local)|660|770|660|fair|excellent
july_31_2021|St. Andrew|lettuce|other|-|-|-|-|-
july_31_2021|St. Andrew|lettuce|romaine (local)|-|-|-|-|-
july_31_2021|St. Andrew|okra|local|-|-|-|-|-
july_31_2021|St. Andrew|onion|local|-|-|-|-|-
july_31_2021|St. Andrew|pak choi|local|-|-|-|-|-
july_31_2021|St. Andrew|papaya|local|-|-|-|-|-
july_31_2021|St. Andrew|pepper|scotch bonnet|264|330|330|fair|excellent
july_31_2021|St. Andrew|pepper|west indian red|-|-|-|-|-
july_31_2021|St. Andrew|pineapple|cow boy|-|-|-|-|-
july_31_2021|St. Andrew|pineapple|md 2|-|-|-|-|-
july_31_2021|St. Andrew|pineapple|sugar loaf|110|132|110|fair|excellent
july_31_2021|St. Andrew|plantain|green|154|176|154|fair|excellent
july_31_2021|St. Andrew|plantain|ripe|-|-|-|-|-
july_31_2021|St. Andrew|pumpkin|local|110|132|110|fair|excellent
july_31_2021|St. Andrew|sorrel|local|-|-|-|-|-
july_31_2021|St. Andrew|string bean|local|264|264|264|fair|excellent
july_31_2021|St. Andrew|sweet pepper (green)|green house (local)|-|-|-|-|-
july_31_2021|St. Andrew|sweet pepper (green)|local|176|220|176|fair|excellent
july_31_2021|St. Andrew|sweet pepper (red)|green house (local)|-|-|-|-|-
july_31_2021|St. Andrew|sweet pepper (red)|local|-|-|-|-|-
july_31_2021|St. Andrew|sweet pepper (yellow)|green house (local)|-|-|-|-|-
july_31_2021|St. Andrew|sweet pepper (yellow)|local|-|-|-|-|-
july_31_2021|St. Andrew|sweet potato|local|-|-|-|-|-
july_31_2021|St. Andrew|thyme|local|660|660|660|fair|excellent
july_31_2021|St. Andrew|tomatoes(plummy)|local|110|132|132|fair|excellent
july_31_2021|St. Andrew|tomatoes(salad)|local|220|264|220|fair|excellent
july_31_2021|St. Andrew|watermelon|local|-|-|-|-|-
july_31_2021|St. Andrew|yam|negro|-|-|-|-|-
july_31_2021|St. Andrew|yam|sweet|-|-|-|-|-
july_31_2021|St. Andrew|yam|white (lucea)|-|-|-|-|-
july_31_2021|St. Andrew|yam|yellow|-|-|-|-|-
july_31_2021|St. Catherine|broccoli|local|-|-|-|-|-
july_31_2021|St. Catherine|cabbage (green)|local|110|176|143|scarce|excellent
july_31_2021|St. Catherine|cabbage (red)|local|-|-|-|-|-
july_31_2021|St. Catherine|callaloo|shredded|-|-|-|-|-
july_31_2021|St. Catherine|callaloo|whole|44|88|49.5|moderate|excellent
july_31_2021|St. Catherine|cantaloupe|local|-|-|-|-|-
july_31_2021|St. Catherine|carrot|local|-|-|-|-|-
july_31_2021|St. Catherine|cauliflower|local|-|-|-|-|-
july_31_2021|St. Catherine|coco|local|-|-|-|-|-
july_31_2021|St. Catherine|cucumber|local|22|44|44|moderate|excellent
july_31_2021|St. Catherine|dasheen|local|176|220|198|moderate|excellent
july_31_2021|St. Catherine|escallion|local|-|-|-|-|-
july_31_2021|St. Catherine|ginger|local|-|-|-|-|-
july_31_2021|St. Catherine|green banana|local|68.2|68.2|68.2|moderate|excellent
july_31_2021|St. Catherine|gungo peas|dry|-|-|-|-|-
july_31_2021|St. Catherine|gungo peas|green|-|-|-|-|-
july_31_2021|St. Catherine|honeydew melon|local|-|-|-|-|-
july_31_2021|St. Catherine|irish potato|local|-|-|-|-|-
july_31_2021|St. Catherine|lettuce|iceberg (local)|-|-|-|-|-
