date|parish|commodity|variety source|low|high|most frequent|supply|grade
june_26_2021|Manchester|broccoli|local|880|1100|880|scarce|excellent
june_26_2021|Manchester|cabbage (green)|local|110|176|132|moderate|excellent
june_26_2021|Manchester|cabbage (red)|local|-|-|-|-|-
june_26_2021|Manchester|callaloo|shredded|-|-|-|-|-
june_26_2021|Manchester|callaloo|whole|88|110|99|moderate|excellent
june_26_2021|Manchester|cantaloupe|local|176|220|220|moderate|excellent
june_26_2021|Manchester|carrot|local|88|154|132|fair|excellent
june_26_2021|Manchester|cauliflower|local|330|440|440|moderate|excellent
june_26_2021|Manchester|coco|local|-|-|-|-|-
june_26_2021|Manchester|cucumber|local|110|132|121|moderate|excellent
june_26_2021|Manchester|dasheen|local|-|-|-|-|-
june_26_2021|Manchester|escallion|local|110|154|132|fair|excellent
june_26_2021|Manchester|ginger|local|-|-|-|-|-
june_26_2021|Manchester|green banana|local|33|55|44|moderate|excellent
june_26_2021|Manchester|gungo peas|dry|-|-|-|-|-
june_26_2021|Manchester|gungo peas|green|-|-|-|-|-
june_26_2021|Manchester|honeydew melon|local|-|-|-|-|-
june_26_2021|Manchester|irish potato|local|220|264|220|moderate|excellent
june_26_2021|Manchester|lettuce|iceberg (local)|440|550|495|scarce|excellent
june_26_2021|Manchester|lettuce|other|-|-|-|-|-
june_26_2021|Manchester|lettuce|romaine (local)|550|660|605|scarce|excellent
june_26_2021|Manchester|okra|local|-|-|-|-|-
june_26_2021|Manchester|onion|local|-|-|-|-|-
june_26_2021|Manchester|pak choi|local|132|154|143|moderate|excellent
june_26_2021|Manchester|papaya|local|-|-|-|-|-
june_26_2021|Manchester|pepper|scotch bonnet|154|220|176|moderate|excellent
june_26_2021|Manchester|pepper|west indian red|110|132|121|moderate|excellent
june_26_2021|Manchester|pineapple|cow boy|-|-|-|-|-
june_26_2021|Manchester|pineapple|md 2|-|-|-|-|-
june_26_2021|Manchester|pineapple|sugar loaf|-|-|-|-|-
june_26_2021|Manchester|plantain|green|66|110|88|moderate|excellent
june_26_2021|Manchester|plantain|ripe|110|154|132|moderate|excellent
june_26_2021|Manchester|pumpkin|local|88|110|99|moderate|excellent
june_26_2021|Manchester|sorrel|local|-|-|-|-|-
june_26_2021|Manchester|string bean|local|286|440|363|scarce|excellent
june_26_2021|Manchester|sweet pepper (green)|green house (local)|-|-|-|-|-
june_26_2021|Manchester|sweet pepper (green)|local|110|154|110|moderate|excellent
june_26_2021|Manchester|sweet pepper (red)|green house (local)|396|440|418|moderate|excellent
june_26_2021|Manchester|sweet pepper (red)|local|-|-|-|-|-
june_26_2021|Manchester|sweet pepper (yellow)|green house (local)|396|484|451|moderate|excellent
june_26_2021|Manchester|sweet pepper (yellow)|local|-|-|-|-|-
june_26_2021|Manchester|sweet potato|local|132|198|132|fair|excellent
june_26_2021|Manchester|thyme|local|396|484|440|moderate|excellent
june_26_2021|Manchester|tomatoes(plummy)|local|132|154|143|moderate|excellent
june_26_2021|Manchester|tomatoes(salad)|local|198|286|242|scarce|excellent
june_26_2021|Manchester|watermelon|local|110|132|121|moderate|excellent
june_26_2021|Manchester|yam|negro|-|-|-|-|-
june_26_2021|Manchester|yam|sweet|-|-|-|-|-
june_26_2021|Manchester|yam|white (lucea)|-|-|-|-|-
june_26_2021|Manchester|yam|yellow|396|440|418|scarce|excellent
june_26_2021|St. Andrew|broccoli|local|1320|1320|1320|fair|excellent
june_26_2021|St. Andrew|cabbage (green)|local|110|132|132|fair|excellent
june_26_2021|St. Andrew|cabbage (red)|local|-|-|-|-|-
june_26_2021|St. Andrew|callaloo|shredded|-|-|-|-|-
june_26_2021|St. Andrew|callaloo|whole|132|154|132|fair|excellent
june_26_2021|St. Andrew|cantaloupe|local|-|-|-|-|-
june_26_2021|St. Andrew|carrot|local|176|220|176|fair|excellent
june_26_2021|St. Andrew|cauliflower|local|660|660|660|fair|excellent
june_26_2021|St. Andrew|coco|local|-|-|-|-|-
june_26_2021|St. Andrew|cucumber|local|-|-|-|-|-
june_26_2021|St. Andrew|dasheen|local|-|-|-|-|-
june_26_2021|St. Andrew|escallion|local|176|264|176|fair|excellent
june_26_2021|St. Andrew|ginger|local|440|440|440|fair|excellent
june_26_2021|St. Andrew|green banana|local|132|132|132|fair|excellent
june_26_2021|St. Andrew|gungo peas|dry|-|-|-|-|-
june_26_2021|St. Andrew|gungo peas|green|-|-|-|-|-
june_26_2021|St. Andrew|honeydew melon|local|-|-|-|-|-
june_26_2021|St. Andrew|irish potato|local|220|264|220|fair|excellent
june_26_2021|St. Andrew|lettuce|iceberg (local)|440|440|440|fair|excellent
june_26_2021|St. Andrew|lettuce|other|-|-|-|-|-
june_26_2021|St. Andrew|lettuce|romaine (local)|-|-|-|-|-
june_26_2021|St. Andrew|okra|local|-|-|-|-|-
june_26_2021|St. Andrew|onion|local|-|-|-|-|-
june_26_2021|St. Andrew|pak choi|local|-|-|-|-|-
june_26_2021|St. Andrew|papaya|local|-|-|-|-|-
june_26_2021|St. Andrew|pepper|scotch bonnet|220|264|220|fair|excellent
june_26_2021|St. Andrew|pepper|west indian red|-|-|-|-|-
june_26_2021|St. Andrew|pineapple|cow boy|-|-|-|-|-
june_26_2021|St. Andrew|pineapple|md 2|-|-|-|-|-
june_26_2021|St. Andrew|pineapple|sugar loaf|-|-|-|-|-
june_26_2021|St. Andrew|plantain|green|132|154|132|fair|excellent
june_26_2021|St. Andrew|plantain|ripe|-|-|-|-|-
june_26_2021|St. Andrew|pumpkin|local|66|110|66|fair|excellent
june_26_2021|St. Andrew|sorrel|local|-|-|-|-|-
june_26_2021|St. Andrew|string bean|local|-|-|-|-|-
june_26_2021|St. Andrew|sweet pepper (green)|green house (local)|-|-|-|-|-
june_26_2021|St. Andrew|sweet pepper (green)|local|-|-|-|-|-
june_26_2021|St. Andrew|sweet pepper (red)|green house (local)|-|-|-|-|-
june_26_2021|St. Andrew|sweet pepper (red)|local|-|-|-|-|-
june_26_2021|St. Andrew|sweet pepper (yellow)|green house (local)|-|-|-|-|-
june_26_2021|St. Andrew|sweet pepper (yellow)|local|-|-|-|-|-
june_26_2021|St. Andrew|sweet potato|local|-|-|-|-|-
june_26_2021|St. Andrew|thyme|local|1100|1100|1100|fair|excellent
june_26_2021|St. Andrew|tomatoes(plummy)|local|110|132|110|fair|excellent
june_26_2021|St. Andrew|tomatoes(salad)|local|220|330|264|fair|excellent
june_26_2021|St. Andrew|watermelon|local|-|-|-|-|-
june_26_2021|St. Andrew|yam|negro|-|-|-|-|-
june_26_2021|St. Andrew|yam|sweet|-|-|-|-|-
june_26_2021|St. Andrew|yam|white (lucea)|-|-|-|-|-
june_26_2021|St. Andrew|yam|yellow|-|-|-|-|-
june_26_2021|St. Catherine|broccoli|local|-|-|-|-|-
june_26_2021|St. Catherine|cabbage (green)|local|-|-|-|-|-
june_26_2021|St. Catherine|cabbage (red)|local|-|-|-|-|-
june_26_2021|St. Catherine|callaloo|shredded|-|-|-|-|-
june_26_2021|St. Catherine|callaloo|whole|44|55|49.5|moderate|excellent
june_26_2021|St. Catherine|cantaloupe|local|-|-|-|-|-
june_26_2021|St. Catherine|carrot|local|110|110|110|scarce|excellent
june_26_2021|St. Catherine|cauliflower|local|-|-|-|-|-
june_26_2021|St. Catherine|coco|local|-|-|-|-|-
june_26_2021|St. Catherine|cucumber|local|66|132|99|moderate|excellent
june_26_2021|St. Catherine|dasheen|local|-|-|-|-|-
june_26_2021|St. Catherine|escallion|local|-|-|-|-|-
june_26_2021|St. Catherine|ginger|local|-|-|-|-|-
june_26_2021|St. Catherine|green banana|local|-|-|-|-|-
june_26_2021|St. Catherine|gungo peas|dry|-|-|-|-|-
june_26_2021|St. Catherine|gungo peas|green|-|-|-|-|-
june_26_2021|St. Catherine|honeydew melon|local|-|-|-|-|-
june_26_2021|St. Catherine|irish potato|local|-|-|-|-|-
june_26_2021|St. Catherine|lettuce|iceberg (local)|-|-|-|-|-
june_26_2021|St. Catherine|lettuce|other|-|-|-|-|-
june_26_2021|St. Catherine|lettuce|romaine (local)|-|-|-|-|-
june_26_2021|St. Catherine|okra|local|88|110|88|scarce|excellent
june_26_2021|St. Catherine|onion|local|-|-|-|-|-
june_26_2021|St. Catherine|pak choi|local|-|-|-|-|-
june_26_2021|St. Catherine|papaya|local|-|-|-|-|-
june_26_2021|St. Catherine|pepper|scotch bonnet|176|330|330|moderate|excellent
june_26_2021|St. Catherine|pepper|west indian red|198|220|209|scarce|excellent
june_26_2021|St. Catherine|pineapple|cow boy|-|-|-|-|-
june_26_2021|St. Catherine|pineapple|md 2|-|-|-|-|-
june_26_2021|St. Catherine|pineapple|sugar loaf|220|220|220|moderate|excellent
june_26_2021|St. Catherine|plantain|green|146|176|161|moderate|excellent
june_26_2021|St. Catherine|plantain|ripe|-|-|-|-|-
june_26_2021|St. Catherine|pumpkin|local|66|110|110|moderate|excellent
june_26_2021|St. Catherine|sorrel|local|-|-|-|-|-
june_26_2021|St. Catherine|string bean|local|220|220|220|scarce|excellent
june_26_2021|St. Catherine|sweet pepper (green)|green house (local)|-|-|-|-|-
june_26_2021|St. Catherine|sweet pepper (green)|local|66|110|110|scarce|excellent
june_26_2021|St. Catherine|sweet pepper (red)|green house (local)|-|-|-|-|-
june_26_2021|St. Catherine|sweet pepper (red)|local|-|-|-|-|-
june_26_2021|St. Catherine|sweet pepper (yellow)|green house (local)|-|-|-|-|-
june_26_2021|St. Catherine|sweet pepper (yellow)|local|-|-|-|-|-
june_26_2021|St. Catherine|sweet potato|local|88|220|99|moderate|excellent
june_26_2021|St. Catherine|thyme|local|-|-|-|-|-
june_26_2021|St. Catherine|tomatoes(plummy)|local|66|154|102.67|scarce|excellent
june_26_2021|St. Catherine|tomatoes(salad)|local|110|264|198|scarce|excellent
june_26_2021|St. Catherine|watermelon|local|-|-|-|-|-
june_26_2021|St. Catherine|yam|negro|-|-|-|-|-
june_26_2021|St. Catherine|yam|sweet|-|-|-|-|-
june_26_2021|St. Catherine|yam|white (lucea)|-|-|-|-|-
june_26_2021|St. Catherine|yam|yellow|-|-|-|-|-
june_26_2021|Clarendon|broccoli|local|660|660|660|moderate|excellent
june_26_2021|Clarendon|cabbage (green)|local|88|176|132|moderate|excellent
june_26_2021|Clarendon|cabbage (red)|local|-|-|-|-|-
june_26_2021|Clarendon|callaloo|shredded|-|-|-|-|-
june_26_2021|Clarendon|callaloo|whole|55|88|66|moderate|excellent
june_26_2021|Clarendon|cantaloupe|local|-|-|-|-|-
june_26_2021|Clarendon|carrot|local|66|132|88|fair|excellent
june_26_2021|Clarendon|cauliflower|local|264|264|264|moderate|excellent
june_26_2021|Clarendon|coco|local|198|264|220|moderate|excellent
june_26_2021|Clarendon|cucumber|local|66|154|129.25|moderate|excellent
june_26_2021|Clarendon|dasheen|local|198|330|220|moderate|excellent
june_26_2021|Clarendon|escallion|local|-|-|-|-|-
june_26_2021|Clarendon|ginger|local|374|550|440|moderate|excellent
june_26_2021|Clarendon|green banana|local|44|88|66|fair|excellent
june_26_2021|Clarendon|gungo peas|dry|-|-|-|-|-
june_26_2021|Clarendon|gungo peas|green|-|-|-|-|-
june_26_2021|Clarendon|honeydew melon|local|-|-|-|-|-
june_26_2021|Clarendon|irish potato|local|176|220|187|moderate|excellent
june_26_2021|Clarendon|lettuce|iceberg (local)|550|880|550|scarce|excellent
june_26_2021|Clarendon|lettuce|other|-|-|-|-|-
june_26_2021|Clarendon|lettuce|romaine (local)|880|880|880|scarce|excellent
june_26_2021|Clarendon|okra|local|132|220|132|moderate|excellent
june_26_2021|Clarendon|onion|local|374|550|440|moderate|excellent
june_26_2021|Clarendon|pak choi|local|110|154|132|moderate|excellent
june_26_2021|Clarendon|papaya|local|132|154|143|moderate|excellent
june_26_2021|Clarendon|pepper|scotch bonnet|176|220|220|moderate|excellent
june_26_2021|Clarendon|pepper|west indian red|110|220|176|moderate|excellent
june_26_2021|Clarendon|pineapple|cow boy|-|-|-|-|-
