date|parish|commodity|variety source|low|high|most frequent|supply|grade
march_06_2021|Manchester|broccoli|local|880|990|935|moderate|excellent
march_06_2021|Manchester|cabbage (green)|local|99|132|132|moderate|excellent
march_06_2021|Manchester|cabbage (red)|local|-|-|-|-|-
march_06_2021|Manchester|callaloo|shredded|-|-|-|-|-
march_06_2021|Manchester|callaloo|whole|77|132|110|moderate|excellent
march_06_2021|Manchester|cantaloupe|local|198|220|209|scarce|excellent
march_06_2021|Manchester|carrot|local|220|308|220|moderate|excellent
march_06_2021|Manchester|cauliflower|local|660|660|660|scarce|excellent
march_06_2021|Manchester|coco|local|-|-|-|-|-
march_06_2021|Manchester|cucumber|local|88|132|110|moderate|excellent
march_06_2021|Manchester|dasheen|local|-|-|-|-|-
march_06_2021|Manchester|escallion|local|198|220|209|moderate|excellent
march_06_2021|Manchester|ginger|local|220|330|275|moderate|excellent
march_06_2021|Manchester|green banana|local|33|44|38.5|moderate|excellent
march_06_2021|Manchester|gungo peas|dry|-|-|-|-|-
march_06_2021|Manchester|gungo peas|green|-|-|-|-|-
march_06_2021|Manchester|honeydew melon|local|-|-|-|-|-
march_06_2021|Manchester|irish potato|local|176|198|187|scarce|excellent
march_06_2021|Manchester|lettuce|iceberg (local)|110|154|154|moderate|excellent
march_06_2021|Manchester|lettuce|other|-|-|-|-|-
march_06_2021|Manchester|lettuce|romaine (local)|220|330|275|moderate|excellent
march_06_2021|Manchester|okra|local|-|-|-|-|-
march_06_2021|Manchester|onion|local|-|-|-|-|-
march_06_2021|Manchester|pak choi|local|66|88|66|moderate|excellent
march_06_2021|Manchester|papaya|local|-|-|-|-|-
march_06_2021|Manchester|pepper|scotch bonnet|440|550|495|scarce|excellent
march_06_2021|Manchester|pepper|west indian red|132|220|132|moderate|excellent
march_06_2021|Manchester|pineapple|cow boy|-|-|-|-|-
march_06_2021|Manchester|pineapple|md 2|-|-|-|-|-
march_06_2021|Manchester|pineapple|sugar loaf|-|-|-|-|-
march_06_2021|Manchester|plantain|green|55|66|60.5|moderate|excellent
march_06_2021|Manchester|plantain|ripe|88|132|110|moderate|excellent
march_06_2021|Manchester|pumpkin|local|220|330|220|scarce|excellent
march_06_2021|Manchester|sorrel|local|-|-|-|-|-
march_06_2021|Manchester|string bean|local|198|330|275|scarce|excellent
march_06_2021|Manchester|sweet pepper (green)|green house (local)|-|-|-|-|-
march_06_2021|Manchester|sweet pepper (green)|local|330|440|418|moderate|excellent
march_06_2021|Manchester|sweet pepper (red)|green house (local)|550|660|605|moderate|excellent
march_06_2021|Manchester|sweet pepper (red)|local|-|-|-|-|-
march_06_2021|Manchester|sweet pepper (yellow)|green house (local)|550|660|605|moderate|excellent
march_06_2021|Manchester|sweet pepper (yellow)|local|-|-|-|-|-
march_06_2021|Manchester|sweet potato|local|176|286|176|scarce|excellent
march_06_2021|Manchester|thyme|local|550|660|605|fair|excellent
march_06_2021|Manchester|tomatoes(plummy)|local|55|66|60.5|fair|excellent
march_06_2021|Manchester|tomatoes(salad)|local|110|176|176|moderate|excellent
march_06_2021|Manchester|watermelon|local|132|154|143|moderate|excellent
march_06_2021|Manchester|yam|negro|176|198|187|scarce|excellent
march_06_2021|Manchester|yam|sweet|550|550|550|scarce|excellent
march_06_2021|Manchester|yam|white (lucea)|-|-|-|-|-
march_06_2021|Manchester|yam|yellow|154|176|165|moderate|excellent
march_06_2021|St. Andrew|broccoli|local|770|880|880|fair|excellent
march_06_2021|St. Andrew|cabbage (green)|local|77|88|88|fair|excellent
march_06_2021|St. Andrew|cabbage (red)|local|-|-|-|-|-
march_06_2021|St. Andrew|callaloo|shredded|-|-|-|-|-
march_06_2021|St. Andrew|callaloo|whole|110|132|132|fair|excellent
march_06_2021|St. Andrew|cantaloupe|local|-|-|-|-|-
march_06_2021|St. Andrew|carrot|local|132|176|176|fair|excellent
march_06_2021|St. Andrew|cauliflower|local|660|660|660|fair|excellent
march_06_2021|St. Andrew|coco|local|-|-|-|-|-
