date|parish|commodity|variety source|low|high|most frequent|supply|grade
September 04, 2021|Hanover|broccoli|local|-|-|-|-|-
September 04, 2021|Hanover|cabbage (green)|local|154|220|176|moderate|excellent
September 04, 2021|Hanover|cabbage (red)|local|-|-|-|-|-
September 04, 2021|Hanover|callaloo|shredded|-|-|-|-|-
September 04, 2021|Hanover|callaloo|whole|88|132|110|moderate|excellent
September 04, 2021|Hanover|cantaloupe|local|-|-|-|-|-
September 04, 2021|Hanover|carrot|local|220|330|264|scarce|excellent
September 04, 2021|Hanover|cauliflower|local|-|-|-|-|-
September 04, 2021|Hanover|coco|local|176|220|220|moderate|excellent
September 04, 2021|Hanover|cucumber|local|110|154|132|moderate|excellent
September 04, 2021|Hanover|dasheen|local|176|220|176|moderate|excellent
September 04, 2021|Hanover|escallion|local|-|-|-|-|-
September 04, 2021|Hanover|ginger|local|440|660|495|moderate|excellent
September 04, 2021|Hanover|green banana|local|110|154|132|moderate|excellent
September 04, 2021|Hanover|gungo peas|dry|-|-|-|-|-
September 04, 2021|Hanover|gungo peas|green|-|-|-|-|-
September 04, 2021|Hanover|honeydew melon|local|-|-|-|-|-
September 04, 2021|Hanover|irish potato|local|-|-|-|-|-
September 04, 2021|Hanover|lettuce|iceberg (local)|-|-|-|-|-
September 04, 2021|Hanover|lettuce|other|-|-|-|-|-
September 04, 2021|Hanover|lettuce|romaine (local)|-|-|-|-|-
September 04, 2021|Hanover|okra|local|198|264|220|moderate|excellent
September 04, 2021|Hanover|onion|local|-|-|-|-|-
September 04, 2021|Hanover|pak choi|local|132|220|154|moderate|excellent
September 04, 2021|Hanover|papaya|local|-|-|-|-|-
September 04, 2021|Hanover|pepper|scotch bonnet|330|484|440|moderate|excellent
September 04, 2021|Hanover|pepper|west indian red|154|220|198|moderate|excellent
September 04, 2021|Hanover|pineapple|cow boy|154|220|220|moderate|excellent
September 04, 2021|Hanover|pineapple|md 2|-|-|-|-|-
September 04, 2021|Hanover|pineapple|sugar loaf|-|-|-|-|-
September 04, 2021|Hanover|plantain|green|132|176|154|moderate|excellent
September 04, 2021|Hanover|plantain|ripe|-|-|-|-|-
September 04, 2021|Hanover|pumpkin|local|99|132|110|moderate|excellent
September 04, 2021|Hanover|sorrel|local|-|-|-|-|-
September 04, 2021|Hanover|string bean|local|220|330|330|moderate|excellent
September 04, 2021|Hanover|sweet pepper (green)|green house (local)|-|-|-|-|-
September 04, 2021|Hanover|sweet pepper (green)|local|220|330|330|moderate|excellent
September 04, 2021|Hanover|sweet pepper (red)|green house (local)|-|-|-|-|-
September 04, 2021|Hanover|sweet pepper (red)|local|-|-|-|-|-
September 04, 2021|Hanover|sweet pepper (yellow)|green house (local)|-|-|-|-|-
September 04, 2021|Hanover|sweet pepper (yellow)|local|-|-|-|-|-
September 04, 2021|Hanover|sweet potato|local|176|220|220|moderate|excellent
September 04, 2021|Hanover|thyme|local|-|-|-|-|-
September 04, 2021|Hanover|tomatoes(plummy)|local|110|154|132|moderate|excellent
September 04, 2021|Hanover|tomatoes(salad)|local|176|264|176|moderate|excellent
September 04, 2021|Hanover|watermelon|local|-|-|-|-|-
September 04, 2021|Hanover|yam|negro|-|-|-|-|-
September 04, 2021|Hanover|yam|sweet|-|-|-|-|-
September 04, 2021|Hanover|yam|white (lucea)|396|484|440|moderate|excellent
September 04, 2021|Hanover|yam|yellow|396|484|440|moderate|excellent
