date|parish|commodity|variety source|low|high|most frequent|supply|grade
September 04, 2021|St. Andrew|broccoli|local|1100|1100|1100|fair|excellent
September 04, 2021|St. Andrew|cabbage (green)|local|176|220|220|fair|excellent
September 04, 2021|St. Andrew|cabbage (red)|local|-|-|-|-|-
September 04, 2021|St. Andrew|callaloo|shredded|-|-|-|-|-
September 04, 2021|St. Andrew|callaloo|whole|132|132|132|fair|excellent
September 04, 2021|St. Andrew|cantaloupe|local|-|-|-|-|-
September 04, 2021|St. Andrew|carrot|local|-|-|-|-|-
September 04, 2021|St. Andrew|cauliflower|local|660|660|660|fair|excellent
September 04, 2021|St. Andrew|coco|local|-|-|-|-|-
September 04, 2021|St. Andrew|cucumber|local|-|-|-|-|-
September 04, 2021|St. Andrew|dasheen|local|-|-|-|-|-
September 04, 2021|St. Andrew|escallion|local|176|220|220|fair|excellent
September 04, 2021|St. Andrew|ginger|local|-|-|-|-|-
September 04, 2021|St. Andrew|green banana|local|110|132|110|fair|excellent
September 04, 2021|St. Andrew|gungo peas|dry|-|-|-|-|-
September 04, 2021|St. Andrew|gungo peas|green|-|-|-|-|-
September 04, 2021|St. Andrew|honeydew melon|local|-|-|-|-|-
September 04, 2021|St. Andrew|irish potato|local|264|264|264|fair|excellent
September 04, 2021|St. Andrew|lettuce|iceberg (local)|330|440|330|fair|excellent
September 04, 2021|St. Andrew|lettuce|other|-|-|-|-|-
September 04, 2021|St. Andrew|lettuce|romaine (local)|-|-|-|-|-
September 04, 2021|St. Andrew|okra|local|-|-|-|-|-
September 04, 2021|St. Andrew|onion|local|-|-|-|-|-
September 04, 2021|St. Andrew|pak choi|local|-|-|-|-|-
September 04, 2021|St. Andrew|papaya|local|-|-|-|-|-
September 04, 2021|St. Andrew|pepper|scotch bonnet|-|-|-|-|-
September 04, 2021|St. Andrew|pepper|west indian red|-|-|-|-|-
September 04, 2021|St. Andrew|pineapple|cow boy|-|-|-|-|-
September 04, 2021|St. Andrew|pineapple|md 2|-|-|-|-|-
September 04, 2021|St. Andrew|pineapple|sugar loaf|-|-|-|-|-
September 04, 2021|St. Andrew|plantain|green|132|154|154|fair|excellent
September 04, 2021|St. Andrew|plantain|ripe|-|-|-|-|-
September 04, 2021|St. Andrew|pumpkin|local|110|132|110|fair|excellent
September 04, 2021|St. Andrew|sorrel|local|-|-|-|-|-
September 04, 2021|St. Andrew|string bean|local|-|-|-|-|-
September 04, 2021|St. Andrew|sweet pepper (green)|green house (local)|-|-|-|-|-
September 04, 2021|St. Andrew|sweet pepper (green)|local|176|220|220|fair|excellent
September 04, 2021|St. Andrew|sweet pepper (red)|green house (local)|-|-|-|-|-
September 04, 2021|St. Andrew|sweet pepper (red)|local|-|-|-|-|-
September 04, 2021|St. Andrew|sweet pepper (yellow)|green house (local)|-|-|-|-|-
September 04, 2021|St. Andrew|sweet pepper (yellow)|local|-|-|-|-|-
September 04, 2021|St. Andrew|sweet potato|local|-|-|-|-|-
September 04, 2021|St. Andrew|thyme|local|880|880|880|fair|excellent
September 04, 2021|St. Andrew|tomatoes(plummy)|local|176|220|220|fair|excellent
September 04, 2021|St. Andrew|tomatoes(salad)|local|330|330|330|fair|excellent
September 04, 2021|St. Andrew|watermelon|local|-|-|-|-|-
September 04, 2021|St. Andrew|yam|negro|-|-|-|-|-
September 04, 2021|St. Andrew|yam|sweet|-|-|-|-|-
September 04, 2021|St. Andrew|yam|white (lucea)|-|-|-|-|-
September 04, 2021|St. Andrew|yam|yellow|-|-|-|-|-
