date|parish|commodity|variety source|low|high|most frequent|supply|grade
September 04, 2021|St. Ann|broccoli|local|-|-|-|-|-
September 04, 2021|St. Ann|cabbage (green)|local|176|264|220|moderate|excellent
September 04, 2021|St. Ann|cabbage (red)|local|-|-|-|-|-
September 04, 2021|St. Ann|callaloo|shredded|-|-|-|-|-
September 04, 2021|St. Ann|callaloo|whole|-|-|-|-|-
September 04, 2021|St. Ann|cantaloupe|local|-|-|-|-|-
September 04, 2021|St. Ann|carrot|local|110|132|121|moderate|excellent
September 04, 2021|St. Ann|cauliflower|local|-|-|-|-|-
September 04, 2021|St. Ann|coco|local|-|-|-|-|-
September 04, 2021|St. Ann|cucumber|local|-|-|-|-|-
September 04, 2021|St. Ann|dasheen|local|-|-|-|-|-
September 04, 2021|St. Ann|escallion|local|-|-|-|-|-
September 04, 2021|St. Ann|ginger|local|-|-|-|-|-
September 04, 2021|St. Ann|green banana|local|44|66|55|fair|excellent
September 04, 2021|St. Ann|gungo peas|dry|-|-|-|-|-
September 04, 2021|St. Ann|gungo peas|green|-|-|-|-|-
September 04, 2021|St. Ann|honeydew melon|local|-|-|-|-|-
September 04, 2021|St. Ann|irish potato|local|-|-|-|-|-
September 04, 2021|St. Ann|lettuce|iceberg (local)|330|440|330|moderate|excellent
September 04, 2021|St. Ann|lettuce|other|-|-|-|-|-
September 04, 2021|St. Ann|lettuce|romaine (local)|440|660|550|scarce|excellent
September 04, 2021|St. Ann|okra|local|-|-|-|-|-
September 04, 2021|St. Ann|onion|local|-|-|-|-|-
September 04, 2021|St. Ann|pak choi|local|110|132|110|moderate|excellent
September 04, 2021|St. Ann|papaya|local|-|-|-|-|-
September 04, 2021|St. Ann|pepper|scotch bonnet|330|396|330|moderate|excellent
September 04, 2021|St. Ann|pepper|west indian red|132|176|154|moderate|excellent
September 04, 2021|St. Ann|pineapple|cow boy|-|-|-|-|-
September 04, 2021|St. Ann|pineapple|md 2|-|-|-|-|-
September 04, 2021|St. Ann|pineapple|sugar loaf|-|-|-|-|-
September 04, 2021|St. Ann|plantain|green|88|132|110|moderate|excellent
September 04, 2021|St. Ann|plantain|ripe|-|-|-|-|-
September 04, 2021|St. Ann|pumpkin|local|88|132|110|moderate|excellent
September 04, 2021|St. Ann|sorrel|local|-|-|-|-|-
September 04, 2021|St. Ann|string bean|local|330|374|330|scarce|excellent
September 04, 2021|St. Ann|sweet pepper (green)|green house (local)|-|-|-|-|-
September 04, 2021|St. Ann|sweet pepper (green)|local|220|330|271.33|moderate|excellent
September 04, 2021|St. Ann|sweet pepper (red)|green house (local)|330|440|381.33|moderate|excellent
September 04, 2021|St. Ann|sweet pepper (red)|local|-|-|-|-|-
September 04, 2021|St. Ann|sweet pepper (yellow)|green house (local)|-|-|-|-|-
September 04, 2021|St. Ann|sweet pepper (yellow)|local|-|-|-|-|-
September 04, 2021|St. Ann|sweet potato|local|132|154|132|moderate|excellent
September 04, 2021|St. Ann|thyme|local|-|-|-|-|-
September 04, 2021|St. Ann|tomatoes(plummy)|local|132|176|154|scarce|excellent
September 04, 2021|St. Ann|tomatoes(salad)|local|-|-|-|-|-
September 04, 2021|St. Ann|watermelon|local|-|-|-|-|-
September 04, 2021|St. Ann|yam|negro|-|-|-|-|-
September 04, 2021|St. Ann|yam|sweet|-|-|-|-|-
September 04, 2021|St. Ann|yam|white (lucea)|-|-|-|-|-
September 04, 2021|St. Ann|yam|yellow|330|440|381.33|moderate|excellent
