date|parish|commodity|variety source|low|high|most frequent|supply|grade
September 04, 2021|St. Elizabeth|broccoli|local|880|1100|990|scarce|excellent
September 04, 2021|St. Elizabeth|cabbage (green)|local|176|286|187|moderate|excellent
September 04, 2021|St. Elizabeth|cabbage (red)|local|-|-|-|-|-
September 04, 2021|St. Elizabeth|callaloo|shredded|-|-|-|-|-
September 04, 2021|St. Elizabeth|callaloo|whole|-|-|-|-|-
September 04, 2021|St. Elizabeth|cantaloupe|local|132|154|143|moderate|excellent
September 04, 2021|St. Elizabeth|carrot|local|154|198|176|moderate|excellent
September 04, 2021|St. Elizabeth|cauliflower|local|440|550|495|moderate|excellent
September 04, 2021|St. Elizabeth|coco|local|264|308|286|moderate|excellent
September 04, 2021|St. Elizabeth|cucumber|local|88|132|110|moderate|excellent
September 04, 2021|St. Elizabeth|dasheen|local|330|330|330|scarce|excellent
September 04, 2021|St. Elizabeth|escallion|local|132|154|143|moderate|excellent
September 04, 2021|St. Elizabeth|ginger|local|-|-|-|-|-
September 04, 2021|St. Elizabeth|green banana|local|77|88|82.5|moderate|excellent
September 04, 2021|St. Elizabeth|gungo peas|dry|-|-|-|-|-
September 04, 2021|St. Elizabeth|gungo peas|green|-|-|-|-|-
September 04, 2021|St. Elizabeth|honeydew melon|local|154|176|165|moderate|excellent
September 04, 2021|St. Elizabeth|irish potato|local|-|-|-|-|-
September 04, 2021|St. Elizabeth|lettuce|iceberg (local)|440|616|550|moderate|excellent
September 04, 2021|St. Elizabeth|lettuce|other|-|-|-|-|-
September 04, 2021|St. Elizabeth|lettuce|romaine (local)|-|-|-|-|-
September 04, 2021|St. Elizabeth|okra|local|-|-|-|-|-
September 04, 2021|St. Elizabeth|onion|local|-|-|-|-|-
September 04, 2021|St. Elizabeth|pak choi|local|-|-|-|-|-
September 04, 2021|St. Elizabeth|papaya|local|132|154|143|scarce|excellent
September 04, 2021|St. Elizabeth|pepper|scotch bonnet|264|330|297|moderate|excellent
September 04, 2021|St. Elizabeth|pepper|west indian red|143|154|148.5|moderate|excellent
September 04, 2021|St. Elizabeth|pineapple|cow boy|176|198|187|moderate|excellent
September 04, 2021|St. Elizabeth|pineapple|md 2|198|220|209|moderate|excellent
September 04, 2021|St. Elizabeth|pineapple|sugar loaf|-|-|-|-|-
September 04, 2021|St. Elizabeth|plantain|green|110|154|132|moderate|excellent
September 04, 2021|St. Elizabeth|plantain|ripe|-|-|-|-|-
September 04, 2021|St. Elizabeth|pumpkin|local|110|132|110|moderate|excellent
September 04, 2021|St. Elizabeth|sorrel|local|-|-|-|-|-
September 04, 2021|St. Elizabeth|string bean|local|-|-|-|-|-
September 04, 2021|St. Elizabeth|sweet pepper (green)|green house (local)|-|-|-|-|-
September 04, 2021|St. Elizabeth|sweet pepper (green)|local|264|374|275|moderate|excellent
September 04, 2021|St. Elizabeth|sweet pepper (red)|green house (local)|-|-|-|-|-
September 04, 2021|St. Elizabeth|sweet pepper (red)|local|-|-|-|-|-
September 04, 2021|St. Elizabeth|sweet pepper (yellow)|green house (local)|-|-|-|-|-
September 04, 2021|St. Elizabeth|sweet pepper (yellow)|local|-|-|-|-|-
September 04, 2021|St. Elizabeth|sweet potato|local|154|220|176|moderate|excellent
September 04, 2021|St. Elizabeth|thyme|local|550|660|605|moderate|excellent
September 04, 2021|St. Elizabeth|tomatoes(plummy)|local|264|352|330|moderate|excellent
September 04, 2021|St. Elizabeth|tomatoes(salad)|local|264|330|286|moderate|excellent
September 04, 2021|St. Elizabeth|watermelon|local|110|154|143|moderate|excellent
September 04, 2021|St. Elizabeth|yam|negro|-|-|-|-|-
September 04, 2021|St. Elizabeth|yam|sweet|-|-|-|-|-
September 04, 2021|St. Elizabeth|yam|white (lucea)|-|-|-|-|-
September 04, 2021|St. Elizabeth|yam|yellow|-|-|-|-|-
