date|parish|commodity|variety source|low|high|most frequent|supply|grade
September 04, 2021|St. James|broccoli|local|-|-|-|-|-
September 04, 2021|St. James|cabbage (green)|local|264|352|330|scarce|excellent
September 04, 2021|St. James|cabbage (red)|local|-|-|-|-|-
September 04, 2021|St. James|callaloo|shredded|-|-|-|-|-
September 04, 2021|St. James|callaloo|whole|110|132|121|moderate|excellent
September 04, 2021|St. James|cantaloupe|local|-|-|-|-|-
September 04, 2021|St. James|carrot|local|-|-|-|-|-
September 04, 2021|St. James|cauliflower|local|-|-|-|-|-
September 04, 2021|St. James|coco|local|-|-|-|-|-
September 04, 2021|St. James|cucumber|local|-|-|-|-|-
September 04, 2021|St. James|dasheen|local|352|374|352|scarce|excellent
September 04, 2021|St. James|escallion|local|-|-|-|-|-
September 04, 2021|St. James|ginger|local|-|-|-|-|-
September 04, 2021|St. James|green banana|local|55|88|71.5|moderate|excellent
September 04, 2021|St. James|gungo peas|dry|-|-|-|-|-
September 04, 2021|St. James|gungo peas|green|-|-|-|-|-
September 04, 2021|St. James|honeydew melon|local|-|-|-|-|-
September 04, 2021|St. James|irish potato|local|-|-|-|-|-
September 04, 2021|St. James|lettuce|iceberg (local)|550|572|550|scarce|excellent
September 04, 2021|St. James|lettuce|other|-|-|-|-|-
September 04, 2021|St. James|lettuce|romaine (local)|-|-|-|-|-
September 04, 2021|St. James|okra|local|286|330|286|moderate|excellent
September 04, 2021|St. James|onion|local|-|-|-|-|-
September 04, 2021|St. James|pak choi|local|286|330|330|scarce|excellent
September 04, 2021|St. James|papaya|local|154|176|154|moderate|excellent
September 04, 2021|St. James|pepper|scotch bonnet|330|440|396|scarce|excellent
September 04, 2021|St. James|pepper|west indian red|-|-|-|-|-
September 04, 2021|St. James|pineapple|cow boy|176|220|176|scarce|excellent
September 04, 2021|St. James|pineapple|md 2|-|-|-|-|-
September 04, 2021|St. James|pineapple|sugar loaf|-|-|-|-|-
September 04, 2021|St. James|plantain|green|110|154|154|moderate|excellent
September 04, 2021|St. James|plantain|ripe|-|-|-|-|-
September 04, 2021|St. James|pumpkin|local|88|132|110|fair|excellent
September 04, 2021|St. James|sorrel|local|-|-|-|-|-
September 04, 2021|St. James|string bean|local|-|-|-|-|-
September 04, 2021|St. James|sweet pepper (green)|green house (local)|-|-|-|-|-
September 04, 2021|St. James|sweet pepper (green)|local|-|-|-|-|-
September 04, 2021|St. James|sweet pepper (red)|green house (local)|-|-|-|-|-
September 04, 2021|St. James|sweet pepper (red)|local|-|-|-|-|-
September 04, 2021|St. James|sweet pepper (yellow)|green house (local)|-|-|-|-|-
September 04, 2021|St. James|sweet pepper (yellow)|local|-|-|-|-|-
September 04, 2021|St. James|sweet potato|local|-|-|-|-|-
September 04, 2021|St. James|thyme|local|-|-|-|-|-
September 04, 2021|St. James|tomatoes(plummy)|local|-|-|-|-|-
September 04, 2021|St. James|tomatoes(salad)|local|330|330|330|scarce|excellent
September 04, 2021|St. James|watermelon|local|-|-|-|-|-
September 04, 2021|St. James|yam|negro|264|286|286|fair|excellent
September 04, 2021|St. James|yam|sweet|-|-|-|-|-
September 04, 2021|St. James|yam|white (lucea)|-|-|-|-|-
September 04, 2021|St. James|yam|yellow|374|396|374|scarce|excellent
