date|parish|commodity|variety source|low|high|most frequent|supply|grade
September 04, 2021|St. Thomas|broccoli|local|770|880|770|moderate|excellent
September 04, 2021|St. Thomas|cabbage (green)|local|154|220|176|moderate|excellent
September 04, 2021|St. Thomas|cabbage (red)|local|-|-|-|-|-
September 04, 2021|St. Thomas|callaloo|shredded|-|-|-|-|-
September 04, 2021|St. Thomas|callaloo|whole|77|132|99|moderate|excellent
September 04, 2021|St. Thomas|cantaloupe|local|-|-|-|-|-
September 04, 2021|St. Thomas|carrot|local|154|287|220|moderate|excellent
September 04, 2021|St. Thomas|cauliflower|local|-|-|-|-|-
September 04, 2021|St. Thomas|coco|local|176|264|220|moderate|excellent
September 04, 2021|St. Thomas|cucumber|local|66|176|88|moderate|excellent
September 04, 2021|St. Thomas|dasheen|local|154|264|220|moderate|excellent
September 04, 2021|St. Thomas|escallion|local|220|220|220|moderate|excellent
September 04, 2021|St. Thomas|ginger|local|550|660|660|moderate|excellent
September 04, 2021|St. Thomas|green banana|local|66|110|88|moderate|excellent
September 04, 2021|St. Thomas|gungo peas|dry|264|330|330|moderate|excellent
September 04, 2021|St. Thomas|gungo peas|green|-|-|-|-|-
September 04, 2021|St. Thomas|honeydew melon|local|-|-|-|-|-
September 04, 2021|St. Thomas|irish potato|local|-|-|-|-|-
September 04, 2021|St. Thomas|lettuce|iceberg (local)|330|440|440|moderate|excellent
September 04, 2021|St. Thomas|lettuce|other|-|-|-|-|-
September 04, 2021|St. Thomas|lettuce|romaine (local)|440|550|550|scarce|excellent
September 04, 2021|St. Thomas|okra|local|132|220|176|moderate|excellent
September 04, 2021|St. Thomas|onion|local|-|-|-|-|-
September 04, 2021|St. Thomas|pak choi|local|88|154|110|moderate|excellent
September 04, 2021|St. Thomas|papaya|local|132|330|220|scarce|excellent
September 04, 2021|St. Thomas|pepper|scotch bonnet|264|440|330|moderate|excellent
September 04, 2021|St. Thomas|pepper|west indian red|110|264|110|moderate|excellent
September 04, 2021|St. Thomas|pineapple|cow boy|176|264|198|moderate|excellent
September 04, 2021|St. Thomas|pineapple|md 2|176|220|198|scarce|excellent
September 04, 2021|St. Thomas|pineapple|sugar loaf|176|264|220|moderate|excellent
September 04, 2021|St. Thomas|plantain|green|77|132|82.5|moderate|excellent
September 04, 2021|St. Thomas|plantain|ripe|154|264|220|moderate|excellent
September 04, 2021|St. Thomas|pumpkin|local|77|176|110|moderate|excellent
September 04, 2021|St. Thomas|sorrel|local|330|440|385|moderate|excellent
September 04, 2021|St. Thomas|string bean|local|264|330|330|moderate|excellent
September 04, 2021|St. Thomas|sweet pepper (green)|green house (local)|-|-|-|-|-
September 04, 2021|St. Thomas|sweet pepper (green)|local|264|396|330|moderate|excellent
September 04, 2021|St. Thomas|sweet pepper (red)|green house (local)|-|-|-|-|-
September 04, 2021|St. Thomas|sweet pepper (red)|local|-|-|-|-|-
September 04, 2021|St. Thomas|sweet pepper (yellow)|green house (local)|-|-|-|-|-
September 04, 2021|St. Thomas|sweet pepper (yellow)|local|-|-|-|-|-
September 04, 2021|St. Thomas|sweet potato|local|176|264|220|moderate|excellent
September 04, 2021|St. Thomas|thyme|local|440|660|550|moderate|excellent
September 04, 2021|St. Thomas|tomatoes(plummy)|local|220|330|242|moderate|excellent
September 04, 2021|St. Thomas|tomatoes(salad)|local|132|198|161.33|moderate|excellent
September 04, 2021|St. Thomas|watermelon|local|88|176|132|moderate|excellent
September 04, 2021|St. Thomas|yam|negro|308|330|330|moderate|excellent
September 04, 2021|St. Thomas|yam|sweet|-|-|-|-|-
September 04, 2021|St. Thomas|yam|white (lucea)|-|-|-|-|-
September 04, 2021|St. Thomas|yam|yellow|330|440|330|moderate|excellent
