||||||||||||||
||||||||||||||
||||||||||||||
||||||||||||||
|||||Manchester|||||St. Andrew||||
||||||||||||||
|||||||||||High|"Most
Frequent"|Supply|Grade
Commodity||Variety / Source|||Low|High|"Most
Frequent"|Supply|Grade|Low||||
Broccoli||Local|||-|-|-|-|-|1100|1100|1100|Fair|Excellent
||||||||||||||
Cabbage (Green)||Local|||242|308|242|Moderate|Excellent|176|220|220|Fair|Excellent
Cabbage (Red)||Local|||-|-|-|-|-|-|-|-|-|-
Callaloo||Shredded|||-|-|-|-|-|-|-|-|-|-
Callaloo||Whole|||77|110|88|Moderate|Excellent|132|132|132|Fair|Excellent
Cantaloupe||Local|||132|176|154|Moderate|Excellent|-|-|-|-|-
Carrot||Local|||154|176|165|Moderate|Excellent|-|-|-|-|-
Cauliflower||Local|||484|550|517|Scarce|Excellent|660|660|660|Fair|Excellent
Coco||Local|||-|-|-|-|-|-|-|-|-|-
Cucumber||Local|||110|132|121|Moderate|Excellent|-|-|-|-|-
Dasheen||Local|||-|-|-|-|-|-|-|-|-|-
Escallion||Local|||264|330|264|Moderate|Excellent|176|220|220|Fair|Excellent
Ginger||Local|||-|-|-|-|-|-|-|-|-|-
Green Banana||Local|||44|55|49.5|Moderate|Excellent|110|132|110|Fair|Excellent
Gungo Peas||Dry|||-|-|-|-|-|-|-|-|-|-
Gungo Peas||Green|||-|-|-|-|-|-|-|-|-|-
Honeydew Melon||Local|||-|-|-|-|-|-|-|-|-|-
Irish Potato||Local|||-|-|-|-|-|264|264|264|Fair|Excellent
Lettuce||Iceberg (Local)|||440|484|462|Scarce|Excellent|330|440|330|Fair|Excellent
Lettuce||Other|||-|-|-|-|-|-|-|-|-|-
Lettuce||Romaine (Local)|||770|880|825|Scarce|Excellent|-|-|-|-|-
Okra||Local|||-|-|-|-|-|-|-|-|-|-
Onion||Local|||-|-|-|-|-|-|-|-|-|-
Pak Choi||Local|||-|-|-|-|-|-|-|-|-|-
Papaya||Local|||-|-|-|-|-|-|-|-|-|-
Pepper||Scotch Bonnet|||220|396|330|Moderate|Excellent|-|-|-|-|-
Pepper||West Indian Red|||132|176|132|Moderate|Excellent|-|-|-|-|-
Pineapple||Cow Boy|||-|-|-|-|-|-|-|-|-|-
Pineapple||MD 2|||-|-|-|-|-|-|-|-|-|-
Pineapple||Sugar Loaf|||-|-|-|-|-|-|-|-|-|-
Plantain||Green|||88|110|99|Moderate|Excellent|132|154|154|Fair|Excellent
Plantain||Ripe|||132|154|143|Moderate|Excellent|-|-|-|-|-
Pumpkin||Local|||132|154|143|Moderate|Excellent|110|132|110|Fair|Excellent
Sorrel||Local|||-|-|-|-|-|-|-|-|-|-
String Bean||Local|||-|-|-|-|-|-|-|-|-|-
Sweet Pepper (Green)||Green House (Local)|||330|374|352|Moderate|Excellent|-|-|-|-|-
Sweet Pepper (Green)||Local|||242|374|264|Moderate|Excellent|176|220|220|Fair|Excellent
Sweet Pepper (Red)||Green House (Local)|||484|550|517|Moderate|Excellent|-|-|-|-|-
