||||"Urban Municipal Market Prices (J$/Kg)
Week Ending September 04, 2021"|||||||||||||||||||
"Ministry of Industry, Commerce, Agriculture
& Fisheries"|||||||||||||||||||||||
|||||||||||||||||||||||
|||||||||||||||||||||||
|||||||||||||||||||||||
|||||||Papine||||||Coronation|||||||Cross Roads|||
|||||||||||||||||||||||
Commodity||Variety / Source||||Low|||High|Most Freq.|||||Low||High|Most Freq.||Low|High||Most Freq.
Broccoli||Local||||1760|||1760|1760|||||||n/a||||n/a||
Cabbage (Green)||Local||||550|||550|550|||||286||396|330||440|550||440
Cabbage (Red)||Local|||||||n/a||||||||n/a||||n/a||
Callaloo||Shredded||||440|||440|440|||||440||550|495||440|440||440
Callaloo||Whole||||220|||330|330|||||154||154|154||330|330||330
Cantaloupe||Local||||440|||440|440|||||220||330|271.33||220|330||275
Carrot||Local||||550|||550|550|||||176||264|198||550|550||550
Cauliflower||Local||||1100|||1100|1100|||||550||880|550|||n/a||
Coco||Local||||440|||440|440|||||220||220|220||440|440||440
Cucumber||Local||||330|||330|330|||||110||176|110||330|330||330
Dasheen||Local||||440|||440|440|||||308||308|308||440|440||440
Escallion||Local||||660|||880|770|||||220||352|330||440|440||440
Ginger||Local||||1100|||1320|1210|||||660||880|715||880|880||880
Green Banana||Local||||154|||154|154|||||77||77|77||154|154||154
Gungo Peas||Dry|||||||n/a||||||440||550|440|||n/a||
Gungo Peas||Green|||||||n/a||||||||n/a||||n/a||
Honeydew Melon||Local|||||||n/a||||||||n/a||||n/a||
Irish Potato||Local|||||||n/a||||||||n/a||||n/a||
Lettuce||Iceberg (Local)||||880|||880|880|||||440||440|440||880|880||880
Lettuce||Other|||||||n/a||||||||n/a||||n/a||
Lettuce||Romaine (Local)|||||||n/a||||||||n/a||||n/a||
Okra||Local||||484|||660|572|||||264||330|264|||n/a||
Onion||Local|||||||n/a||||||||n/a||||n/a||
Pak Choi||Local||||330|||330|330|||||176||220|220|||n/a||
Papaya||Local||||440|||440|440|||||264||330|264|||n/a||
Pepper||Scotch Bonnet||||880|||1100|990|||||440||550|440|||n/a||
Pepper||West Indian Red|||||||n/a||||||330||330|330|||n/a||
Pineapple||Cow Boy||||440|||440|440|||||220||330|220||440|440||440
Pineapple||MD 2|||||||n/a||||||||n/a||||n/a||
Pineapple||Sugar Loaf||||550|||550|550|||||||n/a||||n/a||
Plantain||Green||||264|||286|275|||||154||154|154||264|264||264
Plantain||Ripe||||330|||330|330|||||154||154|154||330|330||330
Pumpkin||Local||||330|||330|330|||||176||264|220||330|330||330
Sorrel||Local|||||||n/a||||||||n/a||||n/a||
String Bean||Local||||660|||770|715|||||440||440|440||660|660||660
Sweet Pepper (Green)||Green House (Local)|||||||n/a||||||||n/a||||n/a||
Sweet Pepper (Green)||Local||||660|||660|660|||||440||440|440||660|660||660
Sweet Pepper (Red)||Green House (Local)|||||||n/a||||||||n/a||||n/a||
Sweet Pepper (Red)||Local|||||||n/a||||||||n/a||||n/a||
Sweet Pepper (Yellow)||Green House (Local)|||||||n/a||||||||n/a||||n/a||
Sweet Pepper (Yellow)||Local|||||||n/a||||||||n/a||||n/a||
Sweet Potato||Local||||440|||440|440|||||220||264|220||550|550||550
Thyme||Local||||1540|||1760|1540|||||1100||1100|1100||1320|1320||1320
Tomatoes(Plummy)||Local|||||||n/a||||||440||440|440||660|660||660
Tomatoes(Salad)||Local||||660|||770|770|||||506||550|528||660|770||715
Watermelon||Local||||330|||330|330|||||110||220|110|||n/a||
Yam||Negro||||550|||550|550|||||||n/a||||n/a||
Yam||Sweet|||||||n/a||||||||n/a||||n/a||
Yam||White (Lucea)||||550|||550|550|||||330||330|330||660|660||660
Yam||Yellow||||660|||770|715|||||396||396|396||660|660||660
|||||||||||||||||||||||
"http://www.ja-mis.com
Prepared on 9/3/2021 by Agriculture Marketing Information Division"|||||||||||||||||||||||
