date|parish|commodity|variety source|low|high|most frequent|supply|grade
August 07, 2021|Hanover|broccoli|local|-|-|-|-|-
August 07, 2021|Hanover|cabbage (green)|local|110|154|132|moderate|excellent
August 07, 2021|Hanover|cabbage (red)|local|-|-|-|-|-
August 07, 2021|Hanover|callaloo|shredded|-|-|-|-|-
August 07, 2021|Hanover|callaloo|whole|88|110|110|moderate|excellent
August 07, 2021|Hanover|cantaloupe|local|-|-|-|-|-
August 07, 2021|Hanover|carrot|local|308|396|330|moderate|excellent
August 07, 2021|Hanover|cauliflower|local|-|-|-|-|-
August 07, 2021|Hanover|coco|local|198|264|220|moderate|excellent
August 07, 2021|Hanover|cucumber|local|110|132|110|moderate|excellent
August 07, 2021|Hanover|dasheen|local|154|220|176|moderate|excellent
August 07, 2021|Hanover|escallion|local|-|-|-|-|-
August 07, 2021|Hanover|ginger|local|330|550|440|moderate|excellent
August 07, 2021|Hanover|green banana|local|110|154|132|moderate|excellent
August 07, 2021|Hanover|gungo peas|dry|-|-|-|-|-
August 07, 2021|Hanover|gungo peas|green|-|-|-|-|-
August 07, 2021|Hanover|honeydew melon|local|-|-|-|-|-
August 07, 2021|Hanover|irish potato|local|-|-|-|-|-
August 07, 2021|Hanover|lettuce|iceberg (local)|-|-|-|-|-
August 07, 2021|Hanover|lettuce|other|-|-|-|-|-
August 07, 2021|Hanover|lettuce|romaine (local)|-|-|-|-|-
August 07, 2021|Hanover|okra|local|198|264|220|moderate|excellent
August 07, 2021|Hanover|onion|local|-|-|-|-|-
August 07, 2021|Hanover|pak choi|local|110|176|110|moderate|excellent
August 07, 2021|Hanover|papaya|local|-|-|-|-|-
August 07, 2021|Hanover|pepper|scotch bonnet|308|550|440|moderate|excellent
August 07, 2021|Hanover|pepper|west indian red|154|220|176|moderate|excellent
August 07, 2021|Hanover|pineapple|cow boy|110|132|110|moderate|excellent
August 07, 2021|Hanover|pineapple|md 2|-|-|-|-|-
August 07, 2021|Hanover|pineapple|sugar loaf|-|-|-|-|-
August 07, 2021|Hanover|plantain|green|110|176|154|moderate|excellent
August 07, 2021|Hanover|plantain|ripe|-|-|-|-|-
August 07, 2021|Hanover|pumpkin|local|88|110|110|moderate|excellent
August 07, 2021|Hanover|sorrel|local|-|-|-|-|-
August 07, 2021|Hanover|string bean|local|264|352|330|moderate|excellent
August 07, 2021|Hanover|sweet pepper (green)|green house (local)|-|-|-|-|-
August 07, 2021|Hanover|sweet pepper (green)|local|154|220|176|moderate|excellent
August 07, 2021|Hanover|sweet pepper (red)|green house (local)|-|-|-|-|-
August 07, 2021|Hanover|sweet pepper (red)|local|-|-|-|-|-
August 07, 2021|Hanover|sweet pepper (yellow)|green house (local)|-|-|-|-|-
August 07, 2021|Hanover|sweet pepper (yellow)|local|-|-|-|-|-
August 07, 2021|Hanover|sweet potato|local|176|264|220|moderate|excellent
August 07, 2021|Hanover|thyme|local|-|-|-|-|-
August 07, 2021|Hanover|tomatoes(plummy)|local|110|132|110|moderate|excellent
August 07, 2021|Hanover|tomatoes(salad)|local|154|176|154|moderate|excellent
August 07, 2021|Hanover|watermelon|local|-|-|-|-|-
August 07, 2021|Hanover|yam|negro|-|-|-|-|-
August 07, 2021|Hanover|yam|sweet|-|-|-|-|-
August 07, 2021|Hanover|yam|white (lucea)|330|550|440|moderate|excellent
August 07, 2021|Hanover|yam|yellow|330|550|385|moderate|excellent
