date|parish|commodity|variety source|low|high|most frequent|supply|grade
August 07, 2021|Manchester|broccoli|local|-|-|-|-|-
August 07, 2021|Manchester|cabbage (green)|local|110|154|110|moderate|excellent
August 07, 2021|Manchester|cabbage (red)|local|-|-|-|-|-
August 07, 2021|Manchester|callaloo|shredded|-|-|-|-|-
August 07, 2021|Manchester|callaloo|whole|77|99|77|moderate|excellent
August 07, 2021|Manchester|cantaloupe|local|132|198|165|moderate|excellent
August 07, 2021|Manchester|carrot|local|88|110|88|fair|excellent
August 07, 2021|Manchester|cauliflower|local|396|484|484|moderate|excellent
August 07, 2021|Manchester|coco|local|-|-|-|-|-
August 07, 2021|Manchester|cucumber|local|44|88|66|moderate|excellent
August 07, 2021|Manchester|dasheen|local|-|-|-|-|-
August 07, 2021|Manchester|escallion|local|88|110|99|average|excellent
August 07, 2021|Manchester|ginger|local|-|-|-|-|-
August 07, 2021|Manchester|green banana|local|44|55|49.5|moderate|excellent
August 07, 2021|Manchester|gungo peas|dry|-|-|-|-|-
August 07, 2021|Manchester|gungo peas|green|-|-|-|-|-
August 07, 2021|Manchester|honeydew melon|local|-|-|-|-|-
August 07, 2021|Manchester|irish potato|local|308|330|319|scarce|excellent
August 07, 2021|Manchester|lettuce|iceberg (local)|550|770|660|scarce|excellent
August 07, 2021|Manchester|lettuce|other|-|-|-|-|-
August 07, 2021|Manchester|lettuce|romaine (local)|880|880|880|scarce|excellent
August 07, 2021|Manchester|okra|local|-|-|-|-|-
August 07, 2021|Manchester|onion|local|-|-|-|-|-
August 07, 2021|Manchester|pak choi|local|-|-|-|-|-
August 07, 2021|Manchester|papaya|local|-|-|-|-|-
August 07, 2021|Manchester|pepper|scotch bonnet|198|330|253|moderate|excellent
August 07, 2021|Manchester|pepper|west indian red|110|132|121|moderate|excellent
August 07, 2021|Manchester|pineapple|cow boy|-|-|-|-|-
August 07, 2021|Manchester|pineapple|md 2|-|-|-|-|-
August 07, 2021|Manchester|pineapple|sugar loaf|-|-|-|-|-
August 07, 2021|Manchester|plantain|green|88|110|99|moderate|excellent
August 07, 2021|Manchester|plantain|ripe|110|154|132|moderate|excellent
August 07, 2021|Manchester|pumpkin|local|66|99|66|moderate|excellent
August 07, 2021|Manchester|sorrel|local|-|-|-|-|-
August 07, 2021|Manchester|string bean|local|-|-|-|-|-
August 07, 2021|Manchester|sweet pepper (green)|green house (local)|-|-|-|-|-
August 07, 2021|Manchester|sweet pepper (green)|local|132|220|143|moderate|excellent
August 07, 2021|Manchester|sweet pepper (red)|green house (local)|484|550|517|moderate|excellent
August 07, 2021|Manchester|sweet pepper (red)|local|-|-|-|-|-
August 07, 2021|Manchester|sweet pepper (yellow)|green house (local)|484|550|517|moderate|excellent
August 07, 2021|Manchester|sweet pepper (yellow)|local|-|-|-|-|-
August 07, 2021|Manchester|sweet potato|local|132|220|132|moderate|excellent
August 07, 2021|Manchester|thyme|local|550|660|605|moderate|excellent
August 07, 2021|Manchester|tomatoes(plummy)|local|132|198|165|scarce|excellent
August 07, 2021|Manchester|tomatoes(salad)|local|264|330|330|scarce|excellent
August 07, 2021|Manchester|watermelon|local|132|154|143|moderate|excellent
August 07, 2021|Manchester|yam|negro|440|550|550|scarce|excellent
August 07, 2021|Manchester|yam|sweet|-|-|-|-|-
August 07, 2021|Manchester|yam|white (lucea)|-|-|-|-|-
August 07, 2021|Manchester|yam|yellow|440|550|550|scarce|excellent
