date|parish|commodity|variety source|low|high|most frequent|supply|grade
August 07, 2021|St. Andrew|broccoli|local|1100|1100|1100|fair|excellent
August 07, 2021|St. Andrew|cabbage (green)|local|88|132|132|fair|excellent
August 07, 2021|St. Andrew|cabbage (red)|local|-|-|-|-|-
August 07, 2021|St. Andrew|callaloo|shredded|-|-|-|-|-
August 07, 2021|St. Andrew|callaloo|whole|132|132|132|fair|excellent
August 07, 2021|St. Andrew|cantaloupe|local|-|-|-|-|-
August 07, 2021|St. Andrew|carrot|local|66|88|88|fair|excellent
August 07, 2021|St. Andrew|cauliflower|local|660|660|660|fair|excellent
August 07, 2021|St. Andrew|coco|local|-|-|-|-|-
August 07, 2021|St. Andrew|cucumber|local|88|88|88|fair|excellent
August 07, 2021|St. Andrew|dasheen|local|-|-|-|-|-
August 07, 2021|St. Andrew|escallion|local|220|220|220|fair|excellent
August 07, 2021|St. Andrew|ginger|local|-|-|-|-|-
August 07, 2021|St. Andrew|green banana|local|132|132|132|fair|excellent
August 07, 2021|St. Andrew|gungo peas|dry|-|-|-|-|-
August 07, 2021|St. Andrew|gungo peas|green|-|-|-|-|-
August 07, 2021|St. Andrew|honeydew melon|local|-|-|-|-|-
August 07, 2021|St. Andrew|irish potato|local|264|308|308|fair|excellent
August 07, 2021|St. Andrew|lettuce|iceberg (local)|-|-|-|-|-
August 07, 2021|St. Andrew|lettuce|other|-|-|-|-|-
August 07, 2021|St. Andrew|lettuce|romaine (local)|-|-|-|-|-
August 07, 2021|St. Andrew|okra|local|-|-|-|-|-
August 07, 2021|St. Andrew|onion|local|-|-|-|-|-
August 07, 2021|St. Andrew|pak choi|local|-|-|-|-|-
August 07, 2021|St. Andrew|papaya|local|-|-|-|-|-
August 07, 2021|St. Andrew|pepper|scotch bonnet|-|-|-|-|-
August 07, 2021|St. Andrew|pepper|west indian red|-|-|-|-|-
August 07, 2021|St. Andrew|pineapple|cow boy|-|-|-|-|-
August 07, 2021|St. Andrew|pineapple|md 2|-|-|-|-|-
August 07, 2021|St. Andrew|pineapple|sugar loaf|110|110|110|fair|excellent
August 07, 2021|St. Andrew|plantain|green|132|154|154|fair|excellent
August 07, 2021|St. Andrew|plantain|ripe|-|-|-|-|-
August 07, 2021|St. Andrew|pumpkin|local|110|110|110|fair|excellent
August 07, 2021|St. Andrew|sorrel|local|264|264|264|fair|excellent
August 07, 2021|St. Andrew|string bean|local|-|-|-|-|-
August 07, 2021|St. Andrew|sweet pepper (green)|green house (local)|-|-|-|-|-
August 07, 2021|St. Andrew|sweet pepper (green)|local|550|550|550|fair|excellent
August 07, 2021|St. Andrew|sweet pepper (red)|green house (local)|-|-|-|-|-
August 07, 2021|St. Andrew|sweet pepper (red)|local|-|-|-|-|-
August 07, 2021|St. Andrew|sweet pepper (yellow)|green house (local)|-|-|-|-|-
August 07, 2021|St. Andrew|sweet pepper (yellow)|local|-|-|-|-|-
August 07, 2021|St. Andrew|sweet potato|local|-|-|-|-|-
August 07, 2021|St. Andrew|thyme|local|660|660|660|fair|excellent
August 07, 2021|St. Andrew|tomatoes(plummy)|local|110|132|110|fair|excellent
August 07, 2021|St. Andrew|tomatoes(salad)|local|220|264|220|fair|excellent
August 07, 2021|St. Andrew|watermelon|local|-|-|-|-|-
August 07, 2021|St. Andrew|yam|negro|-|-|-|-|-
August 07, 2021|St. Andrew|yam|sweet|-|-|-|-|-
August 07, 2021|St. Andrew|yam|white (lucea)|-|-|-|-|-
August 07, 2021|St. Andrew|yam|yellow|-|-|-|-|-
