date|parish|commodity|variety source|low|high|most frequent|supply|grade
August 07, 2021|St. Catherine|broccoli|local|-|-|-|-|-
August 07, 2021|St. Catherine|cabbage (green)|local|66|176|127.6|moderate|excellent
August 07, 2021|St. Catherine|cabbage (red)|local|-|-|-|-|-
August 07, 2021|St. Catherine|callaloo|shredded|-|-|-|-|-
August 07, 2021|St. Catherine|callaloo|whole|44|55|49.5|moderate|excellent
August 07, 2021|St. Catherine|cantaloupe|local|-|-|-|-|-
August 07, 2021|St. Catherine|carrot|local|-|-|-|-|-
August 07, 2021|St. Catherine|cauliflower|local|-|-|-|-|-
August 07, 2021|St. Catherine|coco|local|-|-|-|-|-
August 07, 2021|St. Catherine|cucumber|local|33|60|44|moderate|excellent
August 07, 2021|St. Catherine|dasheen|local|176|220|198|moderate|excellent
August 07, 2021|St. Catherine|escallion|local|-|-|-|-|-
August 07, 2021|St. Catherine|ginger|local|-|-|-|-|-
August 07, 2021|St. Catherine|green banana|local|68.2|68.2|68.2|moderate|excellent
August 07, 2021|St. Catherine|gungo peas|dry|-|-|-|-|-
August 07, 2021|St. Catherine|gungo peas|green|-|-|-|-|-
August 07, 2021|St. Catherine|honeydew melon|local|-|-|-|-|-
August 07, 2021|St. Catherine|irish potato|local|-|-|-|-|-
August 07, 2021|St. Catherine|lettuce|iceberg (local)|-|-|-|-|-
August 07, 2021|St. Catherine|lettuce|other|-|-|-|-|-
August 07, 2021|St. Catherine|lettuce|romaine (local)|-|-|-|-|-
August 07, 2021|St. Catherine|okra|local|88|110|110|moderate|excellent
August 07, 2021|St. Catherine|onion|local|-|-|-|-|-
August 07, 2021|St. Catherine|pak choi|local|-|-|-|-|-
August 07, 2021|St. Catherine|papaya|local|-|-|-|-|-
August 07, 2021|St. Catherine|pepper|scotch bonnet|176|330|220|scarce|excellent
August 07, 2021|St. Catherine|pepper|west indian red|132|154|132|scarce|excellent
August 07, 2021|St. Catherine|pineapple|cow boy|-|-|-|-|-
August 07, 2021|St. Catherine|pineapple|md 2|-|-|-|-|-
August 07, 2021|St. Catherine|pineapple|sugar loaf|220|220|220|scarce|excellent
August 07, 2021|St. Catherine|plantain|green|176|290|233|fair|excellent
August 07, 2021|St. Catherine|plantain|ripe|-|-|-|-|-
August 07, 2021|St. Catherine|pumpkin|local|66|110|88|moderate|excellent
August 07, 2021|St. Catherine|sorrel|local|-|-|-|-|-
August 07, 2021|St. Catherine|string bean|local|-|-|-|-|-
August 07, 2021|St. Catherine|sweet pepper (green)|green house (local)|-|-|-|-|-
August 07, 2021|St. Catherine|sweet pepper (green)|local|132|220|176|scarce|excellent
August 07, 2021|St. Catherine|sweet pepper (red)|green house (local)|-|-|-|-|-
August 07, 2021|St. Catherine|sweet pepper (red)|local|-|-|-|-|-
August 07, 2021|St. Catherine|sweet pepper (yellow)|green house (local)|-|-|-|-|-
August 07, 2021|St. Catherine|sweet pepper (yellow)|local|-|-|-|-|-
August 07, 2021|St. Catherine|sweet potato|local|88|176|110|moderate|excellent
August 07, 2021|St. Catherine|thyme|local|-|-|-|-|-
August 07, 2021|St. Catherine|tomatoes(plummy)|local|176|220|198|moderate|excellent
August 07, 2021|St. Catherine|tomatoes(salad)|local|-|-|-|-|-
August 07, 2021|St. Catherine|watermelon|local|-|-|-|-|-
August 07, 2021|St. Catherine|yam|negro|330|330|330|scarce|excellent
August 07, 2021|St. Catherine|yam|sweet|-|-|-|-|-
August 07, 2021|St. Catherine|yam|white (lucea)|-|-|-|-|-
August 07, 2021|St. Catherine|yam|yellow|330|396|330|scarce|excellent
