date|parish|commodity|variety source|low|high|most frequent|supply|grade
August 07, 2021|St. Elizabeth|broccoli|local|550|770|660|moderate|excellent
August 07, 2021|St. Elizabeth|cabbage (green)|local|154|176|165|moderate|excellent
August 07, 2021|St. Elizabeth|cabbage (red)|local|-|-|-|-|-
August 07, 2021|St. Elizabeth|callaloo|shredded|-|-|-|-|-
August 07, 2021|St. Elizabeth|callaloo|whole|-|-|-|-|-
August 07, 2021|St. Elizabeth|cantaloupe|local|154|176|165|moderate|excellent
August 07, 2021|St. Elizabeth|carrot|local|110|132|121|moderate|excellent
August 07, 2021|St. Elizabeth|cauliflower|local|286|330|308|moderate|excellent
August 07, 2021|St. Elizabeth|coco|local|-|-|-|-|-
August 07, 2021|St. Elizabeth|cucumber|local|66|88|77|moderate|excellent
August 07, 2021|St. Elizabeth|dasheen|local|-|-|-|-|-
August 07, 2021|St. Elizabeth|escallion|local|110|154|121|moderate|excellent
August 07, 2021|St. Elizabeth|ginger|local|-|-|-|-|-
August 07, 2021|St. Elizabeth|green banana|local|66|77|71.5|moderate|excellent
August 07, 2021|St. Elizabeth|gungo peas|dry|-|-|-|-|-
August 07, 2021|St. Elizabeth|gungo peas|green|-|-|-|-|-
August 07, 2021|St. Elizabeth|honeydew melon|local|-|-|-|-|-
August 07, 2021|St. Elizabeth|irish potato|local|-|-|-|-|-
August 07, 2021|St. Elizabeth|lettuce|iceberg (local)|440|550|495|moderate|excellent
August 07, 2021|St. Elizabeth|lettuce|other|-|-|-|-|-
August 07, 2021|St. Elizabeth|lettuce|romaine (local)|-|-|-|-|-
August 07, 2021|St. Elizabeth|okra|local|-|-|-|-|-
August 07, 2021|St. Elizabeth|onion|local|-|-|-|-|-
August 07, 2021|St. Elizabeth|pak choi|local|-|-|-|-|-
August 07, 2021|St. Elizabeth|papaya|local|132|154|143|moderate|excellent
August 07, 2021|St. Elizabeth|pepper|scotch bonnet|220|264|242|moderate|excellent
August 07, 2021|St. Elizabeth|pepper|west indian red|143|154|148.5|moderate|excellent
August 07, 2021|St. Elizabeth|pineapple|cow boy|132|154|143|moderate|excellent
August 07, 2021|St. Elizabeth|pineapple|md 2|176|198|187|moderate|excellent
August 07, 2021|St. Elizabeth|pineapple|sugar loaf|-|-|-|-|-
August 07, 2021|St. Elizabeth|plantain|green|110|154|132|moderate|excellent
August 07, 2021|St. Elizabeth|plantain|ripe|-|-|-|-|-
August 07, 2021|St. Elizabeth|pumpkin|local|66|88|77|moderate|excellent
August 07, 2021|St. Elizabeth|sorrel|local|-|-|-|-|-
August 07, 2021|St. Elizabeth|string bean|local|-|-|-|-|-
August 07, 2021|St. Elizabeth|sweet pepper (green)|green house (local)|-|-|-|-|-
August 07, 2021|St. Elizabeth|sweet pepper (green)|local|198|264|220|moderate|excellent
August 07, 2021|St. Elizabeth|sweet pepper (red)|green house (local)|-|-|-|-|-
August 07, 2021|St. Elizabeth|sweet pepper (red)|local|-|-|-|-|-
August 07, 2021|St. Elizabeth|sweet pepper (yellow)|green house (local)|-|-|-|-|-
August 07, 2021|St. Elizabeth|sweet pepper (yellow)|local|-|-|-|-|-
August 07, 2021|St. Elizabeth|sweet potato|local|132|176|165|moderate|excellent
August 07, 2021|St. Elizabeth|thyme|local|440|550|495|moderate|excellent
August 07, 2021|St. Elizabeth|tomatoes(plummy)|local|110|132|121|moderate|excellent
August 07, 2021|St. Elizabeth|tomatoes(salad)|local|286|308|297|moderate|excellent
August 07, 2021|St. Elizabeth|watermelon|local|110|154|132|moderate|excellent
August 07, 2021|St. Elizabeth|yam|negro|-|-|-|-|-
August 07, 2021|St. Elizabeth|yam|sweet|-|-|-|-|-
August 07, 2021|St. Elizabeth|yam|white (lucea)|-|-|-|-|-
August 07, 2021|St. Elizabeth|yam|yellow|-|-|-|-|-
