date|parish|commodity|variety source|low|high|most frequent|supply|grade
August 07, 2021|St. James|broccoli|local|-|-|-|-|-
August 07, 2021|St. James|cabbage (green)|local|154|154|154|moderate|excellent
August 07, 2021|St. James|cabbage (red)|local|-|-|-|-|-
August 07, 2021|St. James|callaloo|shredded|-|-|-|-|-
August 07, 2021|St. James|callaloo|whole|77|132|110|moderate|excellent
August 07, 2021|St. James|cantaloupe|local|-|-|-|-|-
August 07, 2021|St. James|carrot|local|-|-|-|-|-
August 07, 2021|St. James|cauliflower|local|-|-|-|-|-
August 07, 2021|St. James|coco|local|-|-|-|-|-
August 07, 2021|St. James|cucumber|local|-|-|-|-|-
August 07, 2021|St. James|dasheen|local|330|330|330|scarce|excellent
August 07, 2021|St. James|escallion|local|-|-|-|-|-
August 07, 2021|St. James|ginger|local|-|-|-|-|-
August 07, 2021|St. James|green banana|local|55|77|66|fair|excellent
August 07, 2021|St. James|gungo peas|dry|-|-|-|-|-
August 07, 2021|St. James|gungo peas|green|-|-|-|-|-
August 07, 2021|St. James|honeydew melon|local|-|-|-|-|-
August 07, 2021|St. James|irish potato|local|-|-|-|-|-
August 07, 2021|St. James|lettuce|iceberg (local)|440|484|440|moderate|excellent
August 07, 2021|St. James|lettuce|other|-|-|-|-|-
August 07, 2021|St. James|lettuce|romaine (local)|-|-|-|-|-
August 07, 2021|St. James|okra|local|264|286|286|fair|excellent
August 07, 2021|St. James|onion|local|-|-|-|-|-
August 07, 2021|St. James|pak choi|local|132|154|143|moderate|excellent
August 07, 2021|St. James|papaya|local|154|176|154|moderate|excellent
August 07, 2021|St. James|pepper|scotch bonnet|286|330|330|moderate|excellent
August 07, 2021|St. James|pepper|west indian red|-|-|-|-|-
August 07, 2021|St. James|pineapple|cow boy|132|176|154|scarce|excellent
August 07, 2021|St. James|pineapple|md 2|176|176|176|scarce|excellent
August 07, 2021|St. James|pineapple|sugar loaf|154|176|154|scarce|excellent
August 07, 2021|St. James|plantain|green|132|154|132|moderate|excellent
August 07, 2021|St. James|plantain|ripe|-|-|-|-|-
August 07, 2021|St. James|pumpkin|local|88|110|99|fair|excellent
August 07, 2021|St. James|sorrel|local|-|-|-|-|-
August 07, 2021|St. James|string bean|local|-|-|-|-|-
August 07, 2021|St. James|sweet pepper (green)|green house (local)|-|-|-|-|-
August 07, 2021|St. James|sweet pepper (green)|local|-|-|-|-|-
August 07, 2021|St. James|sweet pepper (red)|green house (local)|-|-|-|-|-
August 07, 2021|St. James|sweet pepper (red)|local|-|-|-|-|-
August 07, 2021|St. James|sweet pepper (yellow)|green house (local)|-|-|-|-|-
August 07, 2021|St. James|sweet pepper (yellow)|local|-|-|-|-|-
August 07, 2021|St. James|sweet potato|local|-|-|-|-|-
August 07, 2021|St. James|thyme|local|-|-|-|-|-
August 07, 2021|St. James|tomatoes(plummy)|local|-|-|-|-|-
August 07, 2021|St. James|tomatoes(salad)|local|-|-|-|-|-
August 07, 2021|St. James|watermelon|local|-|-|-|-|-
August 07, 2021|St. James|yam|negro|330|330|330|moderate|excellent
August 07, 2021|St. James|yam|sweet|-|-|-|-|-
August 07, 2021|St. James|yam|white (lucea)|-|-|-|-|-
August 07, 2021|St. James|yam|yellow|-|-|-|-|-
