date|parish|commodity|variety source|low|high|most frequent|supply|grade
January 16, 2021|Clarendon|broccoli|local|-|-|-|-|-
January 16, 2021|Clarendon|cabbage (green)|local|110|220|143|moderate|excellent
January 16, 2021|Clarendon|cabbage (red)|local|-|-|-|-|-
January 16, 2021|Clarendon|callaloo|shredded|-|-|-|-|-
January 16, 2021|Clarendon|callaloo|whole|66|110|88|moderate|excellent
January 16, 2021|Clarendon|cantaloupe|local|-|-|-|-|-
January 16, 2021|Clarendon|carrot|local|198|286|220|moderate|excellent
January 16, 2021|Clarendon|cauliflower|local|-|-|-|-|-
January 16, 2021|Clarendon|coco|local|220|308|220|moderate|excellent
January 16, 2021|Clarendon|cucumber|local|88|154|110|moderate|excellent
January 16, 2021|Clarendon|dasheen|local|176|286|220|moderate|excellent
January 16, 2021|Clarendon|escallion|local|-|-|-|-|-
January 16, 2021|Clarendon|ginger|local|154|198|176|moderate|excellent
January 16, 2021|Clarendon|green banana|local|44|88|66|moderate|excellent
January 16, 2021|Clarendon|gungo peas|dry|-|-|-|-|-
January 16, 2021|Clarendon|gungo peas|green|-|-|-|-|-
January 16, 2021|Clarendon|honeydew melon|local|-|-|-|-|-
January 16, 2021|Clarendon|irish potato|local|-|-|-|-|-
January 16, 2021|Clarendon|lettuce|iceberg (local)|66|110|88|fair|excellent
January 16, 2021|Clarendon|lettuce|other|-|-|-|-|-
January 16, 2021|Clarendon|lettuce|romaine (local)|-|-|-|-|-
January 16, 2021|Clarendon|okra|local|330|440|440|moderate|excellent
January 16, 2021|Clarendon|onion|local|-|-|-|-|-
January 16, 2021|Clarendon|pak choi|local|33|88|44|average|excellent
January 16, 2021|Clarendon|papaya|local|-|-|-|-|-
January 16, 2021|Clarendon|pepper|scotch bonnet|660|1100|935|scarce|excellent
January 16, 2021|Clarendon|pepper|west indian red|-|-|-|-|-
January 16, 2021|Clarendon|pineapple|cow boy|-|-|-|-|-
January 16, 2021|Clarendon|pineapple|md 2|-|-|-|-|-
January 16, 2021|Clarendon|pineapple|sugar loaf|-|-|-|-|-
January 16, 2021|Clarendon|plantain|green|110|154|132|moderate|excellent
January 16, 2021|Clarendon|plantain|ripe|-|-|-|-|-
January 16, 2021|Clarendon|pumpkin|local|88|176|110|moderate|excellent
January 16, 2021|Clarendon|sorrel|local|286|440|330|moderate|excellent
January 16, 2021|Clarendon|string bean|local|154|198|176|moderate|excellent
January 16, 2021|Clarendon|sweet pepper (green)|green house (local)|-|-|-|-|-
January 16, 2021|Clarendon|sweet pepper (green)|local|440|1100|660|scarce|excellent
January 16, 2021|Clarendon|sweet pepper (red)|green house (local)|-|-|-|-|-
January 16, 2021|Clarendon|sweet pepper (red)|local|-|-|-|-|-
January 16, 2021|Clarendon|sweet pepper (yellow)|green house (local)|-|-|-|-|-
January 16, 2021|Clarendon|sweet pepper (yellow)|local|-|-|-|-|-
January 16, 2021|Clarendon|sweet potato|local|110|198|132|moderate|excellent
January 16, 2021|Clarendon|thyme|local|-|-|-|-|-
January 16, 2021|Clarendon|tomatoes(plummy)|local|176|264|220|moderate|excellent
January 16, 2021|Clarendon|tomatoes(salad)|local|264|448|440|moderate|excellent
January 16, 2021|Clarendon|watermelon|local|330|352|330|scarce|excellent
January 16, 2021|Clarendon|yam|negro|-|-|-|-|-
January 16, 2021|Clarendon|yam|sweet|330|352|330|scarce|excellent
January 16, 2021|Clarendon|yam|white (lucea)|-|-|-|-|-
January 16, 2021|Clarendon|yam|yellow|110|220|176|moderate|excellent
