date|parish|commodity|variety source|low|high|most frequent|supply|grade
January 16, 2021|Portland|broccoli|local|-|-|-|-|-
January 16, 2021|Portland|cabbage (green)|local|220|264|242|scarce|excellent
January 16, 2021|Portland|cabbage (red)|local|-|-|-|-|-
January 16, 2021|Portland|callaloo|shredded|-|-|-|-|-
January 16, 2021|Portland|callaloo|whole|176|220|198|scarce|excellent
January 16, 2021|Portland|cantaloupe|local|-|-|-|-|-
January 16, 2021|Portland|carrot|local|-|-|-|-|-
January 16, 2021|Portland|cauliflower|local|-|-|-|-|-
January 16, 2021|Portland|coco|local|286|354|320|scarce|excellent
January 16, 2021|Portland|cucumber|local|-|-|-|-|-
January 16, 2021|Portland|dasheen|local|220|330|275|scarce|excellent
January 16, 2021|Portland|escallion|local|440|550|495|scarce|excellent
January 16, 2021|Portland|ginger|local|-|-|-|-|-
January 16, 2021|Portland|green banana|local|66|77|71.5|moderate|excellent
January 16, 2021|Portland|gungo peas|dry|-|-|-|-|-
January 16, 2021|Portland|gungo peas|green|-|-|-|-|-
January 16, 2021|Portland|honeydew melon|local|-|-|-|-|-
January 16, 2021|Portland|irish potato|local|-|-|-|-|-
January 16, 2021|Portland|lettuce|iceberg (local)|-|-|-|-|-
January 16, 2021|Portland|lettuce|other|-|-|-|-|-
January 16, 2021|Portland|lettuce|romaine (local)|-|-|-|-|-
January 16, 2021|Portland|okra|local|-|-|-|-|-
January 16, 2021|Portland|onion|local|-|-|-|-|-
January 16, 2021|Portland|pak choi|local|330|440|385|scarce|excellent
January 16, 2021|Portland|papaya|local|154|176|165|scarce|excellent
January 16, 2021|Portland|pepper|scotch bonnet|220|440|330|scarce|excellent
January 16, 2021|Portland|pepper|west indian red|143|374|258.5|scarce|excellent
January 16, 2021|Portland|pineapple|cow boy|-|-|-|-|-
January 16, 2021|Portland|pineapple|md 2|176|220|198|scarce|excellent
January 16, 2021|Portland|pineapple|sugar loaf|176|220|198|scarce|excellent
January 16, 2021|Portland|plantain|green|110|132|121|scarce|excellent
January 16, 2021|Portland|plantain|ripe|176|220|198|scarce|excellent
January 16, 2021|Portland|pumpkin|local|110|132|121|scarce|excellent
January 16, 2021|Portland|sorrel|local|440|550|495|scarce|excellent
January 16, 2021|Portland|string bean|local|-|-|-|-|-
January 16, 2021|Portland|sweet pepper (green)|green house (local)|-|-|-|-|-
January 16, 2021|Portland|sweet pepper (green)|local|880|1320|1100|scarce|excellent
January 16, 2021|Portland|sweet pepper (red)|green house (local)|-|-|-|-|-
January 16, 2021|Portland|sweet pepper (red)|local|-|-|-|-|-
January 16, 2021|Portland|sweet pepper (yellow)|green house (local)|-|-|-|-|-
January 16, 2021|Portland|sweet pepper (yellow)|local|-|-|-|-|-
January 16, 2021|Portland|sweet potato|local|220|264|242|scarce|excellent
January 16, 2021|Portland|thyme|local|-|-|-|-|-
January 16, 2021|Portland|tomatoes(plummy)|local|-|-|-|-|-
January 16, 2021|Portland|tomatoes(salad)|local|-|-|-|-|-
January 16, 2021|Portland|watermelon|local|-|-|-|-|-
January 16, 2021|Portland|yam|negro|-|-|-|-|-
January 16, 2021|Portland|yam|sweet|-|-|-|-|-
January 16, 2021|Portland|yam|white (lucea)|220|440|330|scarce|excellent
January 16, 2021|Portland|yam|yellow|220|440|330|scarce|excellent
