date|parish|commodity|variety source|low|high|most frequent|supply|grade
January 16, 2021|St. Andrew|broccoli|local|880|880|880|fair|excellent
January 16, 2021|St. Andrew|cabbage (green)|local|66|110|110|fair|excellent
January 16, 2021|St. Andrew|cabbage (red)|local|-|-|-|-|-
January 16, 2021|St. Andrew|callaloo|shredded|-|-|-|-|-
January 16, 2021|St. Andrew|callaloo|whole|110|132|132|fair|excellent
January 16, 2021|St. Andrew|cantaloupe|local|-|-|-|-|-
January 16, 2021|St. Andrew|carrot|local|220|264|220|fair|excellent
January 16, 2021|St. Andrew|cauliflower|local|770|880|825|fair|excellent
January 16, 2021|St. Andrew|coco|local|-|-|-|-|-
January 16, 2021|St. Andrew|cucumber|local|-|-|-|-|-
January 16, 2021|St. Andrew|dasheen|local|-|-|-|-|-
January 16, 2021|St. Andrew|escallion|local|264|330|330|fair|excellent
January 16, 2021|St. Andrew|ginger|local|330|330|330|fair|excellent
January 16, 2021|St. Andrew|green banana|local|88|110|110|fair|excellent
January 16, 2021|St. Andrew|gungo peas|dry|-|-|-|-|-
January 16, 2021|St. Andrew|gungo peas|green|220|220|220|fair|excellent
January 16, 2021|St. Andrew|honeydew melon|local|-|-|-|-|-
January 16, 2021|St. Andrew|irish potato|local|-|-|-|-|-
January 16, 2021|St. Andrew|lettuce|iceberg (local)|176|220|220|fair|excellent
January 16, 2021|St. Andrew|lettuce|other|-|-|-|-|-
January 16, 2021|St. Andrew|lettuce|romaine (local)|-|-|-|-|-
January 16, 2021|St. Andrew|okra|local|-|-|-|-|-
January 16, 2021|St. Andrew|onion|local|-|-|-|-|-
January 16, 2021|St. Andrew|pak choi|local|-|-|-|-|-
January 16, 2021|St. Andrew|papaya|local|-|-|-|-|-
January 16, 2021|St. Andrew|pepper|scotch bonnet|1100|1320|1320|fair|excellent
January 16, 2021|St. Andrew|pepper|west indian red|-|-|-|-|-
January 16, 2021|St. Andrew|pineapple|cow boy|-|-|-|-|-
January 16, 2021|St. Andrew|pineapple|md 2|-|-|-|-|-
January 16, 2021|St. Andrew|pineapple|sugar loaf|-|-|-|-|-
January 16, 2021|St. Andrew|plantain|green|110|132|132|fair|excellent
January 16, 2021|St. Andrew|plantain|ripe|-|-|-|-|-
January 16, 2021|St. Andrew|pumpkin|local|110|132|110|fair|excellent
January 16, 2021|St. Andrew|sorrel|local|-|-|-|-|-
January 16, 2021|St. Andrew|string bean|local|220|264|220|fair|excellent
January 16, 2021|St. Andrew|sweet pepper (green)|green house (local)|-|-|-|-|-
January 16, 2021|St. Andrew|sweet pepper (green)|local|550|660|550|fair|excellent
January 16, 2021|St. Andrew|sweet pepper (red)|green house (local)|-|-|-|-|-
January 16, 2021|St. Andrew|sweet pepper (red)|local|-|-|-|-|-
January 16, 2021|St. Andrew|sweet pepper (yellow)|green house (local)|-|-|-|-|-
January 16, 2021|St. Andrew|sweet pepper (yellow)|local|-|-|-|-|-
January 16, 2021|St. Andrew|sweet potato|local|-|-|-|-|-
January 16, 2021|St. Andrew|thyme|local|880|880|880|fair|excellent
January 16, 2021|St. Andrew|tomatoes(plummy)|local|264|330|330|fair|excellent
January 16, 2021|St. Andrew|tomatoes(salad)|local|264|330|330|fair|excellent
January 16, 2021|St. Andrew|watermelon|local|-|-|-|-|-
January 16, 2021|St. Andrew|yam|negro|-|-|-|-|-
January 16, 2021|St. Andrew|yam|sweet|-|-|-|-|-
January 16, 2021|St. Andrew|yam|white (lucea)|-|-|-|-|-
January 16, 2021|St. Andrew|yam|yellow|132|132|132|fair|excellent
