date|parish|commodity|variety source|low|high|most frequent|supply|grade
January 16, 2021|St. Ann|broccoli|local|-|-|-|-|-
January 16, 2021|St. Ann|cabbage (green)|local|66|110|88|fair|excellent
January 16, 2021|St. Ann|cabbage (red)|local|-|-|-|-|-
January 16, 2021|St. Ann|callaloo|shredded|-|-|-|-|-
January 16, 2021|St. Ann|callaloo|whole|-|-|-|-|-
January 16, 2021|St. Ann|cantaloupe|local|-|-|-|-|-
January 16, 2021|St. Ann|carrot|local|176|308|220|moderate|excellent
January 16, 2021|St. Ann|cauliflower|local|-|-|-|-|-
January 16, 2021|St. Ann|coco|local|264|330|300.67|moderate|excellent
January 16, 2021|St. Ann|cucumber|local|-|-|-|-|-
January 16, 2021|St. Ann|dasheen|local|-|-|-|-|-
January 16, 2021|St. Ann|escallion|local|-|-|-|-|-
January 16, 2021|St. Ann|ginger|local|176|264|220|moderate|excellent
January 16, 2021|St. Ann|green banana|local|44|66|55|fair|excellent
January 16, 2021|St. Ann|gungo peas|dry|-|-|-|-|-
January 16, 2021|St. Ann|gungo peas|green|264|330|300.67|scarce|excellent
January 16, 2021|St. Ann|honeydew melon|local|-|-|-|-|-
January 16, 2021|St. Ann|irish potato|local|-|-|-|-|-
January 16, 2021|St. Ann|lettuce|iceberg (local)|77|110|99|fair|excellent
January 16, 2021|St. Ann|lettuce|other|-|-|-|-|-
January 16, 2021|St. Ann|lettuce|romaine (local)|220|330|286|scarce|excellent
January 16, 2021|St. Ann|okra|local|-|-|-|-|-
January 16, 2021|St. Ann|onion|local|-|-|-|-|-
January 16, 2021|St. Ann|pak choi|local|33|66|49.5|moderate|excellent
January 16, 2021|St. Ann|papaya|local|-|-|-|-|-
January 16, 2021|St. Ann|pepper|scotch bonnet|-|-|-|-|-
January 16, 2021|St. Ann|pepper|west indian red|220|330|297|scarce|excellent
January 16, 2021|St. Ann|pineapple|cow boy|-|-|-|-|-
January 16, 2021|St. Ann|pineapple|md 2|-|-|-|-|-
January 16, 2021|St. Ann|pineapple|sugar loaf|-|-|-|-|-
January 16, 2021|St. Ann|plantain|green|88|110|99|moderate|excellent
January 16, 2021|St. Ann|plantain|ripe|110|154|132|moderate|excellent
January 16, 2021|St. Ann|pumpkin|local|110|154|154|scarce|excellent
January 16, 2021|St. Ann|sorrel|local|-|-|-|-|-
January 16, 2021|St. Ann|string bean|local|154|220|183.33|moderate|excellent
January 16, 2021|St. Ann|sweet pepper (green)|green house (local)|440|660|550|scarce|excellent
January 16, 2021|St. Ann|sweet pepper (green)|local|330|440|330|moderate|excellent
January 16, 2021|St. Ann|sweet pepper (red)|green house (local)|-|-|-|-|-
January 16, 2021|St. Ann|sweet pepper (red)|local|-|-|-|-|-
January 16, 2021|St. Ann|sweet pepper (yellow)|green house (local)|-|-|-|-|-
January 16, 2021|St. Ann|sweet pepper (yellow)|local|-|-|-|-|-
January 16, 2021|St. Ann|sweet potato|local|110|176|143|moderate|excellent
January 16, 2021|St. Ann|thyme|local|-|-|-|-|-
January 16, 2021|St. Ann|tomatoes(plummy)|local|-|-|-|-|-
January 16, 2021|St. Ann|tomatoes(salad)|local|-|-|-|-|-
January 16, 2021|St. Ann|watermelon|local|-|-|-|-|-
January 16, 2021|St. Ann|yam|negro|-|-|-|-|-
January 16, 2021|St. Ann|yam|sweet|352|550|447.33|moderate|excellent
January 16, 2021|St. Ann|yam|white (lucea)|-|-|-|-|-
January 16, 2021|St. Ann|yam|yellow|110|176|143|moderate|excellent
