date|parish|commodity|variety source|low|high|most frequent|supply|grade
January 16, 2021|St. Mary|broccoli|local|-|-|-|-|-
January 16, 2021|St. Mary|cabbage (green)|local|132|154|154|moderate|excellent
January 16, 2021|St. Mary|cabbage (red)|local|-|-|-|-|-
January 16, 2021|St. Mary|callaloo|shredded|-|-|-|-|-
January 16, 2021|St. Mary|callaloo|whole|-|-|-|-|-
January 16, 2021|St. Mary|cantaloupe|local|-|-|-|-|-
January 16, 2021|St. Mary|carrot|local|-|-|-|-|-
January 16, 2021|St. Mary|cauliflower|local|-|-|-|-|-
January 16, 2021|St. Mary|coco|local|-|-|-|-|-
January 16, 2021|St. Mary|cucumber|local|110|176|132|scarce|excellent
January 16, 2021|St. Mary|dasheen|local|286|330|308|scarce|excellent
January 16, 2021|St. Mary|escallion|local|-|-|-|-|-
January 16, 2021|St. Mary|ginger|local|-|-|-|-|-
January 16, 2021|St. Mary|green banana|local|44|88|66|moderate|excellent
January 16, 2021|St. Mary|gungo peas|dry|-|-|-|-|-
January 16, 2021|St. Mary|gungo peas|green|-|-|-|-|-
January 16, 2021|St. Mary|honeydew melon|local|-|-|-|-|-
January 16, 2021|St. Mary|irish potato|local|-|-|-|-|-
January 16, 2021|St. Mary|lettuce|iceberg (local)|154|176|165|moderate|excellent
January 16, 2021|St. Mary|lettuce|other|-|-|-|-|-
January 16, 2021|St. Mary|lettuce|romaine (local)|-|-|-|-|-
January 16, 2021|St. Mary|okra|local|-|-|-|-|-
January 16, 2021|St. Mary|onion|local|-|-|-|-|-
January 16, 2021|St. Mary|pak choi|local|110|154|110|scarce|excellent
January 16, 2021|St. Mary|papaya|local|132|154|143|moderate|excellent
January 16, 2021|St. Mary|pepper|scotch bonnet|660|880|880|scarce|excellent
January 16, 2021|St. Mary|pepper|west indian red|220|550|330|moderate|excellent
January 16, 2021|St. Mary|pineapple|cow boy|-|-|-|-|-
January 16, 2021|St. Mary|pineapple|md 2|220|220|220|fair|excellent
January 16, 2021|St. Mary|pineapple|sugar loaf|-|-|-|-|-
January 16, 2021|St. Mary|plantain|green|88|110|99|moderate|excellent
January 16, 2021|St. Mary|plantain|ripe|-|-|-|-|-
January 16, 2021|St. Mary|pumpkin|local|88|132|88|scarce|excellent
January 16, 2021|St. Mary|sorrel|local|-|-|-|-|-
January 16, 2021|St. Mary|string bean|local|-|-|-|-|-
January 16, 2021|St. Mary|sweet pepper (green)|green house (local)|-|-|-|-|-
January 16, 2021|St. Mary|sweet pepper (green)|local|550|770|660|scarce|excellent
January 16, 2021|St. Mary|sweet pepper (red)|green house (local)|-|-|-|-|-
January 16, 2021|St. Mary|sweet pepper (red)|local|-|-|-|-|-
January 16, 2021|St. Mary|sweet pepper (yellow)|green house (local)|-|-|-|-|-
January 16, 2021|St. Mary|sweet pepper (yellow)|local|-|-|-|-|-
January 16, 2021|St. Mary|sweet potato|local|154|220|220|moderate|excellent
January 16, 2021|St. Mary|thyme|local|-|-|-|-|-
January 16, 2021|St. Mary|tomatoes(plummy)|local|220|264|220|scarce|excellent
January 16, 2021|St. Mary|tomatoes(salad)|local|-|-|-|-|-
January 16, 2021|St. Mary|watermelon|local|-|-|-|-|-
January 16, 2021|St. Mary|yam|negro|-|-|-|-|-
January 16, 2021|St. Mary|yam|sweet|-|-|-|-|-
January 16, 2021|St. Mary|yam|white (lucea)|-|-|-|-|-
January 16, 2021|St. Mary|yam|yellow|176|176|176|scarce|excellent
