date|parish|commodity|variety source|low|high|most frequent|supply|grade
January 16, 2021|St. Thomas|broccoli|local|-|-|-|-|-
January 16, 2021|St. Thomas|cabbage (green)|local|132|176|154|scarce|excellent
January 16, 2021|St. Thomas|cabbage (red)|local|-|-|-|-|-
January 16, 2021|St. Thomas|callaloo|shredded|-|-|-|-|-
January 16, 2021|St. Thomas|callaloo|whole|110|220|154|moderate|excellent
January 16, 2021|St. Thomas|cantaloupe|local|-|-|-|-|-
January 16, 2021|St. Thomas|carrot|local|287|330|308.33|moderate|excellent
January 16, 2021|St. Thomas|cauliflower|local|-|-|-|-|-
January 16, 2021|St. Thomas|coco|local|176|330|300.67|scarce|excellent
January 16, 2021|St. Thomas|cucumber|local|77|132|99|moderate|excellent
January 16, 2021|St. Thomas|dasheen|local|-|-|-|-|-
January 16, 2021|St. Thomas|escallion|local|132|176|154|fair|excellent
January 16, 2021|St. Thomas|ginger|local|220|330|264|moderate|excellent
January 16, 2021|St. Thomas|green banana|local|55|110|77|moderate|excellent
January 16, 2021|St. Thomas|gungo peas|dry|-|-|-|-|-
January 16, 2021|St. Thomas|gungo peas|green|220|550|330|moderate|excellent
January 16, 2021|St. Thomas|honeydew melon|local|-|-|-|-|-
January 16, 2021|St. Thomas|irish potato|local|-|-|-|-|-
January 16, 2021|St. Thomas|lettuce|iceberg (local)|110|154|132|moderate|excellent
January 16, 2021|St. Thomas|lettuce|other|-|-|-|-|-
January 16, 2021|St. Thomas|lettuce|romaine (local)|-|-|-|-|-
January 16, 2021|St. Thomas|okra|local|110|264|110|moderate|excellent
January 16, 2021|St. Thomas|onion|local|-|-|-|-|-
January 16, 2021|St. Thomas|pak choi|local|176|220|198|moderate|excellent
January 16, 2021|St. Thomas|papaya|local|264|330|300.67|moderate|excellent
January 16, 2021|St. Thomas|pepper|scotch bonnet|440|1320|770|scarce|excellent
January 16, 2021|St. Thomas|pepper|west indian red|-|-|-|-|-
January 16, 2021|St. Thomas|pineapple|cow boy|-|-|-|-|-
January 16, 2021|St. Thomas|pineapple|md 2|-|-|-|-|-
January 16, 2021|St. Thomas|pineapple|sugar loaf|-|-|-|-|-
January 16, 2021|St. Thomas|plantain|green|66|132|110|moderate|excellent
January 16, 2021|St. Thomas|plantain|ripe|220|264|264|moderate|excellent
January 16, 2021|St. Thomas|pumpkin|local|88|220|154|scarce|excellent
January 16, 2021|St. Thomas|sorrel|local|308|440|330|moderate|excellent
January 16, 2021|St. Thomas|string bean|local|440|550|440|scarce|excellent
January 16, 2021|St. Thomas|sweet pepper (green)|green house (local)|550|660|550|moderate|excellent
January 16, 2021|St. Thomas|sweet pepper (green)|local|330|440|388.67|scarce|excellent
January 16, 2021|St. Thomas|sweet pepper (red)|green house (local)|-|-|-|-|-
January 16, 2021|St. Thomas|sweet pepper (red)|local|-|-|-|-|-
January 16, 2021|St. Thomas|sweet pepper (yellow)|green house (local)|-|-|-|-|-
January 16, 2021|St. Thomas|sweet pepper (yellow)|local|-|-|-|-|-
January 16, 2021|St. Thomas|sweet potato|local|154|330|176|moderate|excellent
January 16, 2021|St. Thomas|thyme|local|440|660|550|moderate|excellent
January 16, 2021|St. Thomas|tomatoes(plummy)|local|220|440|300.67|scarce|excellent
January 16, 2021|St. Thomas|tomatoes(salad)|local|-|-|-|-|-
January 16, 2021|St. Thomas|watermelon|local|-|-|-|-|-
January 16, 2021|St. Thomas|yam|negro|-|-|-|-|-
January 16, 2021|St. Thomas|yam|sweet|-|-|-|-|-
January 16, 2021|St. Thomas|yam|white (lucea)|-|-|-|-|-
January 16, 2021|St. Thomas|yam|yellow|176|220|198|moderate|excellent
