date|parish|commodity|variety source|low|high|most frequent|supply|grade
august_07_2021|Hanover|broccoli|local|-|-|-|-|-
august_07_2021|Hanover|cabbage (green)|local|110|154|132|moderate|excellent
august_07_2021|Hanover|cabbage (red)|local|-|-|-|-|-
august_07_2021|Hanover|callaloo|shredded|-|-|-|-|-
august_07_2021|Hanover|callaloo|whole|88|110|110|moderate|excellent
august_07_2021|Hanover|cantaloupe|local|-|-|-|-|-
august_07_2021|Hanover|carrot|local|308|396|330|moderate|excellent
august_07_2021|Hanover|cauliflower|local|-|-|-|-|-
august_07_2021|Hanover|coco|local|198|264|220|moderate|excellent
august_07_2021|Hanover|cucumber|local|110|132|110|moderate|excellent
august_07_2021|Hanover|dasheen|local|154|220|176|moderate|excellent
august_07_2021|Hanover|escallion|local|-|-|-|-|-
august_07_2021|Hanover|ginger|local|330|550|440|moderate|excellent
august_07_2021|Hanover|green banana|local|110|154|132|moderate|excellent
august_07_2021|Hanover|gungo peas|dry|-|-|-|-|-
august_07_2021|Hanover|gungo peas|green|-|-|-|-|-
august_07_2021|Hanover|honeydew melon|local|-|-|-|-|-
august_07_2021|Hanover|irish potato|local|-|-|-|-|-
august_07_2021|Hanover|lettuce|iceberg (local)|-|-|-|-|-
august_07_2021|Hanover|lettuce|other|-|-|-|-|-
august_07_2021|Hanover|lettuce|romaine (local)|-|-|-|-|-
august_07_2021|Hanover|okra|local|198|264|220|moderate|excellent
august_07_2021|Hanover|onion|local|-|-|-|-|-
august_07_2021|Hanover|pak choi|local|110|176|110|moderate|excellent
august_07_2021|Hanover|papaya|local|-|-|-|-|-
august_07_2021|Hanover|pepper|scotch bonnet|308|550|440|moderate|excellent
august_07_2021|Hanover|pepper|west indian red|154|220|176|moderate|excellent
august_07_2021|Hanover|pineapple|cow boy|110|132|110|moderate|excellent
august_07_2021|Hanover|pineapple|md 2|-|-|-|-|-
august_07_2021|Hanover|pineapple|sugar loaf|-|-|-|-|-
august_07_2021|Hanover|plantain|green|110|176|154|moderate|excellent
august_07_2021|Hanover|plantain|ripe|-|-|-|-|-
august_07_2021|Hanover|pumpkin|local|88|110|110|moderate|excellent
august_07_2021|Hanover|sorrel|local|-|-|-|-|-
august_07_2021|Hanover|string bean|local|264|352|330|moderate|excellent
august_07_2021|Hanover|sweet pepper (green)|green house (local)|-|-|-|-|-
august_07_2021|Hanover|sweet pepper (green)|local|154|220|176|moderate|excellent
august_07_2021|Hanover|sweet pepper (red)|green house (local)|-|-|-|-|-
august_07_2021|Hanover|sweet pepper (red)|local|-|-|-|-|-
august_07_2021|Hanover|sweet pepper (yellow)|green house (local)|-|-|-|-|-
august_07_2021|Hanover|sweet pepper (yellow)|local|-|-|-|-|-
august_07_2021|Hanover|sweet potato|local|176|264|220|moderate|excellent
august_07_2021|Hanover|thyme|local|-|-|-|-|-
august_07_2021|Hanover|tomatoes(plummy)|local|110|132|110|moderate|excellent
august_07_2021|Hanover|tomatoes(salad)|local|154|176|154|moderate|excellent
august_07_2021|Hanover|watermelon|local|-|-|-|-|-
august_07_2021|Hanover|yam|negro|-|-|-|-|-
august_07_2021|Hanover|yam|sweet|-|-|-|-|-
august_07_2021|Hanover|yam|white (lucea)|330|550|440|moderate|excellent
august_07_2021|Hanover|yam|yellow|330|550|385|moderate|excellent
