date|parish|commodity|variety source|low|high|most frequent|supply|grade
august_07_2021|Portland|broccoli|local|-|-|-|-|-
august_07_2021|Portland|cabbage (green)|local|176|220|198|scarce|good
august_07_2021|Portland|cabbage (red)|local|-|-|-|-|-
august_07_2021|Portland|callaloo|shredded|-|-|-|-|-
august_07_2021|Portland|callaloo|whole|176|220|198|scarce|excellent
august_07_2021|Portland|cantaloupe|local|-|-|-|-|-
august_07_2021|Portland|carrot|local|176|220|198|moderate|excellent
august_07_2021|Portland|cauliflower|local|-|-|-|-|-
august_07_2021|Portland|coco|local|264|396|330|moderate|excellent
august_07_2021|Portland|cucumber|local|-|-|-|-|-
august_07_2021|Portland|dasheen|local|264|396|330|moderate|excellent
august_07_2021|Portland|escallion|local|440|550|495|scarce|good
august_07_2021|Portland|ginger|local|440|550|495|scarce|excellent
august_07_2021|Portland|green banana|local|66|88|77|fair|excellent
august_07_2021|Portland|gungo peas|dry|-|-|-|-|-
august_07_2021|Portland|gungo peas|green|-|-|-|-|-
august_07_2021|Portland|honeydew melon|local|-|-|-|-|-
august_07_2021|Portland|irish potato|local|-|-|-|-|-
august_07_2021|Portland|lettuce|iceberg (local)|-|-|-|-|-
august_07_2021|Portland|lettuce|other|-|-|-|-|-
august_07_2021|Portland|lettuce|romaine (local)|-|-|-|-|-
august_07_2021|Portland|okra|local|-|-|-|-|-
august_07_2021|Portland|onion|local|-|-|-|-|-
august_07_2021|Portland|pak choi|local|154|176|165|scarce|excellent
august_07_2021|Portland|papaya|local|110|220|220|moderate|excellent
august_07_2021|Portland|pepper|scotch bonnet|176|220|198|scarce|excellent
august_07_2021|Portland|pepper|west indian red|132|176|154|scarce|excellent
august_07_2021|Portland|pineapple|cow boy|176|220|198|scarce|excellent
august_07_2021|Portland|pineapple|md 2|176|220|198|scarce|excellent
august_07_2021|Portland|pineapple|sugar loaf|176|220|198|moderate|excellent
august_07_2021|Portland|plantain|green|110|132|121|fair|excellent
august_07_2021|Portland|plantain|ripe|176|220|198|moderate|excellent
august_07_2021|Portland|pumpkin|local|176|220|198|scarce|excellent
august_07_2021|Portland|sorrel|local|-|-|-|-|-
august_07_2021|Portland|string bean|local|-|-|-|-|-
august_07_2021|Portland|sweet pepper (green)|green house (local)|-|-|-|-|-
august_07_2021|Portland|sweet pepper (green)|local|330|440|385|scarce|good
august_07_2021|Portland|sweet pepper (red)|green house (local)|-|-|-|-|-
august_07_2021|Portland|sweet pepper (red)|local|-|-|-|-|-
august_07_2021|Portland|sweet pepper (yellow)|green house (local)|-|-|-|-|-
august_07_2021|Portland|sweet pepper (yellow)|local|-|-|-|-|-
august_07_2021|Portland|sweet potato|local|220|264|242|moderate|excellent
august_07_2021|Portland|thyme|local|-|-|-|-|-
august_07_2021|Portland|tomatoes(plummy)|local|176|264|220|scarce|excellent
august_07_2021|Portland|tomatoes(salad)|local|-|-|-|-|-
august_07_2021|Portland|watermelon|local|-|-|-|-|-
august_07_2021|Portland|yam|negro|-|-|-|-|-
august_07_2021|Portland|yam|sweet|-|-|-|-|-
august_07_2021|Portland|yam|white (lucea)|-|-|-|-|-
august_07_2021|Portland|yam|yellow|440|550|495|moderate|excellent
