date|parish|commodity|variety source|low|high|most frequent|supply|grade
august_07_2021|St. Andrew|broccoli|local|1100|1100|1100|fair|excellent
august_07_2021|St. Andrew|cabbage (green)|local|88|132|132|fair|excellent
august_07_2021|St. Andrew|cabbage (red)|local|-|-|-|-|-
august_07_2021|St. Andrew|callaloo|shredded|-|-|-|-|-
august_07_2021|St. Andrew|callaloo|whole|132|132|132|fair|excellent
august_07_2021|St. Andrew|cantaloupe|local|-|-|-|-|-
august_07_2021|St. Andrew|carrot|local|66|88|88|fair|excellent
august_07_2021|St. Andrew|cauliflower|local|660|660|660|fair|excellent
august_07_2021|St. Andrew|coco|local|-|-|-|-|-
august_07_2021|St. Andrew|cucumber|local|88|88|88|fair|excellent
august_07_2021|St. Andrew|dasheen|local|-|-|-|-|-
august_07_2021|St. Andrew|escallion|local|220|220|220|fair|excellent
august_07_2021|St. Andrew|ginger|local|-|-|-|-|-
august_07_2021|St. Andrew|green banana|local|132|132|132|fair|excellent
august_07_2021|St. Andrew|gungo peas|dry|-|-|-|-|-
august_07_2021|St. Andrew|gungo peas|green|-|-|-|-|-
august_07_2021|St. Andrew|honeydew melon|local|-|-|-|-|-
august_07_2021|St. Andrew|irish potato|local|264|308|308|fair|excellent
august_07_2021|St. Andrew|lettuce|iceberg (local)|-|-|-|-|-
august_07_2021|St. Andrew|lettuce|other|-|-|-|-|-
august_07_2021|St. Andrew|lettuce|romaine (local)|-|-|-|-|-
august_07_2021|St. Andrew|okra|local|-|-|-|-|-
august_07_2021|St. Andrew|onion|local|-|-|-|-|-
august_07_2021|St. Andrew|pak choi|local|-|-|-|-|-
august_07_2021|St. Andrew|papaya|local|-|-|-|-|-
august_07_2021|St. Andrew|pepper|scotch bonnet|-|-|-|-|-
august_07_2021|St. Andrew|pepper|west indian red|-|-|-|-|-
august_07_2021|St. Andrew|pineapple|cow boy|-|-|-|-|-
august_07_2021|St. Andrew|pineapple|md 2|-|-|-|-|-
august_07_2021|St. Andrew|pineapple|sugar loaf|110|110|110|fair|excellent
august_07_2021|St. Andrew|plantain|green|132|154|154|fair|excellent
august_07_2021|St. Andrew|plantain|ripe|-|-|-|-|-
august_07_2021|St. Andrew|pumpkin|local|110|110|110|fair|excellent
august_07_2021|St. Andrew|sorrel|local|264|264|264|fair|excellent
august_07_2021|St. Andrew|string bean|local|-|-|-|-|-
august_07_2021|St. Andrew|sweet pepper (green)|green house (local)|-|-|-|-|-
august_07_2021|St. Andrew|sweet pepper (green)|local|550|550|550|fair|excellent
august_07_2021|St. Andrew|sweet pepper (red)|green house (local)|-|-|-|-|-
august_07_2021|St. Andrew|sweet pepper (red)|local|-|-|-|-|-
august_07_2021|St. Andrew|sweet pepper (yellow)|green house (local)|-|-|-|-|-
august_07_2021|St. Andrew|sweet pepper (yellow)|local|-|-|-|-|-
august_07_2021|St. Andrew|sweet potato|local|-|-|-|-|-
august_07_2021|St. Andrew|thyme|local|660|660|660|fair|excellent
august_07_2021|St. Andrew|tomatoes(plummy)|local|110|132|110|fair|excellent
august_07_2021|St. Andrew|tomatoes(salad)|local|220|264|220|fair|excellent
august_07_2021|St. Andrew|watermelon|local|-|-|-|-|-
august_07_2021|St. Andrew|yam|negro|-|-|-|-|-
august_07_2021|St. Andrew|yam|sweet|-|-|-|-|-
august_07_2021|St. Andrew|yam|white (lucea)|-|-|-|-|-
august_07_2021|St. Andrew|yam|yellow|-|-|-|-|-
