date|parish|commodity|variety source|low|high|most frequent|supply|grade
august_07_2021|St. Ann|broccoli|local|-|-|-|-|-
august_07_2021|St. Ann|cabbage (green)|local|88|110|99|moderate|excellent
august_07_2021|St. Ann|cabbage (red)|local|-|-|-|-|-
august_07_2021|St. Ann|callaloo|shredded|-|-|-|-|-
august_07_2021|St. Ann|callaloo|whole|-|-|-|-|-
august_07_2021|St. Ann|cantaloupe|local|-|-|-|-|-
august_07_2021|St. Ann|carrot|local|77|110|91.67|moderate|excellent
august_07_2021|St. Ann|cauliflower|local|-|-|-|-|-
august_07_2021|St. Ann|coco|local|-|-|-|-|-
august_07_2021|St. Ann|cucumber|local|-|-|-|-|-
august_07_2021|St. Ann|dasheen|local|-|-|-|-|-
august_07_2021|St. Ann|escallion|local|-|-|-|-|-
august_07_2021|St. Ann|ginger|local|-|-|-|-|-
august_07_2021|St. Ann|green banana|local|44|66|55|fair|excellent
august_07_2021|St. Ann|gungo peas|dry|-|-|-|-|-
august_07_2021|St. Ann|gungo peas|green|-|-|-|-|-
august_07_2021|St. Ann|honeydew melon|local|-|-|-|-|-
august_07_2021|St. Ann|irish potato|local|-|-|-|-|-
august_07_2021|St. Ann|lettuce|iceberg (local)|330|440|388.67|moderate|excellent
august_07_2021|St. Ann|lettuce|other|-|-|-|-|-
august_07_2021|St. Ann|lettuce|romaine (local)|440|550|550|scarce|excellent
august_07_2021|St. Ann|okra|local|-|-|-|-|-
august_07_2021|St. Ann|onion|local|-|-|-|-|-
august_07_2021|St. Ann|pak choi|local|44|55|44|good|excellent
august_07_2021|St. Ann|papaya|local|-|-|-|-|-
august_07_2021|St. Ann|pepper|scotch bonnet|220|308|275|moderate|excellent
august_07_2021|St. Ann|pepper|west indian red|132|176|154|fair|excellent
august_07_2021|St. Ann|pineapple|cow boy|-|-|-|-|-
august_07_2021|St. Ann|pineapple|md 2|-|-|-|-|-
august_07_2021|St. Ann|pineapple|sugar loaf|-|-|-|-|-
august_07_2021|St. Ann|plantain|green|110|132|121|moderate|excellent
august_07_2021|St. Ann|plantain|ripe|-|-|-|-|-
august_07_2021|St. Ann|pumpkin|local|66|99|82.5|moderate|excellent
august_07_2021|St. Ann|sorrel|local|-|-|-|-|-
august_07_2021|St. Ann|string bean|local|-|-|-|-|-
august_07_2021|St. Ann|sweet pepper (green)|green house (local)|176|220|176|moderate|excellent
august_07_2021|St. Ann|sweet pepper (green)|local|220|286|256.67|moderate|excellent
august_07_2021|St. Ann|sweet pepper (red)|green house (local)|330|396|366.67|moderate|excellent
august_07_2021|St. Ann|sweet pepper (red)|local|-|-|-|-|-
august_07_2021|St. Ann|sweet pepper (yellow)|green house (local)|-|-|-|-|-
august_07_2021|St. Ann|sweet pepper (yellow)|local|-|-|-|-|-
august_07_2021|St. Ann|sweet potato|local|110|154|121|moderate|excellent
august_07_2021|St. Ann|thyme|local|-|-|-|-|-
august_07_2021|St. Ann|tomatoes(plummy)|local|99|110|110|moderate|excellent
august_07_2021|St. Ann|tomatoes(salad)|local|-|-|-|-|-
august_07_2021|St. Ann|watermelon|local|-|-|-|-|-
august_07_2021|St. Ann|yam|negro|-|-|-|-|-
august_07_2021|St. Ann|yam|sweet|-|-|-|-|-
august_07_2021|St. Ann|yam|white (lucea)|-|-|-|-|-
august_07_2021|St. Ann|yam|yellow|396|550|462|moderate|excellent
