date|parish|commodity|variety source|low|high|most frequent|supply|grade
august_07_2021|St. Catherine|broccoli|local|-|-|-|-|-
august_07_2021|St. Catherine|cabbage (green)|local|66|176|127.6|moderate|excellent
august_07_2021|St. Catherine|cabbage (red)|local|-|-|-|-|-
august_07_2021|St. Catherine|callaloo|shredded|-|-|-|-|-
august_07_2021|St. Catherine|callaloo|whole|44|55|49.5|moderate|excellent
august_07_2021|St. Catherine|cantaloupe|local|-|-|-|-|-
august_07_2021|St. Catherine|carrot|local|-|-|-|-|-
august_07_2021|St. Catherine|cauliflower|local|-|-|-|-|-
august_07_2021|St. Catherine|coco|local|-|-|-|-|-
august_07_2021|St. Catherine|cucumber|local|33|60|44|moderate|excellent
august_07_2021|St. Catherine|dasheen|local|176|220|198|moderate|excellent
august_07_2021|St. Catherine|escallion|local|-|-|-|-|-
august_07_2021|St. Catherine|ginger|local|-|-|-|-|-
august_07_2021|St. Catherine|green banana|local|68.2|68.2|68.2|moderate|excellent
august_07_2021|St. Catherine|gungo peas|dry|-|-|-|-|-
august_07_2021|St. Catherine|gungo peas|green|-|-|-|-|-
august_07_2021|St. Catherine|honeydew melon|local|-|-|-|-|-
august_07_2021|St. Catherine|irish potato|local|-|-|-|-|-
august_07_2021|St. Catherine|lettuce|iceberg (local)|-|-|-|-|-
august_07_2021|St. Catherine|lettuce|other|-|-|-|-|-
august_07_2021|St. Catherine|lettuce|romaine (local)|-|-|-|-|-
august_07_2021|St. Catherine|okra|local|88|110|110|moderate|excellent
august_07_2021|St. Catherine|onion|local|-|-|-|-|-
august_07_2021|St. Catherine|pak choi|local|-|-|-|-|-
august_07_2021|St. Catherine|papaya|local|-|-|-|-|-
august_07_2021|St. Catherine|pepper|scotch bonnet|176|330|220|scarce|excellent
august_07_2021|St. Catherine|pepper|west indian red|132|154|132|scarce|excellent
august_07_2021|St. Catherine|pineapple|cow boy|-|-|-|-|-
august_07_2021|St. Catherine|pineapple|md 2|-|-|-|-|-
august_07_2021|St. Catherine|pineapple|sugar loaf|220|220|220|scarce|excellent
august_07_2021|St. Catherine|plantain|green|176|290|233|fair|excellent
august_07_2021|St. Catherine|plantain|ripe|-|-|-|-|-
august_07_2021|St. Catherine|pumpkin|local|66|110|88|moderate|excellent
august_07_2021|St. Catherine|sorrel|local|-|-|-|-|-
august_07_2021|St. Catherine|string bean|local|-|-|-|-|-
august_07_2021|St. Catherine|sweet pepper (green)|green house (local)|-|-|-|-|-
august_07_2021|St. Catherine|sweet pepper (green)|local|132|220|176|scarce|excellent
august_07_2021|St. Catherine|sweet pepper (red)|green house (local)|-|-|-|-|-
august_07_2021|St. Catherine|sweet pepper (red)|local|-|-|-|-|-
august_07_2021|St. Catherine|sweet pepper (yellow)|green house (local)|-|-|-|-|-
august_07_2021|St. Catherine|sweet pepper (yellow)|local|-|-|-|-|-
august_07_2021|St. Catherine|sweet potato|local|88|176|110|moderate|excellent
august_07_2021|St. Catherine|thyme|local|-|-|-|-|-
august_07_2021|St. Catherine|tomatoes(plummy)|local|176|220|198|moderate|excellent
august_07_2021|St. Catherine|tomatoes(salad)|local|-|-|-|-|-
august_07_2021|St. Catherine|watermelon|local|-|-|-|-|-
august_07_2021|St. Catherine|yam|negro|330|330|330|scarce|excellent
august_07_2021|St. Catherine|yam|sweet|-|-|-|-|-
august_07_2021|St. Catherine|yam|white (lucea)|-|-|-|-|-
august_07_2021|St. Catherine|yam|yellow|330|396|330|scarce|excellent
