date|parish|commodity|variety source|low|high|most frequent|supply|grade
august_07_2021|St. Elizabeth|broccoli|local|550|770|660|moderate|excellent
august_07_2021|St. Elizabeth|cabbage (green)|local|154|176|165|moderate|excellent
august_07_2021|St. Elizabeth|cabbage (red)|local|-|-|-|-|-
august_07_2021|St. Elizabeth|callaloo|shredded|-|-|-|-|-
august_07_2021|St. Elizabeth|callaloo|whole|-|-|-|-|-
august_07_2021|St. Elizabeth|cantaloupe|local|154|176|165|moderate|excellent
august_07_2021|St. Elizabeth|carrot|local|110|132|121|moderate|excellent
august_07_2021|St. Elizabeth|cauliflower|local|286|330|308|moderate|excellent
august_07_2021|St. Elizabeth|coco|local|-|-|-|-|-
august_07_2021|St. Elizabeth|cucumber|local|66|88|77|moderate|excellent
august_07_2021|St. Elizabeth|dasheen|local|-|-|-|-|-
august_07_2021|St. Elizabeth|escallion|local|110|154|121|moderate|excellent
august_07_2021|St. Elizabeth|ginger|local|-|-|-|-|-
august_07_2021|St. Elizabeth|green banana|local|66|77|71.5|moderate|excellent
august_07_2021|St. Elizabeth|gungo peas|dry|-|-|-|-|-
august_07_2021|St. Elizabeth|gungo peas|green|-|-|-|-|-
august_07_2021|St. Elizabeth|honeydew melon|local|-|-|-|-|-
august_07_2021|St. Elizabeth|irish potato|local|-|-|-|-|-
august_07_2021|St. Elizabeth|lettuce|iceberg (local)|440|550|495|moderate|excellent
august_07_2021|St. Elizabeth|lettuce|other|-|-|-|-|-
august_07_2021|St. Elizabeth|lettuce|romaine (local)|-|-|-|-|-
august_07_2021|St. Elizabeth|okra|local|-|-|-|-|-
august_07_2021|St. Elizabeth|onion|local|-|-|-|-|-
august_07_2021|St. Elizabeth|pak choi|local|-|-|-|-|-
august_07_2021|St. Elizabeth|papaya|local|132|154|143|moderate|excellent
august_07_2021|St. Elizabeth|pepper|scotch bonnet|220|264|242|moderate|excellent
august_07_2021|St. Elizabeth|pepper|west indian red|143|154|148.5|moderate|excellent
august_07_2021|St. Elizabeth|pineapple|cow boy|132|154|143|moderate|excellent
august_07_2021|St. Elizabeth|pineapple|md 2|176|198|187|moderate|excellent
august_07_2021|St. Elizabeth|pineapple|sugar loaf|-|-|-|-|-
august_07_2021|St. Elizabeth|plantain|green|110|154|132|moderate|excellent
august_07_2021|St. Elizabeth|plantain|ripe|-|-|-|-|-
august_07_2021|St. Elizabeth|pumpkin|local|66|88|77|moderate|excellent
august_07_2021|St. Elizabeth|sorrel|local|-|-|-|-|-
august_07_2021|St. Elizabeth|string bean|local|-|-|-|-|-
august_07_2021|St. Elizabeth|sweet pepper (green)|green house (local)|-|-|-|-|-
august_07_2021|St. Elizabeth|sweet pepper (green)|local|198|264|220|moderate|excellent
august_07_2021|St. Elizabeth|sweet pepper (red)|green house (local)|-|-|-|-|-
august_07_2021|St. Elizabeth|sweet pepper (red)|local|-|-|-|-|-
august_07_2021|St. Elizabeth|sweet pepper (yellow)|green house (local)|-|-|-|-|-
august_07_2021|St. Elizabeth|sweet pepper (yellow)|local|-|-|-|-|-
august_07_2021|St. Elizabeth|sweet potato|local|132|176|165|moderate|excellent
august_07_2021|St. Elizabeth|thyme|local|440|550|495|moderate|excellent
august_07_2021|St. Elizabeth|tomatoes(plummy)|local|110|132|121|moderate|excellent
august_07_2021|St. Elizabeth|tomatoes(salad)|local|286|308|297|moderate|excellent
august_07_2021|St. Elizabeth|watermelon|local|110|154|132|moderate|excellent
august_07_2021|St. Elizabeth|yam|negro|-|-|-|-|-
august_07_2021|St. Elizabeth|yam|sweet|-|-|-|-|-
august_07_2021|St. Elizabeth|yam|white (lucea)|-|-|-|-|-
august_07_2021|St. Elizabeth|yam|yellow|-|-|-|-|-
