date|parish|commodity|variety source|low|high|most frequent|supply|grade
august_07_2021|St. James|broccoli|local|-|-|-|-|-
august_07_2021|St. James|cabbage (green)|local|154|154|154|moderate|excellent
august_07_2021|St. James|cabbage (red)|local|-|-|-|-|-
august_07_2021|St. James|callaloo|shredded|-|-|-|-|-
august_07_2021|St. James|callaloo|whole|77|132|110|moderate|excellent
august_07_2021|St. James|cantaloupe|local|-|-|-|-|-
august_07_2021|St. James|carrot|local|-|-|-|-|-
august_07_2021|St. James|cauliflower|local|-|-|-|-|-
august_07_2021|St. James|coco|local|-|-|-|-|-
august_07_2021|St. James|cucumber|local|-|-|-|-|-
august_07_2021|St. James|dasheen|local|330|330|330|scarce|excellent
august_07_2021|St. James|escallion|local|-|-|-|-|-
august_07_2021|St. James|ginger|local|-|-|-|-|-
august_07_2021|St. James|green banana|local|55|77|66|fair|excellent
august_07_2021|St. James|gungo peas|dry|-|-|-|-|-
august_07_2021|St. James|gungo peas|green|-|-|-|-|-
august_07_2021|St. James|honeydew melon|local|-|-|-|-|-
august_07_2021|St. James|irish potato|local|-|-|-|-|-
august_07_2021|St. James|lettuce|iceberg (local)|440|484|440|moderate|excellent
august_07_2021|St. James|lettuce|other|-|-|-|-|-
august_07_2021|St. James|lettuce|romaine (local)|-|-|-|-|-
august_07_2021|St. James|okra|local|264|286|286|fair|excellent
august_07_2021|St. James|onion|local|-|-|-|-|-
august_07_2021|St. James|pak choi|local|132|154|143|moderate|excellent
august_07_2021|St. James|papaya|local|154|176|154|moderate|excellent
august_07_2021|St. James|pepper|scotch bonnet|286|330|330|moderate|excellent
august_07_2021|St. James|pepper|west indian red|-|-|-|-|-
august_07_2021|St. James|pineapple|cow boy|132|176|154|scarce|excellent
august_07_2021|St. James|pineapple|md 2|176|176|176|scarce|excellent
august_07_2021|St. James|pineapple|sugar loaf|154|176|154|scarce|excellent
august_07_2021|St. James|plantain|green|132|154|132|moderate|excellent
august_07_2021|St. James|plantain|ripe|-|-|-|-|-
august_07_2021|St. James|pumpkin|local|88|110|99|fair|excellent
august_07_2021|St. James|sorrel|local|-|-|-|-|-
august_07_2021|St. James|string bean|local|-|-|-|-|-
august_07_2021|St. James|sweet pepper (green)|green house (local)|-|-|-|-|-
august_07_2021|St. James|sweet pepper (green)|local|-|-|-|-|-
august_07_2021|St. James|sweet pepper (red)|green house (local)|-|-|-|-|-
august_07_2021|St. James|sweet pepper (red)|local|-|-|-|-|-
august_07_2021|St. James|sweet pepper (yellow)|green house (local)|-|-|-|-|-
august_07_2021|St. James|sweet pepper (yellow)|local|-|-|-|-|-
august_07_2021|St. James|sweet potato|local|-|-|-|-|-
august_07_2021|St. James|thyme|local|-|-|-|-|-
august_07_2021|St. James|tomatoes(plummy)|local|-|-|-|-|-
august_07_2021|St. James|tomatoes(salad)|local|-|-|-|-|-
august_07_2021|St. James|watermelon|local|-|-|-|-|-
august_07_2021|St. James|yam|negro|330|330|330|moderate|excellent
august_07_2021|St. James|yam|sweet|-|-|-|-|-
august_07_2021|St. James|yam|white (lucea)|-|-|-|-|-
august_07_2021|St. James|yam|yellow|-|-|-|-|-
