date|parish|commodity|variety source|low|high|most frequent|supply|grade
august_07_2021|St. Mary|broccoli|local|-|-|-|-|-
august_07_2021|St. Mary|cabbage (green)|local|110|220|132|moderate|excellent
august_07_2021|St. Mary|cabbage (red)|local|-|-|-|-|-
august_07_2021|St. Mary|callaloo|shredded|-|-|-|-|-
august_07_2021|St. Mary|callaloo|whole|66|154|99|fair|excellent
august_07_2021|St. Mary|cantaloupe|local|-|-|-|-|-
august_07_2021|St. Mary|carrot|local|88|176|154|fair|excellent
august_07_2021|St. Mary|cauliflower|local|770|770|770|scarce|excellent
august_07_2021|St. Mary|coco|local|220|440|220|fair|excellent
august_07_2021|St. Mary|cucumber|local|110|176|143|fair|excellent
august_07_2021|St. Mary|dasheen|local|220|330|220|fair|excellent
august_07_2021|St. Mary|escallion|local|-|-|-|-|-
august_07_2021|St. Mary|ginger|local|396|528|440|scarce|excellent
august_07_2021|St. Mary|green banana|local|44|66|44|good|excellent
august_07_2021|St. Mary|gungo peas|dry|-|-|-|-|-
august_07_2021|St. Mary|gungo peas|green|-|-|-|-|-
august_07_2021|St. Mary|honeydew melon|local|-|-|-|-|-
august_07_2021|St. Mary|irish potato|local|-|-|-|-|-
august_07_2021|St. Mary|lettuce|iceberg (local)|550|1100|770|scarce|excellent
august_07_2021|St. Mary|lettuce|other|-|-|-|-|-
august_07_2021|St. Mary|lettuce|romaine (local)|-|-|-|-|-
august_07_2021|St. Mary|okra|local|264|286|264|scarce|excellent
august_07_2021|St. Mary|onion|local|-|-|-|-|-
august_07_2021|St. Mary|pak choi|local|88|220|110|fair|excellent
august_07_2021|St. Mary|papaya|local|132|176|132|average|excellent
august_07_2021|St. Mary|pepper|scotch bonnet|176|440|440|scarce|excellent
august_07_2021|St. Mary|pepper|west indian red|110|154|132|moderate|excellent
august_07_2021|St. Mary|pineapple|cow boy|-|-|-|-|-
august_07_2021|St. Mary|pineapple|md 2|220|253|236.5|average|excellent
august_07_2021|St. Mary|pineapple|sugar loaf|110|220|220|average|excellent
august_07_2021|St. Mary|plantain|green|88|132|110|good|excellent
august_07_2021|St. Mary|plantain|ripe|110|176|143|average|excellent
august_07_2021|St. Mary|pumpkin|local|88|132|110|average|excellent
august_07_2021|St. Mary|sorrel|local|-|-|-|-|-
august_07_2021|St. Mary|string bean|local|220|440|330|scarce|excellent
august_07_2021|St. Mary|sweet pepper (green)|green house (local)|-|-|-|-|-
august_07_2021|St. Mary|sweet pepper (green)|local|154|374|220|moderate|excellent
august_07_2021|St. Mary|sweet pepper (red)|green house (local)|-|-|-|-|-
august_07_2021|St. Mary|sweet pepper (red)|local|-|-|-|-|-
august_07_2021|St. Mary|sweet pepper (yellow)|green house (local)|-|-|-|-|-
august_07_2021|St. Mary|sweet pepper (yellow)|local|-|-|-|-|-
august_07_2021|St. Mary|sweet potato|local|176|220|220|average|excellent
august_07_2021|St. Mary|thyme|local|-|-|-|-|-
august_07_2021|St. Mary|tomatoes(plummy)|local|154|198|154|moderate|excellent
august_07_2021|St. Mary|tomatoes(salad)|local|176|242|198|moderate|excellent
august_07_2021|St. Mary|watermelon|local|110|132|110|fair|excellent
august_07_2021|St. Mary|yam|negro|242|286|264|scarce|excellent
august_07_2021|St. Mary|yam|sweet|-|-|-|-|-
august_07_2021|St. Mary|yam|white (lucea)|-|-|-|-|-
august_07_2021|St. Mary|yam|yellow|220|308|242|moderate|excellent
