date|parish|commodity|variety source|low|high|most frequent|supply|grade
august_07_2021|St. Thomas|broccoli|local|880|990|880|scarce|excellent
august_07_2021|St. Thomas|cabbage (green)|local|154|198|176|moderate|excellent
august_07_2021|St. Thomas|cabbage (red)|local|-|-|-|-|-
august_07_2021|St. Thomas|callaloo|shredded|-|-|-|-|-
august_07_2021|St. Thomas|callaloo|whole|88|154|121|moderate|excellent
august_07_2021|St. Thomas|cantaloupe|local|88|132|110|moderate|excellent
august_07_2021|St. Thomas|carrot|local|88|176|88|fair|excellent
august_07_2021|St. Thomas|cauliflower|local|-|-|-|-|-
august_07_2021|St. Thomas|coco|local|220|330|242|moderate|excellent
august_07_2021|St. Thomas|cucumber|local|22|66|44|good|excellent
august_07_2021|St. Thomas|dasheen|local|-|-|-|-|-
august_07_2021|St. Thomas|escallion|local|110|154|132|fair|excellent
august_07_2021|St. Thomas|ginger|local|-|-|-|-|-
august_07_2021|St. Thomas|green banana|local|44|66|55|moderate|excellent
august_07_2021|St. Thomas|gungo peas|dry|264|330|330|scarce|excellent
august_07_2021|St. Thomas|gungo peas|green|-|-|-|-|-
august_07_2021|St. Thomas|honeydew melon|local|-|-|-|-|-
august_07_2021|St. Thomas|irish potato|local|220|264|242|scarce|excellent
august_07_2021|St. Thomas|lettuce|iceberg (local)|550|660|550|moderate|excellent
august_07_2021|St. Thomas|lettuce|other|-|-|-|-|-
august_07_2021|St. Thomas|lettuce|romaine (local)|-|-|-|-|-
august_07_2021|St. Thomas|okra|local|66|176|77|fair|excellent
august_07_2021|St. Thomas|onion|local|330|440|388.67|scarce|excellent
august_07_2021|St. Thomas|pak choi|local|77|110|77|moderate|excellent
august_07_2021|St. Thomas|papaya|local|88|330|139.33|moderate|excellent
august_07_2021|St. Thomas|pepper|scotch bonnet|308|440|330|moderate|excellent
august_07_2021|St. Thomas|pepper|west indian red|154|220|183.33|scarce|excellent
august_07_2021|St. Thomas|pineapple|cow boy|132|176|154|moderate|excellent
august_07_2021|St. Thomas|pineapple|md 2|-|-|-|-|-
august_07_2021|St. Thomas|pineapple|sugar loaf|132|176|154|moderate|excellent
august_07_2021|St. Thomas|plantain|green|77|110|91.67|moderate|excellent
august_07_2021|St. Thomas|plantain|ripe|154|242|198|moderate|excellent
august_07_2021|St. Thomas|pumpkin|local|55|66|66|moderate|excellent
august_07_2021|St. Thomas|sorrel|local|-|-|-|-|-
august_07_2021|St. Thomas|string bean|local|220|330|220|moderate|excellent
august_07_2021|St. Thomas|sweet pepper (green)|green house (local)|-|-|-|-|-
august_07_2021|St. Thomas|sweet pepper (green)|local|176|330|300.67|moderate|excellent
august_07_2021|St. Thomas|sweet pepper (red)|green house (local)|-|-|-|-|-
august_07_2021|St. Thomas|sweet pepper (red)|local|-|-|-|-|-
august_07_2021|St. Thomas|sweet pepper (yellow)|green house (local)|-|-|-|-|-
august_07_2021|St. Thomas|sweet pepper (yellow)|local|-|-|-|-|-
august_07_2021|St. Thomas|sweet potato|local|154|220|183.33|moderate|excellent
august_07_2021|St. Thomas|thyme|local|396|440|440|moderate|excellent
august_07_2021|St. Thomas|tomatoes(plummy)|local|132|176|154|moderate|excellent
august_07_2021|St. Thomas|tomatoes(salad)|local|-|-|-|-|-
august_07_2021|St. Thomas|watermelon|local|154|220|183.33|moderate|excellent
august_07_2021|St. Thomas|yam|negro|-|-|-|-|-
august_07_2021|St. Thomas|yam|sweet|-|-|-|-|-
august_07_2021|St. Thomas|yam|white (lucea)|-|-|-|-|-
august_07_2021|St. Thomas|yam|yellow|-|-|-|-|-
