date|parish|commodity|variety source|low|high|most frequent|supply|grade
august_07_2021|Trelawny|broccoli|local|-|-|-|-|-
august_07_2021|Trelawny|cabbage (green)|local|110|132|121|moderate|excellent
august_07_2021|Trelawny|cabbage (red)|local|-|-|-|-|-
august_07_2021|Trelawny|callaloo|shredded|-|-|-|-|-
august_07_2021|Trelawny|callaloo|whole|-|-|-|-|-
august_07_2021|Trelawny|cantaloupe|local|-|-|-|-|-
august_07_2021|Trelawny|carrot|local|77|110|93.5|fair|excellent
august_07_2021|Trelawny|cauliflower|local|-|-|-|-|-
august_07_2021|Trelawny|coco|local|220|264|242|scarce|excellent
august_07_2021|Trelawny|cucumber|local|132|176|165|moderate|excellent
august_07_2021|Trelawny|dasheen|local|-|-|-|-|-
august_07_2021|Trelawny|escallion|local|-|-|-|-|-
august_07_2021|Trelawny|ginger|local|396|550|473|scarce|excellent
august_07_2021|Trelawny|green banana|local|-|-|-|-|-
august_07_2021|Trelawny|gungo peas|dry|-|-|-|-|-
august_07_2021|Trelawny|gungo peas|green|-|-|-|-|-
august_07_2021|Trelawny|honeydew melon|local|-|-|-|-|-
august_07_2021|Trelawny|irish potato|local|286|330|308|scarce|excellent
august_07_2021|Trelawny|lettuce|iceberg (local)|-|-|-|-|-
august_07_2021|Trelawny|lettuce|other|-|-|-|-|-
august_07_2021|Trelawny|lettuce|romaine (local)|-|-|-|-|-
august_07_2021|Trelawny|okra|local|-|-|-|-|-
august_07_2021|Trelawny|onion|local|-|-|-|-|-
august_07_2021|Trelawny|pak choi|local|154|198|176|moderate|excellent
august_07_2021|Trelawny|papaya|local|88|110|99|moderate|excellent
august_07_2021|Trelawny|pepper|scotch bonnet|264|330|293.33|moderate|excellent
august_07_2021|Trelawny|pepper|west indian red|-|-|-|-|-
august_07_2021|Trelawny|pineapple|cow boy|-|-|-|-|-
august_07_2021|Trelawny|pineapple|md 2|176|220|198|scarce|excellent
august_07_2021|Trelawny|pineapple|sugar loaf|-|-|-|-|-
august_07_2021|Trelawny|plantain|green|-|-|-|-|-
august_07_2021|Trelawny|plantain|ripe|-|-|-|-|-
august_07_2021|Trelawny|pumpkin|local|88|110|99|moderate|excellent
august_07_2021|Trelawny|sorrel|local|-|-|-|-|-
august_07_2021|Trelawny|string bean|local|154|220|176|moderate|excellent
august_07_2021|Trelawny|sweet pepper (green)|green house (local)|-|-|-|-|-
august_07_2021|Trelawny|sweet pepper (green)|local|154|220|198|moderate|excellent
august_07_2021|Trelawny|sweet pepper (red)|green house (local)|-|-|-|-|-
august_07_2021|Trelawny|sweet pepper (red)|local|-|-|-|-|-
august_07_2021|Trelawny|sweet pepper (yellow)|green house (local)|-|-|-|-|-
august_07_2021|Trelawny|sweet pepper (yellow)|local|-|-|-|-|-
august_07_2021|Trelawny|sweet potato|local|132|176|154|moderate|excellent
august_07_2021|Trelawny|thyme|local|-|-|-|-|-
august_07_2021|Trelawny|tomatoes(plummy)|local|154|176|165|moderate|excellent
august_07_2021|Trelawny|tomatoes(salad)|local|-|-|-|-|-
august_07_2021|Trelawny|watermelon|local|-|-|-|-|-
august_07_2021|Trelawny|yam|negro|-|-|-|-|-
august_07_2021|Trelawny|yam|sweet|-|-|-|-|-
august_07_2021|Trelawny|yam|white (lucea)|396|440|418|moderate|excellent
august_07_2021|Trelawny|yam|yellow|506|550|528|moderate|excellent
