date|parish|commodity|variety source|low|high|most frequent|supply|grade
august_07_2021|Westmoreland|broccoli|local|-|-|-|-|-
august_07_2021|Westmoreland|cabbage (green)|local|132|176|154|moderate|excellent
august_07_2021|Westmoreland|cabbage (red)|local|-|-|-|-|-
august_07_2021|Westmoreland|callaloo|shredded|-|-|-|-|-
august_07_2021|Westmoreland|callaloo|whole|110|132|132|moderate|excellent
august_07_2021|Westmoreland|cantaloupe|local|-|-|-|-|-
august_07_2021|Westmoreland|carrot|local|110|154|121|fair|excellent
august_07_2021|Westmoreland|cauliflower|local|-|-|-|-|-
august_07_2021|Westmoreland|coco|local|220|264|264|scarce|excellent
august_07_2021|Westmoreland|cucumber|local|66|110|88|moderate|excellent
august_07_2021|Westmoreland|dasheen|local|220|264|242|scarce|excellent
august_07_2021|Westmoreland|escallion|local|-|-|-|-|-
august_07_2021|Westmoreland|ginger|local|-|-|-|-|-
august_07_2021|Westmoreland|green banana|local|110|132|110|moderate|excellent
august_07_2021|Westmoreland|gungo peas|dry|-|-|-|-|-
august_07_2021|Westmoreland|gungo peas|green|-|-|-|-|-
august_07_2021|Westmoreland|honeydew melon|local|-|-|-|-|-
august_07_2021|Westmoreland|irish potato|local|-|-|-|-|-
august_07_2021|Westmoreland|lettuce|iceberg (local)|-|-|-|-|-
august_07_2021|Westmoreland|lettuce|other|-|-|-|-|-
august_07_2021|Westmoreland|lettuce|romaine (local)|-|-|-|-|-
august_07_2021|Westmoreland|okra|local|264|286|264|scarce|excellent
august_07_2021|Westmoreland|onion|local|-|-|-|-|-
august_07_2021|Westmoreland|pak choi|local|110|110|110|scarce|excellent
august_07_2021|Westmoreland|papaya|local|132|176|176|moderate|excellent
august_07_2021|Westmoreland|pepper|scotch bonnet|264|440|330|scarce|excellent
august_07_2021|Westmoreland|pepper|west indian red|132|176|154|fair|excellent
august_07_2021|Westmoreland|pineapple|cow boy|132|176|154|scarce|excellent
august_07_2021|Westmoreland|pineapple|md 2|176|198|198|scarce|excellent
august_07_2021|Westmoreland|pineapple|sugar loaf|-|-|-|-|-
august_07_2021|Westmoreland|plantain|green|132|176|132|moderate|excellent
august_07_2021|Westmoreland|plantain|ripe|-|-|-|-|-
august_07_2021|Westmoreland|pumpkin|local|66|110|110|moderate|excellent
august_07_2021|Westmoreland|sorrel|local|-|-|-|-|-
august_07_2021|Westmoreland|string bean|local|-|-|-|-|-
august_07_2021|Westmoreland|sweet pepper (green)|green house (local)|-|-|-|-|-
august_07_2021|Westmoreland|sweet pepper (green)|local|220|264|220|scarce|excellent
august_07_2021|Westmoreland|sweet pepper (red)|green house (local)|-|-|-|-|-
august_07_2021|Westmoreland|sweet pepper (red)|local|-|-|-|-|-
august_07_2021|Westmoreland|sweet pepper (yellow)|green house (local)|-|-|-|-|-
august_07_2021|Westmoreland|sweet pepper (yellow)|local|-|-|-|-|-
august_07_2021|Westmoreland|sweet potato|local|132|176|132|moderate|excellent
august_07_2021|Westmoreland|thyme|local|-|-|-|-|-
august_07_2021|Westmoreland|tomatoes(plummy)|local|154|198|176|scarce|excellent
august_07_2021|Westmoreland|tomatoes(salad)|local|-|-|-|-|-
august_07_2021|Westmoreland|watermelon|local|-|-|-|-|-
august_07_2021|Westmoreland|yam|negro|-|-|-|-|-
august_07_2021|Westmoreland|yam|sweet|-|-|-|-|-
august_07_2021|Westmoreland|yam|white (lucea)|-|-|-|-|-
august_07_2021|Westmoreland|yam|yellow|-|-|-|-|-
