date|parish|commodity|variety source|low|high|most frequent|supply|grade
August 07, 2021|Portland|broccoli|local|-|-|-|-|-
August 07, 2021|Portland|cabbage (green)|local|176|220|198|scarce|good
August 07, 2021|Portland|cabbage (red)|local|-|-|-|-|-
August 07, 2021|Portland|callaloo|shredded|-|-|-|-|-
August 07, 2021|Portland|callaloo|whole|176|220|198|scarce|excellent
August 07, 2021|Portland|cantaloupe|local|-|-|-|-|-
August 07, 2021|Portland|carrot|local|176|220|198|moderate|excellent
August 07, 2021|Portland|cauliflower|local|-|-|-|-|-
August 07, 2021|Portland|coco|local|264|396|330|moderate|excellent
August 07, 2021|Portland|cucumber|local|-|-|-|-|-
August 07, 2021|Portland|dasheen|local|264|396|330|moderate|excellent
August 07, 2021|Portland|escallion|local|440|550|495|scarce|good
August 07, 2021|Portland|ginger|local|440|550|495|scarce|excellent
August 07, 2021|Portland|green banana|local|66|88|77|fair|excellent
August 07, 2021|Portland|gungo peas|dry|-|-|-|-|-
August 07, 2021|Portland|gungo peas|green|-|-|-|-|-
August 07, 2021|Portland|honeydew melon|local|-|-|-|-|-
August 07, 2021|Portland|irish potato|local|-|-|-|-|-
August 07, 2021|Portland|lettuce|iceberg (local)|-|-|-|-|-
August 07, 2021|Portland|lettuce|other|-|-|-|-|-
August 07, 2021|Portland|lettuce|romaine (local)|-|-|-|-|-
August 07, 2021|Portland|okra|local|-|-|-|-|-
August 07, 2021|Portland|onion|local|-|-|-|-|-
August 07, 2021|Portland|pak choi|local|154|176|165|scarce|excellent
August 07, 2021|Portland|papaya|local|110|220|220|moderate|excellent
August 07, 2021|Portland|pepper|scotch bonnet|176|220|198|scarce|excellent
August 07, 2021|Portland|pepper|west indian red|132|176|154|scarce|excellent
August 07, 2021|Portland|pineapple|cow boy|176|220|198|scarce|excellent
August 07, 2021|Portland|pineapple|md 2|176|220|198|scarce|excellent
August 07, 2021|Portland|pineapple|sugar loaf|176|220|198|moderate|excellent
August 07, 2021|Portland|plantain|green|110|132|121|fair|excellent
August 07, 2021|Portland|plantain|ripe|176|220|198|moderate|excellent
August 07, 2021|Portland|pumpkin|local|176|220|198|scarce|excellent
August 07, 2021|Portland|sorrel|local|-|-|-|-|-
August 07, 2021|Portland|string bean|local|-|-|-|-|-
August 07, 2021|Portland|sweet pepper (green)|green house (local)|-|-|-|-|-
August 07, 2021|Portland|sweet pepper (green)|local|330|440|385|scarce|good
August 07, 2021|Portland|sweet pepper (red)|green house (local)|-|-|-|-|-
August 07, 2021|Portland|sweet pepper (red)|local|-|-|-|-|-
August 07, 2021|Portland|sweet pepper (yellow)|green house (local)|-|-|-|-|-
August 07, 2021|Portland|sweet pepper (yellow)|local|-|-|-|-|-
August 07, 2021|Portland|sweet potato|local|220|264|242|moderate|excellent
August 07, 2021|Portland|thyme|local|-|-|-|-|-
August 07, 2021|Portland|tomatoes(plummy)|local|176|264|220|scarce|excellent
August 07, 2021|Portland|tomatoes(salad)|local|-|-|-|-|-
August 07, 2021|Portland|watermelon|local|-|-|-|-|-
August 07, 2021|Portland|yam|negro|-|-|-|-|-
August 07, 2021|Portland|yam|sweet|-|-|-|-|-
August 07, 2021|Portland|yam|white (lucea)|-|-|-|-|-
August 07, 2021|Portland|yam|yellow|440|550|495|moderate|excellent
