date|parish|commodity|variety source|low|high|most frequent|supply|grade
August 07, 2021|St. Ann|broccoli|local|-|-|-|-|-
August 07, 2021|St. Ann|cabbage (green)|local|88|110|99|moderate|excellent
August 07, 2021|St. Ann|cabbage (red)|local|-|-|-|-|-
August 07, 2021|St. Ann|callaloo|shredded|-|-|-|-|-
August 07, 2021|St. Ann|callaloo|whole|-|-|-|-|-
August 07, 2021|St. Ann|cantaloupe|local|-|-|-|-|-
August 07, 2021|St. Ann|carrot|local|77|110|91.67|moderate|excellent
August 07, 2021|St. Ann|cauliflower|local|-|-|-|-|-
August 07, 2021|St. Ann|coco|local|-|-|-|-|-
August 07, 2021|St. Ann|cucumber|local|-|-|-|-|-
August 07, 2021|St. Ann|dasheen|local|-|-|-|-|-
August 07, 2021|St. Ann|escallion|local|-|-|-|-|-
August 07, 2021|St. Ann|ginger|local|-|-|-|-|-
August 07, 2021|St. Ann|green banana|local|44|66|55|fair|excellent
August 07, 2021|St. Ann|gungo peas|dry|-|-|-|-|-
August 07, 2021|St. Ann|gungo peas|green|-|-|-|-|-
August 07, 2021|St. Ann|honeydew melon|local|-|-|-|-|-
August 07, 2021|St. Ann|irish potato|local|-|-|-|-|-
August 07, 2021|St. Ann|lettuce|iceberg (local)|330|440|388.67|moderate|excellent
August 07, 2021|St. Ann|lettuce|other|-|-|-|-|-
August 07, 2021|St. Ann|lettuce|romaine (local)|440|550|550|scarce|excellent
August 07, 2021|St. Ann|okra|local|-|-|-|-|-
August 07, 2021|St. Ann|onion|local|-|-|-|-|-
August 07, 2021|St. Ann|pak choi|local|44|55|44|good|excellent
August 07, 2021|St. Ann|papaya|local|-|-|-|-|-
August 07, 2021|St. Ann|pepper|scotch bonnet|220|308|275|moderate|excellent
August 07, 2021|St. Ann|pepper|west indian red|132|176|154|fair|excellent
August 07, 2021|St. Ann|pineapple|cow boy|-|-|-|-|-
August 07, 2021|St. Ann|pineapple|md 2|-|-|-|-|-
August 07, 2021|St. Ann|pineapple|sugar loaf|-|-|-|-|-
August 07, 2021|St. Ann|plantain|green|110|132|121|moderate|excellent
August 07, 2021|St. Ann|plantain|ripe|-|-|-|-|-
August 07, 2021|St. Ann|pumpkin|local|66|99|82.5|moderate|excellent
August 07, 2021|St. Ann|sorrel|local|-|-|-|-|-
August 07, 2021|St. Ann|string bean|local|-|-|-|-|-
August 07, 2021|St. Ann|sweet pepper (green)|green house (local)|176|220|176|moderate|excellent
August 07, 2021|St. Ann|sweet pepper (green)|local|220|286|256.67|moderate|excellent
August 07, 2021|St. Ann|sweet pepper (red)|green house (local)|330|396|366.67|moderate|excellent
August 07, 2021|St. Ann|sweet pepper (red)|local|-|-|-|-|-
August 07, 2021|St. Ann|sweet pepper (yellow)|green house (local)|-|-|-|-|-
August 07, 2021|St. Ann|sweet pepper (yellow)|local|-|-|-|-|-
August 07, 2021|St. Ann|sweet potato|local|110|154|121|moderate|excellent
August 07, 2021|St. Ann|thyme|local|-|-|-|-|-
August 07, 2021|St. Ann|tomatoes(plummy)|local|99|110|110|moderate|excellent
August 07, 2021|St. Ann|tomatoes(salad)|local|-|-|-|-|-
August 07, 2021|St. Ann|watermelon|local|-|-|-|-|-
August 07, 2021|St. Ann|yam|negro|-|-|-|-|-
August 07, 2021|St. Ann|yam|sweet|-|-|-|-|-
August 07, 2021|St. Ann|yam|white (lucea)|-|-|-|-|-
August 07, 2021|St. Ann|yam|yellow|396|550|462|moderate|excellent
