date|parish|commodity|variety source|low|high|most frequent|supply|grade
August 07, 2021|Trelawny|broccoli|local|-|-|-|-|-
August 07, 2021|Trelawny|cabbage (green)|local|110|132|121|moderate|excellent
August 07, 2021|Trelawny|cabbage (red)|local|-|-|-|-|-
August 07, 2021|Trelawny|callaloo|shredded|-|-|-|-|-
August 07, 2021|Trelawny|callaloo|whole|-|-|-|-|-
August 07, 2021|Trelawny|cantaloupe|local|-|-|-|-|-
August 07, 2021|Trelawny|carrot|local|77|110|93.5|fair|excellent
August 07, 2021|Trelawny|cauliflower|local|-|-|-|-|-
August 07, 2021|Trelawny|coco|local|220|264|242|scarce|excellent
August 07, 2021|Trelawny|cucumber|local|132|176|165|moderate|excellent
August 07, 2021|Trelawny|dasheen|local|-|-|-|-|-
August 07, 2021|Trelawny|escallion|local|-|-|-|-|-
August 07, 2021|Trelawny|ginger|local|396|550|473|scarce|excellent
August 07, 2021|Trelawny|green banana|local|-|-|-|-|-
August 07, 2021|Trelawny|gungo peas|dry|-|-|-|-|-
August 07, 2021|Trelawny|gungo peas|green|-|-|-|-|-
August 07, 2021|Trelawny|honeydew melon|local|-|-|-|-|-
August 07, 2021|Trelawny|irish potato|local|286|330|308|scarce|excellent
August 07, 2021|Trelawny|lettuce|iceberg (local)|-|-|-|-|-
August 07, 2021|Trelawny|lettuce|other|-|-|-|-|-
August 07, 2021|Trelawny|lettuce|romaine (local)|-|-|-|-|-
August 07, 2021|Trelawny|okra|local|-|-|-|-|-
August 07, 2021|Trelawny|onion|local|-|-|-|-|-
August 07, 2021|Trelawny|pak choi|local|154|198|176|moderate|excellent
August 07, 2021|Trelawny|papaya|local|88|110|99|moderate|excellent
August 07, 2021|Trelawny|pepper|scotch bonnet|264|330|293.33|moderate|excellent
August 07, 2021|Trelawny|pepper|west indian red|-|-|-|-|-
August 07, 2021|Trelawny|pineapple|cow boy|-|-|-|-|-
August 07, 2021|Trelawny|pineapple|md 2|176|220|198|scarce|excellent
August 07, 2021|Trelawny|pineapple|sugar loaf|-|-|-|-|-
August 07, 2021|Trelawny|plantain|green|-|-|-|-|-
August 07, 2021|Trelawny|plantain|ripe|-|-|-|-|-
August 07, 2021|Trelawny|pumpkin|local|88|110|99|moderate|excellent
August 07, 2021|Trelawny|sorrel|local|-|-|-|-|-
August 07, 2021|Trelawny|string bean|local|154|220|176|moderate|excellent
August 07, 2021|Trelawny|sweet pepper (green)|green house (local)|-|-|-|-|-
August 07, 2021|Trelawny|sweet pepper (green)|local|154|220|198|moderate|excellent
August 07, 2021|Trelawny|sweet pepper (red)|green house (local)|-|-|-|-|-
August 07, 2021|Trelawny|sweet pepper (red)|local|-|-|-|-|-
August 07, 2021|Trelawny|sweet pepper (yellow)|green house (local)|-|-|-|-|-
August 07, 2021|Trelawny|sweet pepper (yellow)|local|-|-|-|-|-
August 07, 2021|Trelawny|sweet potato|local|132|176|154|moderate|excellent
August 07, 2021|Trelawny|thyme|local|-|-|-|-|-
August 07, 2021|Trelawny|tomatoes(plummy)|local|154|176|165|moderate|excellent
August 07, 2021|Trelawny|tomatoes(salad)|local|-|-|-|-|-
August 07, 2021|Trelawny|watermelon|local|-|-|-|-|-
August 07, 2021|Trelawny|yam|negro|-|-|-|-|-
August 07, 2021|Trelawny|yam|sweet|-|-|-|-|-
August 07, 2021|Trelawny|yam|white (lucea)|396|440|418|moderate|excellent
August 07, 2021|Trelawny|yam|yellow|506|550|528|moderate|excellent
