date|parish|commodity|variety source|low|high|most frequent|supply|grade
August 07, 2021|Westmoreland|broccoli|local|-|-|-|-|-
August 07, 2021|Westmoreland|cabbage (green)|local|132|176|154|moderate|excellent
August 07, 2021|Westmoreland|cabbage (red)|local|-|-|-|-|-
August 07, 2021|Westmoreland|callaloo|shredded|-|-|-|-|-
August 07, 2021|Westmoreland|callaloo|whole|110|132|132|moderate|excellent
August 07, 2021|Westmoreland|cantaloupe|local|-|-|-|-|-
August 07, 2021|Westmoreland|carrot|local|110|154|121|fair|excellent
August 07, 2021|Westmoreland|cauliflower|local|-|-|-|-|-
August 07, 2021|Westmoreland|coco|local|220|264|264|scarce|excellent
August 07, 2021|Westmoreland|cucumber|local|66|110|88|moderate|excellent
August 07, 2021|Westmoreland|dasheen|local|220|264|242|scarce|excellent
August 07, 2021|Westmoreland|escallion|local|-|-|-|-|-
August 07, 2021|Westmoreland|ginger|local|-|-|-|-|-
August 07, 2021|Westmoreland|green banana|local|110|132|110|moderate|excellent
August 07, 2021|Westmoreland|gungo peas|dry|-|-|-|-|-
August 07, 2021|Westmoreland|gungo peas|green|-|-|-|-|-
August 07, 2021|Westmoreland|honeydew melon|local|-|-|-|-|-
August 07, 2021|Westmoreland|irish potato|local|-|-|-|-|-
August 07, 2021|Westmoreland|lettuce|iceberg (local)|-|-|-|-|-
August 07, 2021|Westmoreland|lettuce|other|-|-|-|-|-
August 07, 2021|Westmoreland|lettuce|romaine (local)|-|-|-|-|-
August 07, 2021|Westmoreland|okra|local|264|286|264|scarce|excellent
August 07, 2021|Westmoreland|onion|local|-|-|-|-|-
August 07, 2021|Westmoreland|pak choi|local|110|110|110|scarce|excellent
August 07, 2021|Westmoreland|papaya|local|132|176|176|moderate|excellent
August 07, 2021|Westmoreland|pepper|scotch bonnet|264|440|330|scarce|excellent
August 07, 2021|Westmoreland|pepper|west indian red|132|176|154|fair|excellent
August 07, 2021|Westmoreland|pineapple|cow boy|132|176|154|scarce|excellent
August 07, 2021|Westmoreland|pineapple|md 2|176|198|198|scarce|excellent
August 07, 2021|Westmoreland|pineapple|sugar loaf|-|-|-|-|-
August 07, 2021|Westmoreland|plantain|green|132|176|132|moderate|excellent
August 07, 2021|Westmoreland|plantain|ripe|-|-|-|-|-
August 07, 2021|Westmoreland|pumpkin|local|66|110|110|moderate|excellent
August 07, 2021|Westmoreland|sorrel|local|-|-|-|-|-
August 07, 2021|Westmoreland|string bean|local|-|-|-|-|-
August 07, 2021|Westmoreland|sweet pepper (green)|green house (local)|-|-|-|-|-
August 07, 2021|Westmoreland|sweet pepper (green)|local|220|264|220|scarce|excellent
August 07, 2021|Westmoreland|sweet pepper (red)|green house (local)|-|-|-|-|-
August 07, 2021|Westmoreland|sweet pepper (red)|local|-|-|-|-|-
August 07, 2021|Westmoreland|sweet pepper (yellow)|green house (local)|-|-|-|-|-
August 07, 2021|Westmoreland|sweet pepper (yellow)|local|-|-|-|-|-
August 07, 2021|Westmoreland|sweet potato|local|132|176|132|moderate|excellent
August 07, 2021|Westmoreland|thyme|local|-|-|-|-|-
August 07, 2021|Westmoreland|tomatoes(plummy)|local|154|198|176|scarce|excellent
August 07, 2021|Westmoreland|tomatoes(salad)|local|-|-|-|-|-
August 07, 2021|Westmoreland|watermelon|local|-|-|-|-|-
August 07, 2021|Westmoreland|yam|negro|-|-|-|-|-
August 07, 2021|Westmoreland|yam|sweet|-|-|-|-|-
August 07, 2021|Westmoreland|yam|white (lucea)|-|-|-|-|-
August 07, 2021|Westmoreland|yam|yellow|-|-|-|-|-
