||||"Urban Municipal Market Prices (J$/Kg)
Week Ending May 15, 2021"|||||||||||||||||||
"Ministry of Industry, Commerce, Agriculture
& Fisheries"|||||||||||||||||||||||
|||||||||||||||||||||||
|||||||||||||||||||||||
|||||||||||||||||||||||
|||||||Papine||||||Coronation|||||||Cross Roads|||
|||||||||||||||||||||||
Commodity||Variety / Source||||Low|||High|Most Freq.|||||Low||High|Most Freq.||Low|High||Most Freq.
Broccoli||Local||||1760|||1760|1760|||||||n/a|||1540|1540||1540
Cabbage (Green)||Local||||220|||220|220|||||66||110|110||220|220||220
Cabbage (Red)||Local|||||||n/a||||||||n/a||||n/a||
Callaloo||Shredded||||330|||440|440|||||330||550|440||330|330||330
Callaloo||Whole||||220|||220|220|||||110||154|110||330|330||330
Cantaloupe||Local||||330|||330|330|||||220||264|264||330|330||330
Carrot||Local||||330|||440|330|||||176||264|220||440|440||440
Cauliflower||Local||||1100|||1100|1100|||||||n/a||||n/a||
Coco||Local||||440|||440|440|||||308||330|319||440|440||440
Cucumber||Local||||220|||220|220|||||110||176|110||220|220||220
Dasheen||Local||||440|||440|440|||||308||330|319||440|440||440
Escallion||Local||||440|||550|495|||||110||220|110||440|440||440
Ginger||Local||||660|||880|770|||||330||440|330||660|770||715
Green Banana||Local||||110|||154|132|||||66||88|77||110|110||110
Gungo Peas||Dry|||||||n/a||||||||n/a||||n/a||
Gungo Peas||Green|||||||n/a||||||||n/a||||n/a||
Honeydew Melon||Local|||||||n/a||||||||n/a||||n/a||
Irish Potato||Local||||330|||440|388.67|||||154||220|187||440|440||440
Lettuce||Iceberg (Local)||||440|||660|440|||||110||220|220||660|660||660
Lettuce||Other|||||||n/a||||||||n/a||||n/a||
Lettuce||Romaine (Local)|||||||n/a||||||||n/a||||n/a||
Okra||Local||||330|||440|385|||||220||220|220||440|440||440
Onion||Local|||||||n/a||||||374||440|407||660|660||660
Pak Choi||Local||||220|||330|275|||||88||110|110||220|220||220
Papaya||Local||||330|||440|385|||||220||264|242||330|374||352
Pepper||Scotch Bonnet||||880|||1100|990|||||330||550|440||660|880||770
Pepper||West Indian Red|||||||n/a||||||220||330|275|||n/a||
Pineapple||Cow Boy||||330|||396|363|||||154||330|176||330|330||330
Pineapple||MD 2|||||||n/a||||||||n/a|||440|440||440
Pineapple||Sugar Loaf||||440|||440|440|||||330||330|330||396|396||396
Plantain||Green||||220|||330|275|||||176||220|176||264|308||286
Plantain||Ripe||||440|||550|495|||||176||220|176||330|330||330
Pumpkin||Local||||330|||330|330|||||176||176|176||440|440||440
Sorrel||Local|||||||n/a||||||||n/a||||n/a||
String Bean||Local||||440|||550|495|||||220||220|220||440|440||440
Sweet Pepper (Green)||Green House (Local)|||||||n/a||||||||n/a||||n/a||
Sweet Pepper (Green)||Local|||||||n/a||||||88||176|132||440|440||440
Sweet Pepper (Red)||Green House (Local)|||||||n/a||||||||n/a||||n/a||
Sweet Pepper (Red)||Local|||||||n/a||||||||n/a||||n/a||
Sweet Pepper (Yellow)||Green House (Local)|||||||n/a||||||||n/a||||n/a||
Sweet Pepper (Yellow)||Local|||||||n/a||||||110||110|110|||n/a||
Sweet Potato||Local||||440|||440|440|||||220||264|220||440|440||440
Thyme||Local||||880|||1100|990|||||660||880|770||1100|1100||1100
Tomatoes(Plummy)||Local||||220|||330|275|||||110||132|110||264|264||264
Tomatoes(Salad)||Local||||440|||660|550|||||308||308|308||660|660||660
Watermelon||Local||||330|||440|385|||||154||220|220|||n/a||
Yam||Negro|||||||n/a||||||||n/a||||n/a||
Yam||Sweet|||||||n/a||||||||n/a||||n/a||
Yam||White (Lucea)||||440|||550|495|||||330||330|330||550|550||550
Yam||Yellow||||440|||550|495|||||220||220|220||550|550||550
|||||||||||||||||||||||
"http://www.ja-mis.com
Prepared on 5/14/2021 by Agriculture Marketing Information Division"|||||||||||||||||||||||
