||||"Urban Municipal Market Prices (J$/Kg)
Week Ending July 31, 2021"|||||||||||||||||||
"Ministry of Industry, Commerce, Agriculture
& Fisheries"|||||||||||||||||||||||
|||||||||||||||||||||||
|||||||||||||||||||||||
|||||||||||||||||||||||
|||||||Papine||||||Coronation|||||||Cross Roads|||
|||||||||||||||||||||||
Commodity||Variety / Source||||Low|||High|Most Freq.|||||Low||High|Most Freq.||Low|High||Most Freq.
Broccoli||Local|||||||n/a||||||||n/a||||n/a||
Cabbage (Green)||Local||||330|||330|330|||||154||176|176||330|330||330
Cabbage (Red)||Local|||||||n/a||||||||n/a||||n/a||
Callaloo||Shredded||||440|||440|440|||||440||550|440||330|330||330
Callaloo||Whole||||330|||330|330|||||110||110|110||330|330||330
Cantaloupe||Local|||||||n/a||||||198||220|220|||n/a||
Carrot||Local||||220|||330|271.33|||||88||176|132||330|330||330
Cauliflower||Local|||||||n/a||||||550||550|550|||n/a||
Coco||Local||||440|||440|440|||||220||220|220||440|440||440
Cucumber||Local||||220|||220|220|||||66||110|110||220|220||220
Dasheen||Local||||440|||440|440|||||286||330|308||440|440||440
Escallion||Local||||440|||440|440|||||220||220|220||330|330||330
Ginger||Local||||990|||1320|1136.67|||||550||660|660||880|880||880
Green Banana||Local||||110|||154|110|||||66||66|66||110|154||110
Gungo Peas||Dry|||||||n/a||||||440||550|550|||n/a||
Gungo Peas||Green|||||||n/a||||||||n/a||||n/a||
Honeydew Melon||Local|||||||n/a||||||330||330|330|||n/a||
Irish Potato||Local||||550|||660|605|||||352||396|352||550|550||550
Lettuce||Iceberg (Local)||||1100|||1320|1210|||||440||660|660||1100|1100||1100
Lettuce||Other|||||||n/a||||||||n/a||||n/a||
Lettuce||Romaine (Local)|||||||n/a||||||||n/a||||n/a||
Okra||Local||||330|||440|385|||||176||220|176||330|330||330
Onion||Local|||||||n/a||||||660||660|660|||n/a||
Pak Choi||Local||||330|||330|330|||||110||176|176||220|220||220
Papaya||Local||||396|||440|418|||||264||330|330||330|330||330
Pepper||Scotch Bonnet||||660|||880|770|||||330||440|330|||n/a||
Pepper||West Indian Red|||||||n/a||||||||n/a|||660|660||660
Pineapple||Cow Boy||||330|||396|363|||||176||220|198||330|330||330
Pineapple||MD 2|||||||n/a||||||||n/a||||n/a||
Pineapple||Sugar Loaf|||||||n/a||||||220||220|220|||n/a||
Plantain||Green||||330|||550|440|||||110||176|165||264|330||300.67
Plantain||Ripe||||330|||550|440|||||110||176|165||264|330||300.67
Pumpkin||Local||||220|||330|271.33|||||110||132|132||220|220||220
Sorrel||Local|||||||n/a||||||||n/a||||n/a||
String Bean||Local||||660|||660|660|||||220||440|440||660|660||660
Sweet Pepper (Green)||Green House (Local)|||||||n/a||||||||n/a||||n/a||
Sweet Pepper (Green)||Local||||660|||660|660|||||220||330|308||550|660||605
Sweet Pepper (Red)||Green House (Local)|||||||n/a||||||||n/a||||n/a||
Sweet Pepper (Red)||Local|||||||n/a||||||||n/a||||n/a||
Sweet Pepper (Yellow)||Green House (Local)|||||||n/a||||||||n/a||||n/a||
Sweet Pepper (Yellow)||Local|||||||n/a||||||||n/a||||n/a||
Sweet Potato||Local||||330|||440|330|||||132||176|132||330|330||330
Thyme||Local||||1540|||1540|1540|||||880||880|880||1100|1100||1100
Tomatoes(Plummy)||Local||||440|||550|440|||||220||264|220||440|440||440
Tomatoes(Salad)||Local||||660|||660|660|||||330||440|385||660|660||660
Watermelon||Local||||330|||330|330|||||110||220|159.5||330|330||330
Yam||Negro|||||||n/a||||||||n/a||||n/a||
Yam||Sweet|||||||n/a||||||||n/a||||n/a||
Yam||White (Lucea)||||550|||660|605|||||330||352|341||660|660||660
Yam||Yellow||||550|||660|605|||||330||440|352||660|660||660
|||||||||||||||||||||||
"http://www.ja-mis.com
Prepared on 7/30/2021 by Agriculture Marketing Information Division"|||||||||||||||||||||||
