date|commodity|variety-source|region|store|price
september_04_2021|Broccoli|Imported|cross roads|sampars|2416.67
september_04_2021|Broccoli|Imported|cross roads|hi-lo|2332
september_04_2021|Broccoli|Imported|waterloo road|mega mart|2140
september_04_2021|Broccoli|Imported|new kingston|John R Wong|1832
september_04_2021|Broccoli|Imported|halfway tree|Brooklyn|1924.98
september_04_2021|Broccoli|Imported|halfway tree|hi-lo|2000
september_04_2021|Broccoli|Imported|washington boulevard|shopper's fair|1953.8
september_04_2021|Broccoli|Imported|Duhaney Park|shopper's fair|1953.8
september_04_2021|Broccoli|Imported|barbican road|Loshusan|1875
september_04_2021|Broccoli|Imported|barbican road|hi-lo|2332
september_04_2021|Broccoli|Imported|constant spring|hi-lo|2332
september_04_2021|Broccoli|Imported|harbour view|shoppers fair|1677.5
september_04_2021|Broccoli|Imported|red hills road|lee's food|1555.55
september_04_2021|Broccoli|Imported|red hills road|price smart|-
september_04_2021|Broccoli|Imported|portmore|mega mart|2140
september_04_2021|Broccoli|Imported|portmore|hi-lo|2332
september_04_2021|Broccoli|Local|cross roads|sampars|-
september_04_2021|Broccoli|Local|cross roads|hi-lo|-
september_04_2021|Broccoli|Local|waterloo road|mega mart|-
september_04_2021|Broccoli|Local|new kingston|John R Wong|-
september_04_2021|Broccoli|Local|halfway tree|Brooklyn|-
september_04_2021|Broccoli|Local|halfway tree|hi-lo|-
september_04_2021|Broccoli|Local|washington boulevard|shopper's fair|-
september_04_2021|Broccoli|Local|Duhaney Park|shopper's fair|-
september_04_2021|Broccoli|Local|barbican road|Loshusan|-
september_04_2021|Broccoli|Local|barbican road|hi-lo|-
september_04_2021|Broccoli|Local|constant spring|hi-lo|-
september_04_2021|Broccoli|Local|harbour view|shoppers fair|-
september_04_2021|Broccoli|Local|red hills road|lee's food|-
september_04_2021|Broccoli|Local|red hills road|price smart|-
september_04_2021|Broccoli|Local|portmore|mega mart|-
september_04_2021|Broccoli|Local|portmore|hi-lo|-
september_04_2021|Cabbage (Green)|Local|cross roads|sampars|701.8
september_04_2021|Cabbage (Green)|Local|cross roads|hi-lo|677
september_04_2021|Cabbage (Green)|Local|waterloo road|mega mart|670
september_04_2021|Cabbage (Green)|Local|new kingston|John R Wong|330
september_04_2021|Cabbage (Green)|Local|halfway tree|Brooklyn|387.2
september_04_2021|Cabbage (Green)|Local|halfway tree|hi-lo|667
september_04_2021|Cabbage (Green)|Local|washington boulevard|shopper's fair|363
september_04_2021|Cabbage (Green)|Local|Duhaney Park|shopper's fair|-
september_04_2021|Cabbage (Green)|Local|barbican road|Loshusan|660
september_04_2021|Cabbage (Green)|Local|barbican road|hi-lo|677
september_04_2021|Cabbage (Green)|Local|constant spring|hi-lo|677
september_04_2021|Cabbage (Green)|Local|harbour view|shoppers fair|363
september_04_2021|Cabbage (Green)|Local|red hills road|lee's food|528
september_04_2021|Cabbage (Green)|Local|red hills road|price smart|379
september_04_2021|Cabbage (Green)|Local|portmore|mega mart|915
september_04_2021|Cabbage (Green)|Local|portmore|hi-lo|677
september_04_2021|Cabbage (Red)|Imported|cross roads|sampars|924
september_04_2021|Cabbage (Red)|Imported|cross roads|hi-lo|996
september_04_2021|Cabbage (Red)|Imported|waterloo road|mega mart|-
september_04_2021|Cabbage (Red)|Imported|new kingston|John R Wong|693.15
september_04_2021|Cabbage (Red)|Imported|halfway tree|Brooklyn|943.39
september_04_2021|Cabbage (Red)|Imported|halfway tree|hi-lo|996
september_04_2021|Cabbage (Red)|Imported|washington boulevard|shopper's fair|928.2
september_04_2021|Cabbage (Red)|Imported|Duhaney Park|shopper's fair|-
september_04_2021|Cabbage (Red)|Imported|barbican road|Loshusan|689
september_04_2021|Cabbage (Red)|Imported|barbican road|hi-lo|998
september_04_2021|Cabbage (Red)|Imported|constant spring|hi-lo|-
september_04_2021|Cabbage (Red)|Imported|harbour view|shoppers fair|622.6
september_04_2021|Cabbage (Red)|Imported|red hills road|lee's food|785.38
september_04_2021|Cabbage (Red)|Imported|red hills road|price smart|-
september_04_2021|Cabbage (Red)|Imported|portmore|mega mart|1220
